kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
256,64,15,1,128,64,1,[256; 64; 15; 1; 128; 64; 1],0.07431233848910779,0.24606565554917217,tvm
256,32,3,1,128,64,0,[256; 32; 3; 1; 128; 64; 0],0.0842392269987613,0.21706887559620142,tvm
160,4,1500,1,2560,64,1,[160; 4; 1500; 1; 2560; 64; 1],0.27689907292369753,0.06603747023289279,tvm
20,20,60,1,1024,64,0,[20; 20; 60; 1; 1024; 64; 0],0.08536969649139792,0.2141944394467515,tvm
20,4,12,1,512,16,0,[20; 4; 12; 1; 512; 16; 0],0.09852238954044878,0.1855995816890638,tvm
1280,20,250,1,1024,128,1,[1280; 20; 250; 1; 1024; 128; 1],0.3722655080491677,0.049120087384779056,tvm
20,4,15,1,5120,128,0,[20; 4; 15; 1; 5120; 128; 0],0.5729452929226682,0.03191528844304923,tvm
16,16,20,1,640,16,1,[16; 16; 20; 1; 640; 16; 1],0.06596928049111739,0.27718529214785687,tvm
640,16,15,1,128,64,1,[640; 16; 15; 1; 128; 64; 1],0.25412287400104105,0.07195619189179868,tvm
80,20,10,1,1280,16,0,[80; 20; 10; 1; 1280; 16; 0],0.29630396608263254,0.0617126882487115,tvm
10,10,20,1,512,64,1,[10; 10; 20; 1; 512; 64; 1],0.06804238504264504,0.268740054809276,tvm
160,4,50,1,2560,16,1,[160; 4; 50; 1; 2560; 16; 1],0.6243210299871862,0.029288960979080892,tvm
4,1,500,1,128,128,1,[4; 1; 500; 1; 128; 128; 1],0.04982481323531829,0.3670001571175478,tvm
16,16,25,1,640,128,1,[16; 16; 25; 1; 640; 128; 1],0.04336269025225192,0.42169233918240734,tvm
256,32,750,1,160,16,0,[256; 32; 750; 1; 160; 16; 0],0.17482327902689576,0.10459541994347969,tvm
320,32,15,1,256,128,0,[320; 32; 15; 1; 256; 128; 0],0.199105174979195,0.09183947271900395,tvm
320,20,500,1,1024,64,1,[320; 20; 500; 1; 1024; 64; 1],0.2624981179833412,0.06966036338163287,tvm
80,2,6,1,1024,64,1,[80; 2; 6; 1; 1024; 64; 1],0.1041669079568237,0.1755424505188688,tvm
16,16,4,1,16,16,0,[16; 16; 4; 1; 16; 16; 0],0.08693513250909746,0.2103374522814554,tvm
160,4,12,1,320,64,0,[160; 4; 12; 1; 320; 64; 0],0.06597362150205299,0.27716705357982,tvm
160,8,30,1,640,128,0,[160; 8; 30; 1; 640; 128; 0],0.05922948551597074,0.308726542640383,tvm
320,16,1500,1,320,16,1,[320; 16; 1500; 1; 320; 16; 1],0.23023054795339704,0.07942349287817209,tvm
320,32,375,1,640,16,1,[320; 32; 375; 1; 640; 16; 1],0.230150043964386,0.07945127435449835,tvm
32,16,10,1,1280,16,1,[32; 16; 10; 1; 1280; 16; 1],0.14733619801700115,0.12410876981910647,tvm
160,32,10,1,256,128,1,[160; 32; 10; 1; 256; 128; 1],0.06765667896252126,0.2702721234047528,tvm
160,5,4,1,1280,16,0,[160; 5; 4; 1; 1280; 16; 0],0.3060923860175535,0.05973920006185863,tvm
640,20,3,1,64,64,1,[640; 20; 3; 1; 64; 64; 1],0.28600980597548187,0.0639338718592111,tvm
8,2,100,1,640,16,0,[8; 2; 100; 1; 640; 16; 0],0.08618490799563006,0.2121684029255035,tvm
320,10,20,1,256,16,1,[320; 10; 20; 1; 256; 16; 1],0.2717756519559771,0.06728238587272804,tvm
20,1,500,1,256,64,0,[20; 1; 500; 1; 256; 64; 0],0.10169989196583629,0.17980072478205728,tvm
160,8,12,1,1024,16,0,[160; 8; 12; 1; 1024; 16; 0],0.22712544503156096,0.08050931626429322,tvm
128,2,60,1,1024,128,1,[128; 2; 60; 1; 1024; 128; 1],0.09426889702444896,0.19397399208958416,tvm
1280,32,300,1,1024,128,1,[1280; 32; 300; 1; 1024; 128; 1],0.3725206690141931,0.04908644219421177,tvm
1280,5,30,1,5120,128,0,[1280; 5; 30; 1; 5120; 128; 0],1.8191855029435828,0.010051594109631254,tvm
256,32,300,1,1280,128,0,[256; 32; 300; 1; 1280; 128; 0],0.13719169504474849,0.13328586894235797,tvm
160,20,125,1,512,16,1,[160; 20; 125; 1; 512; 16; 1],0.23413407907355577,0.07809932820573989,tvm
256,1,15,1,256,64,1,[256; 1; 15; 1; 256; 64; 1],0.084654139529448,0.21600496310464976,tvm
4,2,500,1,1024,64,1,[4; 2; 500; 1; 1024; 64; 1],0.16782663704361767,0.10895597151816777,tvm
160,2,3,1,128,64,0,[160; 2; 3; 1; 128; 64; 0],0.06503521604463458,0.28116634952307296,tvm
64,8,750,1,256,16,1,[64; 8; 750; 1; 256; 16; 1],0.12508263194467872,0.14618907518512764,tvm
10,5,60,1,640,64,0,[10; 5; 60; 1; 640; 64; 0],0.06025273003615439,0.30348358115461366,tvm
20,5,5,1,320,64,0,[20; 5; 5; 1; 320; 64; 0],0.0636784439557232,0.28715705268220254,tvm
5,5,300,1,320,16,0,[5; 5; 300; 1; 320; 16; 0],0.11893849004991353,0.1537409317878555,tvm
160,4,12,1,128,16,0,[160; 4; 12; 1; 128; 16; 0],0.14713750209193677,0.12427636751838236,tvm
80,1,100,1,640,64,1,[80; 1; 100; 1; 640; 64; 1],0.0694727374939248,0.26320704992103305,tvm
128,64,75,1,320,64,1,[128; 64; 75; 1; 320; 64; 1],0.06511348899221048,0.28082835935733386,tvm
160,10,60,1,64,16,0,[160; 10; 60; 1; 64; 16; 0],0.15360771398991346,0.11904164062304191,tvm
40,1,300,1,512,64,1,[40; 1; 300; 1; 512; 64; 1],0.10934973903931677,0.16722229468823557,tvm
256,2,750,1,80,16,0,[256; 2; 750; 1; 80; 16; 0],0.1710873730480671,0.10687939127206603,tvm
40,40,125,1,1024,128,1,[40; 40; 125; 1; 1024; 128; 1],0.05800274951616302,0.3152559911081249,tvm
320,16,2,1,64,16,0,[320; 16; 2; 1; 64; 16; 0],0.2413768219994381,0.07575588299756823,tvm
32,16,150,1,2560,64,0,[32; 16; 150; 1; 2560; 64; 0],0.31305471796076745,0.05841060120360775,tvm
2,2,10,1,1024,16,1,[2; 2; 10; 1; 1024; 16; 1],0.27916661696508527,0.06550107775959917,tvm
2,2,6,1,5120,128,0,[2; 2; 6; 1; 5120; 128; 0],1.0309801120311022,0.017736243475822405,tvm
32,16,4,1,32,16,1,[32; 16; 4; 1; 32; 16; 1],0.08071591303450987,0.22654410509977482,tvm
8,2,6,1,640,16,1,[8; 2; 6; 1; 640; 16; 1],0.06102588848443702,0.29963864090856385,tvm
320,8,20,1,640,16,1,[320; 8; 20; 1; 640; 16; 1],0.22965879796538502,0.0796212226473047,tvm
320,32,15,1,1024,16,1,[320; 32; 15; 1; 1024; 16; 1],0.3618356849765405,0.05053596161169077,tvm
1280,20,6,1,1024,16,0,[1280; 20; 6; 1; 1024; 16; 0],0.49350903695449233,0.03705244061701034,tvm
640,8,4,1,2560,128,1,[640; 8; 4; 1; 2560; 128; 1],0.9172607780201361,0.019935131561150076,tvm
4,2,250,1,2560,64,1,[4; 2; 250; 1; 2560; 64; 1],0.34868897101841867,0.05244133255005759,tvm
1280,64,500,1,640,64,1,[1280; 64; 500; 1; 640; 64; 1],0.25876678398344666,0.07066484347111578,tvm
256,8,500,1,640,128,1,[256; 8; 500; 1; 640; 128; 1],0.06534911703784019,0.2798157819810481,tvm
