kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
32,32,32,1,32,16,0,[32; 32; 32; 1; 32; 16; 0],0.03187811773386784,0.2192885641814365,tvm
1,1,32,1,3584,128,1,[1; 1; 32; 1; 3584; 128; 1],0.11811917996965349,0.05918180830973114,tvm
512,1,32,1,896,64,1,[512; 1; 32; 1; 896; 64; 1],0.09698267100611702,0.0720799560802543,tvm
256,32,64,1,14336,128,0,[256; 32; 64; 1; 14336; 128; 0],0.932797439978458,0.007494131487783785,tvm
64,8,8,1,16,16,0,[64; 8; 8; 1; 16; 16; 0],0.041776722500799224,0.16733018408835046,tvm
16,1,8,1,1792,64,1,[16; 1; 8; 1; 1792; 64; 1],0.016456486759125255,0.42478730539435305,tvm
4,4,2,1,3584,64,1,[4; 4; 2; 1; 3584; 64; 1],0.05103485594736412,0.1369751425158616,tvm
256,16,16,1,2048,64,1,[256; 16; 16; 1; 2048; 64; 1],0.10851815191563219,0.06441785584499689,tvm
16,1,16,1,1792,16,1,[16; 1; 16; 1; 1792; 16; 1],0.020333334759925492,0.34379538571528845,tvm
2,1,8,1,3584,64,1,[2; 1; 8; 1; 3584; 64; 1],0.06010007450822741,0.1163144426003948,tvm
4,4,2,1,128,64,0,[4; 4; 2; 1; 128; 64; 0],0.021391936505096965,0.3267823212265551,tvm
2048,2,2,1,224,16,0,[2048; 2; 2; 1; 224; 16; 0],0.18488034699112177,0.03781097764275811,tvm
512,2,2,1,448,64,1,[512; 2; 2; 1; 448; 64; 1],0.09578184300335124,0.07298363079547426,tvm
64,1,16,1,16,16,1,[64; 1; 16; 1; 16; 16; 1],0.06104800454340875,0.11450835648028433,tvm
64,16,64,1,256,64,1,[64; 16; 64; 1; 256; 64; 1],0.028883445513201877,0.24202468031286248,tvm
4,4,32,1,14336,64,1,[4; 4; 32; 1; 14336; 64; 1],0.2610843009315431,0.026774902365728964,tvm
16,4,1,1,512,128,0,[16; 4; 1; 1; 512; 128; 0],0.03144366174819879,0.22231846668008087,tvm
8,4,32,1,896,64,0,[8; 4; 32; 1; 896; 64; 0],0.015187073629931547,0.46029319650425476,tvm
16,16,4,1,256,16,0,[16; 16; 4; 1; 256; 16; 0],0.027729748748242855,0.2520941220972885,tvm
8,2,32,1,128,128,0,[8; 2; 32; 1; 128; 128; 0],0.01946039975155145,0.35921701280105306,tvm
32,2,8,1,896,128,1,[32; 2; 8; 1; 896; 128; 1],0.025190064014168456,0.277510476461464,tvm
32,8,8,1,256,64,1,[32; 8; 8; 1; 256; 64; 1],0.02936023473739624,0.2380943725140873,tvm
16,2,16,1,128,16,1,[16; 2; 16; 1; 128; 16; 1],0.023041329885018058,0.3033898955290787,tvm
16,2,4,1,128,16,0,[16; 2; 4; 1; 128; 16; 0],0.04727347902371548,0.1478737510129045,tvm
8,1,8,1,1792,128,0,[8; 1; 8; 1; 1792; 128; 0],0.024402438633842394,0.2864675441483098,tvm
16,4,1,1,256,16,0,[16; 4; 1; 1; 256; 16; 0],0.028275378252146766,0.2472294660155757,tvm
32,1,32,1,1024,128,1,[32; 1; 32; 1; 1024; 128; 1],0.02857173577649519,0.24466510265076277,tvm
32,4,1,1,448,64,1,[32; 4; 1; 1; 448; 64; 1],0.028383535012835637,0.246287386807366,tvm
8,2,8,1,128,128,0,[8; 2; 8; 1; 128; 128; 0],0.019464914250420406,0.3591336995751566,tvm
16,8,64,1,1024,64,0,[16; 8; 64; 1; 1024; 64; 0],0.01828808762365952,0.38224372118728056,tvm
16,2,16,1,896,16,1,[16; 2; 16; 1; 896; 16; 1],0.021751007370767184,0.3213877200033381,tvm
32,2,1,1,512,64,1,[32; 2; 1; 1; 512; 64; 1],0.031539929506834596,0.2216398950781373,tvm
32,1,64,1,1024,64,1,[32; 1; 64; 1; 1024; 64; 1],0.03179388225544244,0.219869552591994,tvm
16,8,16,1,128,128,0,[16; 8; 16; 1; 128; 128; 0],0.01949067448731512,0.358659043391044,tvm
16,4,16,1,256,16,1,[16; 4; 16; 1; 256; 16; 1],0.021266249124892056,0.3287136638724084,tvm
16,16,8,1,224,16,1,[16; 16; 8; 1; 224; 16; 1],0.022957952751312405,0.30449172634816274,tvm
8,2,4,1,256,16,1,[8; 2; 4; 1; 256; 16; 1],0.01702072750777006,0.410705515582425,tvm
16,16,2,1,128,16,1,[16; 16; 2; 1; 128; 16; 1],0.025982891238527372,0.269042678987978,tvm
32,4,4,1,256,128,1,[32; 4; 4; 1; 256; 128; 1],0.027229617000557482,0.2567243845744708,tvm
8,4,1,1,512,128,0,[8; 4; 1; 1; 512; 128; 0],0.02084656663646456,0.3353313180329157,tvm
16,16,4,1,1024,128,0,[16; 16; 4; 1; 1024; 128; 0],0.03402363549685106,0.205460309122864,tvm
16,2,8,1,896,16,1,[16; 2; 8; 1; 896; 16; 1],0.020856612885836512,0.3351697950636002,tvm
8,1,4,1,1792,128,0,[8; 1; 4; 1; 1792; 128; 0],0.027245484496233985,0.25657487087935366,tvm
8,2,1,1,1024,64,0,[8; 2; 1; 1; 1024; 64; 0],0.01922980326344259,0.3635246066170726,tvm
16,1,16,1,448,16,1,[16; 1; 16; 1; 448; 16; 1],0.02138392200868111,0.32690479622160845,tvm
8,1,16,1,1792,128,1,[8; 1; 16; 1; 1792; 128; 1],0.014066239382373169,0.49697054604563906,tvm
8,8,8,1,896,64,1,[8; 8; 8; 1; 896; 64; 1],0.016903235868085176,0.4135602627343898,tvm
8,4,8,1,256,64,0,[8; 4; 8; 1; 256; 64; 0],0.01895029074512422,0.36888651264969513,tvm
8,8,1,1,256,64,0,[8; 8; 1; 1; 256; 64; 0],0.02157786900352221,0.3239664985233523,tvm
16,16,4,1,256,16,1,[16; 16; 4; 1; 256; 16; 1],0.02320507874537725,0.3012489956776926,tvm
16,16,32,1,256,64,0,[16; 16; 32; 1; 256; 64; 0],0.018506328255170956,0.3777360138801931,tvm
16,2,32,1,1792,128,1,[16; 2; 32; 1; 1792; 128; 1],0.013026753629674204,0.5366269191383716,tvm
16,16,2,1,896,64,0,[16; 16; 2; 1; 896; 64; 0],0.032185927499085665,0.21719140039898657,tvm
8,2,64,1,128,64,1,[8; 2; 64; 1; 128; 64; 1],0.01592892361804843,0.43885618603544574,tvm
8,4,8,1,128,128,1,[8; 4; 8; 1; 128; 128; 1],0.01585911150323227,0.4407880394334778,tvm
8,4,2,1,256,128,0,[8; 4; 2; 1; 256; 128; 0],0.038887449976755306,0.17976253703560383,tvm
16,4,4,1,1024,128,0,[16; 4; 4; 1; 1024; 128; 0],0.03420959849609062,0.20434342915382425,tvm
16,16,16,1,512,64,1,[16; 16; 16; 1; 512; 64; 1],0.01764963925234042,0.39607079593650585,tvm
16,8,8,1,1024,128,1,[16; 8; 8; 1; 1024; 128; 1],0.018177290621679276,0.3845736315801316,tvm
16,4,8,1,256,128,0,[16; 4; 8; 1; 256; 128; 0],0.025737003481481224,0.2716130753798362,tvm
16,2,1,1,512,128,0,[16; 2; 1; 1; 512; 128; 0],0.03147170375450514,0.22212037585241895,tvm
16,8,1,1,256,128,0,[16; 8; 1; 1; 256; 128; 0],0.02942674799123779,0.23755620800328273,tvm
8,1,4,1,256,64,0,[8; 1; 4; 1; 256; 64; 0],0.01987637775891926,0.3516992256564338,tvm
16,16,4,1,256,64,0,[16; 16; 4; 1; 256; 64; 0],0.025502763252006844,0.2741078132432012,tvm
16,8,32,1,128,64,1,[16; 8; 32; 1; 128; 64; 1],0.016710869371308945,0.41832094496943023,tvm
16,2,1,1,512,64,0,[16; 2; 1; 1; 512; 64; 0],0.03267589025199413,0.21393469658382308,tvm
16,8,8,1,896,128,1,[16; 8; 8; 1; 896; 128; 1],0.01635711675044149,0.42736790189371165,tvm
16,4,64,1,896,128,1,[16; 4; 64; 1; 896; 128; 1],0.013762378875981085,0.5079431927911032,tvm
16,2,4,1,896,64,0,[16; 2; 4; 1; 896; 64; 0],0.024001676865736954,0.29125076159348706,tvm
16,16,4,1,896,64,1,[16; 16; 4; 1; 896; 64; 1],0.020133324491325766,0.3472107485119238,tvm
16,4,8,1,448,64,1,[16; 4; 8; 1; 448; 64; 1],0.017764407748472877,0.39351194622672453,tvm
8,1,4,1,256,64,1,[8; 1; 4; 1; 256; 64; 1],0.016971624121651985,0.4118937949932764,tvm
16,1,32,1,128,64,1,[16; 1; 32; 1; 128; 64; 1],0.016662519745295867,0.41953478666635724,tvm
16,2,8,1,896,64,1,[16; 2; 8; 1; 896; 64; 1],0.016805303006549366,0.41597028413842496,tvm
16,1,32,1,448,64,1,[16; 1; 32; 1; 448; 64; 1],0.014740538885234855,0.4742368458231091,tvm
16,1,32,1,896,64,1,[16; 1; 32; 1; 896; 64; 1],0.014710080489749089,0.4752187910554325,tvm
16,1,16,1,256,64,1,[16; 1; 16; 1; 256; 64; 1],0.016500558995176107,0.4236527179903616,tvm
16,2,4,1,512,64,1,[16; 2; 4; 1; 512; 64; 1],0.023404988620313816,0.2986759267466346,tvm
16,4,2,1,256,64,1,[16; 4; 2; 1; 256; 64; 1],0.027851039747474715,0.2509962547197364,tvm
16,1,2,1,1024,64,1,[16; 1; 2; 1; 1024; 64; 1],0.030135105276713148,0.23197219994677,tvm
16,1,4,1,256,128,1,[16; 1; 4; 1; 256; 128; 1],0.027520239003933966,0.25401329783754373,tvm
32,4,8,1,1792,128,1,[32; 4; 8; 1; 1792; 128; 1],0.024903854122385383,0.2806997917797428,tvm
32,1,32,1,1024,16,1,[32; 1; 32; 1; 1024; 16; 1],0.032487990480149165,0.21517202398030777,tvm
16,16,16,1,64,16,1,[16; 16; 16; 1; 64; 16; 1],0.024749652002356015,0.2824486851775214,tvm
8,8,2,1,128,64,1,[8; 8; 2; 1; 128; 64; 1],0.017525013128761202,0.39888738543620184,tvm
32,1,8,1,64,64,1,[32; 1; 8; 1; 64; 64; 1],0.03370079674641602,0.2074285281522339,tvm
8,1,32,1,2048,128,1,[8; 1; 32; 1; 2048; 128; 1],0.015964674239512533,0.43787342991097045,tvm
4,4,16,1,448,64,1,[4; 4; 16; 1; 448; 64; 1],0.018277335620950907,0.38246858358576086,tvm
32,8,32,1,1024,16,1,[32; 8; 32; 1; 1024; 16; 1],0.03535582573385909,0.19771866507340805,tvm
1,1,64,1,1792,128,1,[1; 1; 64; 1; 1792; 128; 1],0.05287040048278868,0.13221966549964648,tvm
2,2,32,1,1792,128,1,[2; 2; 32; 1; 1792; 128; 1],0.027227044745814055,0.2567486384192101,tvm
8,4,64,1,64,16,0,[8; 4; 64; 1; 64; 16; 0],0.03503973799524829,0.1995022527741116,tvm
1,1,32,1,1792,128,1,[1; 1; 32; 1; 1792; 128; 1],0.05199432250810787,0.13444749983186305,tvm
8,8,64,1,16,16,0,[8; 8; 64; 1; 16; 16; 0],0.03536374701070599,0.19767437722451658,tvm
8,2,32,1,2048,128,1,[8; 2; 32; 1; 2048; 128; 1],0.016798409502371214,0.4161409843997378,tvm
32,2,8,1,1024,64,1,[32; 2; 8; 1; 1024; 64; 1],0.030720372742507607,0.22755279453344465,tvm
4,2,32,1,64,64,1,[4; 2; 32; 1; 64; 64; 1],0.017420105621567927,0.4012895684175234,tvm
32,32,16,1,1024,128,1,[32; 32; 16; 1; 1024; 128; 1],0.015858209997531958,0.4408130973013103,tvm
16,8,32,1,2048,128,1,[16; 8; 32; 1; 2048; 128; 1],0.015265482506947592,0.4579289690637137,tvm
32,32,64,1,1792,64,1,[32; 32; 64; 1; 1792; 64; 1],0.017509503988549113,0.3992407021488631,tvm
8,1,16,1,512,16,0,[8; 1; 16; 1; 512; 16; 0],0.02785477548604831,0.25096259239885166,tvm
8,8,16,1,896,16,0,[8; 8; 16; 1; 896; 16; 0],0.02493616424908396,0.28033608524709114,tvm
32,2,32,1,512,128,0,[32; 2; 32; 1; 512; 128; 0],0.029530059517128393,0.2367251126809259,tvm
16,1,32,1,256,16,0,[16; 1; 32; 1; 256; 16; 0],0.024046510370681062,0.29070773924809934,tvm
8,4,8,1,1792,16,1,[8; 4; 8; 1; 1792; 16; 1],0.018248727748868987,0.383068165784868,tvm
8,4,16,1,256,16,1,[8; 4; 16; 1; 256; 16; 1],0.022354706248734146,0.312708500343748,tvm
32,8,16,1,896,128,1,[32; 8; 16; 1; 896; 128; 1],0.025125309999566525,0.2782256882317978,tvm
32,8,32,1,1792,128,1,[32; 8; 32; 1; 1792; 128; 1],0.024695427622646093,0.28306886495280864,tvm
8,1,4,1,256,64,1,[8; 1; 4; 1; 256; 64; 1],0.017673618989647366,0.3955334032470361,tvm
8,4,8,1,512,16,1,[8; 4; 8; 1; 512; 16; 1],0.02192988987371791,0.31876615463739777,tvm
16,8,8,1,1792,128,0,[16; 8; 8; 1; 1792; 128; 0],0.0239573900034884,0.29178915840368214,tvm
8,4,32,1,512,16,0,[8; 4; 32; 1; 512; 16; 0],0.030434612766839564,0.22968935797610232,tvm
8,1,8,1,448,16,1,[8; 1; 8; 1; 448; 16; 1],0.01912950276164338,0.3654306520022753,tvm
16,1,64,1,32,16,1,[16; 1; 64; 1; 32; 16; 1],0.02719912599422969,0.2570121800292299,tvm
16,4,8,1,128,64,0,[16; 4; 8; 1; 128; 64; 0],0.024023005753406323,0.29099217385299314,tvm
8,1,64,1,112,16,1,[8; 1; 64; 1; 112; 16; 1],0.02757103875046596,0.2535452773446385,tvm
8,1,32,1,112,16,1,[8; 1; 32; 1; 112; 16; 1],0.022849523869808763,0.3059366447413494,tvm
16,1,8,1,1024,64,0,[16; 1; 8; 1; 1024; 64; 0],0.02252170312567614,0.31038978835916964,tvm
32,4,64,1,896,64,1,[32; 4; 64; 1; 896; 64; 1],0.027720434009097517,0.2521788318455788,tvm
16,1,8,1,448,64,0,[16; 1; 8; 1; 448; 64; 0],0.021053046744782478,0.3320425186629629,tvm
16,16,64,1,1792,16,1,[16; 16; 64; 1; 1792; 16; 1],0.021785282500786707,0.3208820756129385,tvm
8,1,64,1,224,16,1,[8; 1; 64; 1; 224; 16; 1],0.022301749253529124,0.31345104759262143,tvm
16,2,16,1,1024,128,0,[16; 2; 16; 1; 1024; 128; 0],0.022776805504690856,0.3069133933302008,tvm
8,4,64,1,512,16,1,[8; 4; 64; 1; 512; 16; 1],0.026866165484534577,0.26019740966349403,tvm
8,2,32,1,448,16,1,[8; 2; 32; 1; 448; 16; 1],0.021237017877865583,0.32916611488812497,tvm
16,2,64,1,896,16,1,[16; 2; 64; 1; 896; 16; 1],0.02227261837106198,0.3138610176048804,tvm
16,4,32,1,896,16,1,[16; 4; 32; 1; 896; 16; 1],0.020378257875563577,0.3430375015054293,tvm
16,8,16,1,512,64,0,[16; 8; 16; 1; 512; 64; 0],0.020298959250794724,0.34437759001821644,tvm
8,4,32,1,128,128,0,[8; 4; 32; 1; 128; 128; 0],0.01974007837998215,0.35412760436430385,tvm
8,8,64,1,1792,128,0,[8; 8; 64; 1; 1792; 128; 0],0.01919365575304255,0.3642092343746731,tvm
8,1,32,1,512,128,0,[8; 1; 32; 1; 512; 128; 0],0.02187708849669434,0.3195355116711688,tvm
16,8,16,1,128,128,1,[16; 8; 16; 1; 128; 128; 1],0.014680339503684081,0.4761815395967086,tvm
16,8,16,1,128,64,1,[16; 8; 16; 1; 128; 64; 1],0.018059467867715284,0.38708264927138414,tvm
16,16,8,1,896,64,1,[16; 16; 8; 1; 896; 64; 1],0.016939036242547445,0.4126862099219035,tvm
16,8,8,1,512,64,1,[16; 8; 8; 1; 512; 64; 1],0.019811576377833262,0.35284959325539544,tvm
8,2,16,1,1792,64,1,[8; 2; 16; 1; 1792; 64; 1],0.0143500088743167,0.48714302046029445,tvm
16,1,16,1,1792,64,1,[16; 1; 16; 1; 1792; 64; 1],0.014509979126160033,0.4817723448039623,tvm
16,8,32,1,128,128,1,[16; 8; 32; 1; 128; 128; 1],0.014764703999389894,0.4734606712708584,tvm
16,4,16,1,896,64,1,[16; 4; 16; 1; 896; 64; 1],0.015101510871318169,0.4629011445433264,tvm
16,1,64,1,128,128,1,[16; 1; 64; 1; 128; 128; 1],0.02846418699482456,0.2455895426747197,tvm
8,8,32,1,512,128,1,[8; 8; 32; 1; 512; 128; 1],0.01596176037855912,0.4379533648466978,tvm
8,4,64,1,512,128,1,[8; 4; 64; 1; 512; 128; 1],0.01650751537817996,0.42347418775734663,tvm
8,8,32,1,896,64,1,[8; 8; 32; 1; 896; 64; 1],0.0143661473703105,0.48659577870636717,tvm
8,2,32,1,896,128,1,[8; 2; 32; 1; 896; 128; 1],0.013988197388243861,0.49974321012525297,tvm
8,2,64,1,896,64,1,[8; 2; 64; 1; 896; 64; 1],0.015043855382828042,0.4646752104946482,tvm
16,1,1,1,896,128,1,[16; 1; 1; 1; 896; 128; 1],0.028452606755308807,0.24568949786515953,tvm
8,8,2,1,896,64,0,[8; 8; 2; 1; 896; 64; 0],0.02233579162566457,0.31297331134815665,tvm
16,4,2,1,1792,128,1,[16; 4; 2; 1; 1792; 128; 1],0.027767382242018357,0.2517524556595919,tvm
8,2,64,1,2048,16,1,[8; 2; 64; 1; 2048; 16; 1],0.03390416249749251,0.2061843193201918,tvm
16,16,2,1,128,64,1,[16; 16; 2; 1; 128; 64; 1],0.02954830473754555,0.23657894179574304,tvm
16,16,1,1,896,64,1,[16; 16; 1; 1; 896; 64; 1],0.028692196268821135,0.24363790771440597,tvm
16,2,8,1,512,128,0,[16; 2; 8; 1; 512; 128; 0],0.027356313250493258,0.2555354079570873,tvm
4,4,16,1,256,128,1,[4; 4; 16; 1; 256; 128; 1],0.01764981912856456,0.3960667594237946,tvm
8,2,1,1,448,64,0,[8; 2; 1; 1; 448; 64; 0],0.018615766617585905,0.3755153795311813,tvm
8,1,16,1,128,16,1,[8; 1; 16; 1; 128; 16; 1],0.02299447362020146,0.3040081187388112,tvm
4,4,64,1,896,128,1,[4; 4; 64; 1; 896; 128; 1],0.017383318743668497,0.40213878429933353,tvm
8,2,32,1,256,16,1,[8; 2; 32; 1; 256; 16; 1],0.021980870005791076,0.3180268417412482,tvm
16,8,16,1,7168,64,1,[16; 8; 16; 1; 7168; 64; 1],0.06423339253524318,0.10882979071720614,tvm
8,8,64,1,1792,16,1,[8; 8; 64; 1; 1792; 16; 1],0.02131891575118061,0.3279016038270869,tvm
16,8,32,1,896,16,1,[16; 8; 32; 1; 896; 16; 1],0.021695519870263524,0.32220968699846864,tvm
8,1,16,1,14336,128,1,[8; 1; 16; 1; 14336; 128; 1],0.1796971030998975,0.03890161024343555,tvm
8,1,2,1,224,16,1,[8; 1; 2; 1; 224; 16; 1],0.018084377501509152,0.3865494770877961,tvm
16,8,64,1,7168,128,1,[16; 8; 64; 1; 7168; 128; 1],0.07687363302102312,0.09093503704651149,tvm
16,4,4,1,896,128,1,[16; 4; 4; 1; 896; 128; 1],0.020572303372318856,0.33980184620808046,tvm
16,2,16,1,256,16,1,[16; 2; 16; 1; 256; 16; 1],0.02110563286987599,0.33121521206048254,tvm
16,4,16,1,512,16,1,[16; 4; 16; 1; 512; 16; 1],0.025406880507944152,0.2751422656740915,tvm
8,4,64,1,3584,64,1,[8; 4; 64; 1; 3584; 64; 1],0.036133291985606775,0.19346442802530264,tvm
16,16,4,1,1792,64,1,[16; 16; 4; 1; 1792; 64; 1],0.01978048750606831,0.3534041648125255,tvm
16,8,4,1,1792,64,1,[16; 8; 4; 1; 1792; 64; 1],0.019987890380434692,0.34973709249023005,tvm
8,1,32,1,7168,128,1,[8; 1; 32; 1; 7168; 128; 1],0.09961139049846679,0.07017778420404908,tvm
16,16,8,1,512,64,0,[16; 16; 8; 1; 512; 64; 0],0.02312558474659454,0.30228453651084797,tvm
8,1,8,1,128,128,0,[8; 1; 8; 1; 128; 128; 0],0.019511036007315852,0.35828475043793206,tvm
8,2,8,1,256,128,0,[8; 2; 8; 1; 256; 128; 0],0.02370374275778886,0.2949115141054947,tvm
8,4,1,1,128,128,1,[8; 4; 1; 1; 128; 128; 1],0.015109078129171394,0.4626693043018924,tvm
8,8,8,1,64,64,0,[8; 8; 8; 1; 64; 64; 0],0.018870304877054878,0.37045011790809435,tvm
8,1,2,1,64,64,1,[8; 1; 2; 1; 64; 64; 1],0.01734640236827545,0.4029946105396177,tvm
8,8,2,1,256,64,1,[8; 8; 2; 1; 256; 64; 1],0.02152961873798631,0.32469254340917775,tvm
16,16,16,1,64,64,0,[16; 16; 16; 1; 64; 64; 0],0.018244887003675103,0.3831488057590357,tvm
16,2,32,1,512,128,0,[16; 2; 32; 1; 512; 128; 0],0.021768133374280296,0.3211348693281235,tvm
8,2,16,1,2048,64,0,[8; 2; 16; 1; 2048; 64; 0],0.018032524370937608,0.38766101311544726,tvm
16,4,16,1,1792,128,0,[16; 4; 16; 1; 1792; 128; 0],0.020959104745998047,0.3335307853739049,tvm
16,2,32,1,128,128,0,[16; 2; 32; 1; 128; 128; 0],0.019298643746878952,0.36222787250514416,tvm
8,4,4,1,256,64,1,[8; 4; 4; 1; 256; 64; 1],0.01766136936203111,0.3958077385378196,tvm
16,8,16,1,256,64,0,[16; 8; 16; 1; 256; 64; 0],0.019551731369574554,0.3575390094375453,tvm
16,16,64,1,128,128,0,[16; 16; 64; 1; 128; 128; 0],0.01959954999620095,0.3566666922465904,tvm
16,1,16,1,896,64,0,[16; 1; 16; 1; 896; 64; 0],0.018193684751167893,0.38422709650489745,tvm
8,1,4,1,1792,64,1,[8; 1; 4; 1; 1792; 64; 1],0.019181217125151306,0.36444541663106395,tvm
16,8,64,1,448,64,0,[16; 8; 64; 1; 448; 64; 0],0.01688303449191153,0.41405510780752947,tvm
16,8,32,1,512,64,0,[16; 8; 32; 1; 512; 64; 0],0.019196510256733745,0.3641550767913423,tvm
16,2,32,1,1024,64,0,[16; 2; 32; 1; 1024; 64; 0],0.018449398878146894,0.37890159526806283,tvm
8,2,32,1,896,64,0,[8; 2; 32; 1; 896; 64; 0],0.015014003380201757,0.46559911368374346,tvm
16,2,8,1,64,64,1,[16; 2; 8; 1; 64; 64; 1],0.016750157621572725,0.41733975432347636,tvm
8,1,8,1,128,64,1,[8; 1; 8; 1; 128; 64; 1],0.016074895873316564,0.4348710387773348,tvm
8,4,8,1,512,64,1,[8; 4; 8; 1; 512; 64; 1],0.018033730739261955,0.387635080490991,tvm
