kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
80,8,150,10,160,16,1,0,[80; 8; 150; 10; 160; 16; 1; 0],0.03611254499992356,0.5063535202449175,tvm
80,16,15,5,1024,32,2,0,[80; 16; 15; 5; 1024; 32; 2; 0],0.039950032252818346,0.45771463136739493,tvm
80,16,150,5,5120,64,4,0,[80; 16; 150; 5; 5120; 64; 4; 0],0.2114427969790995,0.08648066780691412,tvm
32,32,100,4,1024,64,4,0,[32; 32; 100; 4; 1024; 64; 4; 0],0.04932875474332832,0.3706907741916477,tvm
8,4,150,5,80,16,1,1,[8; 4; 150; 5; 80; 16; 1; 1],0.048582503746729344,0.3763847656152409,tvm
20,4,150,2,128,64,4,1,[20; 4; 150; 2; 128; 64; 4; 1],0.045820191997336224,0.3990754619006689,tvm
40,20,300,20,128,16,1,0,[40; 20; 300; 20; 128; 16; 1; 0],0.21689274499658495,0.08430763456842322,tvm
80,80,60,3,512,64,4,1,[80; 80; 60; 3; 512; 64; 4; 1],0.0467178292456083,0.3914076184828993,tvm
8,4,10,2,128,16,1,1,[8; 4; 10; 2; 128; 16; 1; 1],0.052967157505918294,0.34522740405072955,tvm
128,1,500,5,256,64,4,0,[128; 1; 500; 5; 256; 64; 4; 0],0.029964596236823127,0.6102439739616179,tvm
40,5,1500,6,160,32,2,1,[40; 5; 1500; 6; 160; 32; 2; 1],0.03546077973442152,0.5156602427431813,tvm
128,4,750,6,32,32,2,1,[128; 4; 750; 6; 32; 32; 2; 1],0.028607596992515028,0.6391908516642839,tvm
80,4,375,3,64,64,4,0,[80; 4; 375; 3; 64; 64; 4; 0],0.034904407744761556,0.5238798039327455,tvm
64,1,750,25,1280,16,1,1,[64; 1; 750; 25; 1280; 16; 1; 1],0.07720980647718534,0.23683150003902054,tvm
80,4,300,3,512,64,4,0,[80; 4; 300; 3; 512; 64; 4; 0],0.05047864996595308,0.3622465002144008,tvm
20,5,6,2,64,64,4,0,[20; 5; 6; 2; 64; 64; 4; 0],0.0575193224940449,0.3179055922921805,tvm
80,40,1500,3,1280,64,4,0,[80; 40; 1500; 3; 1280; 64; 4; 0],0.07114557997556403,0.2570182756538745,tvm
80,2,75,15,128,16,1,0,[80; 2; 75; 15; 128; 16; 1; 0],0.03877796375309117,0.4715491097506802,tvm
5,1,1500,10,160,16,1,1,[5; 1; 1500; 10; 160; 16; 1; 1],0.08702168200397864,0.2101282561382606,tvm
4,2,3,1,320,80,5,1,[4; 2; 3; 1; 320; 80; 5; 1],0.06926951202331111,0.2639792565531664,tvm
128,8,15,5,512,64,4,0,[128; 8; 15; 5; 512; 64; 4; 0],0.041218788508558646,0.44362570923008693,tvm
160,2,4,4,64,32,2,1,[160; 2; 4; 4; 64; 32; 2; 1],0.02806669700657949,0.6515093059018555,tvm
80,40,6,3,320,64,4,0,[80; 40; 6; 3; 320; 64; 4; 0],0.030152775230817497,0.606435531911685,tvm
256,1,250,5,32,32,2,0,[256; 1; 250; 5; 32; 32; 2; 0],0.05503320146817714,0.33226695518137306,tvm
128,64,300,4,320,32,2,1,[128; 64; 300; 4; 320; 32; 2; 1],0.033939460263354704,0.5387744573374326,tvm
160,2,150,6,128,32,2,0,[160; 2; 150; 6; 128; 32; 2; 0],0.03788395776064135,0.4826769790328454,tvm
80,1,10,5,160,32,2,0,[80; 1; 10; 5; 160; 32; 2; 0],0.02926541375927627,0.6248233644029125,tvm
128,2,2,2,64,64,4,1,[128; 2; 2; 2; 64; 64; 4; 1],0.036120566743193194,0.5062410680242212,tvm
128,2,20,4,64,64,4,1,[128; 2; 20; 4; 64; 64; 4; 1],0.02451928825757932,0.7457685595772491,tvm
80,40,300,4,320,80,5,1,[80; 40; 300; 4; 320; 80; 5; 1],0.0291827010223642,0.626594305705322,tvm
64,16,12,12,32,32,2,1,[64; 16; 12; 12; 32; 32; 2; 1],0.024279903125716373,0.7531213856593495,tvm
64,64,30,6,256,64,4,1,[64; 64; 30; 6; 256; 64; 4; 1],0.03608846775023267,0.5066913456195822,tvm
160,32,1500,4,32,32,2,0,[160; 32; 1500; 4; 32; 32; 2; 0],0.034599802253069356,0.5284918726404616,tvm
256,1,150,6,128,32,2,1,[256; 1; 150; 6; 128; 32; 2; 1],0.03592568723252043,0.5089871814382942,tvm
