kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,4,1,1,32,32,2,1,[8; 4; 1; 1; 32; 32; 2; 1],0.0020735558136948384,0.4169401015003522,tvm
3,1,1,1,768,192,12,1,[3; 1; 1; 1; 768; 192; 12; 1],0.01779280799382832,0.048589776932817574,tvm
8,2,1,1,768,16,1,1,[8; 2; 1; 1; 768; 16; 1; 1],0.01607171336945612,0.05379318007696826,tvm
4,4,1,1,384,192,12,1,[4; 4; 1; 1; 384; 192; 12; 1],0.007563719693280291,0.11430203742169978,tvm
1,1,1,1,192,32,2,0,[1; 1; 1; 1; 192; 32; 2; 0],0.08797322702594101,0.00982740545795414,tvm
3,1,197,1,192,64,4,1,[3; 1; 197; 1; 192; 64; 4; 1],0.004537148342933506,0.1905488879981374,tvm
6,1,197,1,192,96,6,0,[6; 1; 197; 1; 192; 96; 6; 0],0.009886108746286482,0.08745084578938318,tvm
16,1,197,1,96,16,1,0,[16; 1; 197; 1; 96; 16; 1; 0],0.005944684187852545,0.14543221205849802,tvm
12,6,197,1,384,128,8,0,[12; 6; 197; 1; 384; 128; 8; 0],0.009526261375867762,0.09075423582421056,tvm
64,64,1,1,384,128,8,0,[64; 64; 1; 1; 384; 128; 8; 0],0.013083155135973357,0.06608104562265828,tvm
2,2,197,1,32,16,1,0,[2; 2; 197; 1; 32; 16; 1; 0],0.009643266937928274,0.08965307887809108,tvm
24,3,1,1,128,32,2,1,[24; 3; 1; 1; 128; 32; 2; 1],0.005177955124963773,0.16696718116780127,tvm
6,3,1,1,192,96,6,0,[6; 3; 1; 1; 192; 96; 6; 0],0.015117778879357502,0.057187539143667795,tvm
8,2,1,1,32,32,2,0,[8; 2; 1; 1; 32; 32; 2; 0],0.004325206624343991,0.1998860740114811,tvm
8,2,1,1,192,32,2,0,[8; 2; 1; 1; 192; 32; 2; 0],0.015052654009195976,0.057434959369982254,tvm
3,1,197,1,256,128,8,0,[3; 1; 197; 1; 256; 128; 8; 0],0.021895633748499677,0.03948497592529431,tvm
12,2,197,1,192,192,12,0,[12; 2; 197; 1; 192; 192; 12; 0],0.009409802063601092,0.09187744498609701,tvm
8,4,1,1,48,16,1,1,[8; 4; 1; 1; 48; 16; 1; 1],0.0036417689989320934,0.23739797106353813,tvm
3,3,197,1,768,64,4,1,[3; 3; 197; 1; 768; 64; 4; 1],0.01861509399896022,0.04644341691086074,tvm
24,24,197,1,256,16,1,1,[24; 24; 197; 1; 256; 16; 1; 1],0.006628507995628752,0.13042883436192704,tvm
8,1,1,1,48,16,1,1,[8; 1; 1; 1; 48; 16; 1; 1],0.0020127375155425398,0.429538658047783,tvm
24,6,1,1,768,128,8,1,[24; 6; 1; 1; 768; 128; 8; 1],0.022086688491981477,0.03914342214508272,tvm
24,24,197,1,192,192,12,0,[24; 24; 197; 1; 192; 192; 12; 0],0.006007747408148134,0.1439056126520914,tvm
16,8,1,1,384,96,6,0,[16; 8; 1; 1; 384; 96; 6; 0],0.010512281500268728,0.08224176373192353,tvm
3,3,197,1,192,32,2,0,[3; 3; 197; 1; 192; 32; 2; 0],0.011510732438182458,0.07510804165343656,tvm
2,2,197,1,384,192,12,1,[2; 2; 197; 1; 384; 192; 12; 1],0.02526094575296156,0.03422471113644717,tvm
8,8,197,1,64,16,1,1,[8; 8; 197; 1; 64; 16; 1; 1],0.003265378407377284,0.2647621388918803,tvm
24,24,197,1,384,192,12,1,[24; 24; 197; 1; 384; 192; 12; 1],0.005094565811305074,0.16970014785364018,tvm
16,16,197,1,64,16,1,0,[16; 16; 197; 1; 64; 16; 1; 0],0.007722867747361306,0.11194657214270749,tvm
24,3,1,1,384,64,4,0,[24; 3; 1; 1; 384; 64; 4; 0],0.01287797863187734,0.06713387218150231,tvm
16,1,1,1,128,32,2,1,[16; 1; 1; 1; 128; 32; 2; 1],0.008136196753184777,0.10625954578718348,tvm
4,1,197,1,768,128,8,1,[4; 1; 197; 1; 768; 128; 8; 1],0.014245245256461203,0.06069032549906003,tvm
2,2,1,1,768,96,6,1,[2; 2; 1; 1; 768; 96; 6; 1],0.025552249484462664,0.03383453859724835,tvm
32,2,1,1,384,192,12,0,[32; 2; 1; 1; 384; 192; 12; 0],0.012004921125480905,0.07201618089714341,tvm
12,2,197,1,192,48,3,0,[12; 2; 197; 1; 192; 48; 3; 0],0.005054235934949247,0.17105425677704397,tvm
24,12,197,1,384,48,3,0,[24; 12; 197; 1; 384; 48; 3; 0],0.014715553363203071,0.05875066673268404,tvm
12,12,197,1,768,48,3,0,[12; 12; 197; 1; 768; 48; 3; 0],0.014026606004335918,0.06163633391864869,tvm
4,1,197,1,192,192,12,1,[4; 1; 197; 1; 192; 192; 12; 1],0.00324257184547605,0.2666243379108983,tvm
12,12,197,1,128,32,2,1,[12; 12; 197; 1; 128; 32; 2; 1],0.00232823637452384,0.37133195790972245,tvm
48,48,197,1,256,128,8,0,[48; 48; 197; 1; 256; 128; 8; 0],0.008767113060457632,0.09861268646436767,tvm
16,2,1,1,768,48,3,1,[16; 2; 1; 1; 768; 48; 3; 1],0.024333563007530756,0.03552905799948042,tvm
24,2,1,1,96,32,2,1,[24; 2; 1; 1; 96; 32; 2; 1],0.002210787781223189,0.3910590508828632,tvm
8,2,197,1,256,16,1,1,[8; 2; 197; 1; 256; 16; 1; 1],0.008301997375383507,0.10413741806183525,tvm
48,1,1,1,256,128,8,0,[48; 1; 1; 1; 256; 128; 8; 0],0.00865024131780956,0.09994502345831607,tvm
48,1,197,1,128,128,8,1,[48; 1; 197; 1; 128; 128; 8; 1],0.003523322218825342,0.24537879811537858,tvm
6,6,197,1,48,16,1,1,[6; 6; 197; 1; 48; 16; 1; 1],0.005354994060326135,0.16144715786592634,tvm
12,4,1,1,384,32,2,1,[12; 4; 1; 1; 384; 32; 2; 1],0.0074746623722603545,0.11566389602252095,tvm
3,3,1,1,256,16,1,1,[3; 3; 1; 1; 256; 16; 1; 1],0.005625064091873355,0.15369577258285863,tvm
4,1,1,1,192,32,2,1,[4; 1; 1; 1; 192; 32; 2; 1],0.0032718924376240466,0.26423502236411583,tvm
6,1,1,1,768,64,4,1,[6; 1; 1; 1; 768; 64; 4; 1],0.01388283037522342,0.06227466215905976,tvm
12,2,197,1,256,32,2,1,[12; 2; 197; 1; 256; 32; 2; 1],0.004256992750015343,0.20308904012708395,tvm
16,8,1,1,192,32,2,0,[16; 8; 1; 1; 192; 32; 2; 0],0.009933279376127757,0.08703556385480363,tvm
24,6,197,1,192,96,6,0,[24; 6; 197; 1; 192; 96; 6; 0],0.00468248696779483,0.18463448534395427,tvm
16,2,1,1,384,16,1,0,[16; 2; 1; 1; 384; 16; 1; 0],0.019392676622373983,0.04458118846942008,tvm
8,8,197,1,384,32,2,1,[8; 8; 197; 1; 384; 32; 2; 1],0.007744991002255119,0.11162680126766314,tvm
24,3,197,1,16,16,1,1,[24; 3; 197; 1; 16; 16; 1; 1],0.005885986687644618,0.14688252238887342,tvm
8,4,1,1,768,128,8,1,[8; 4; 1; 1; 768; 128; 8; 1],0.012511774868471548,0.06909879537611802,tvm
24,1,1,1,192,48,3,0,[24; 1; 1; 1; 192; 48; 3; 0],0.007684140124183614,0.11251077641174895,tvm
6,3,197,1,128,32,2,0,[6; 3; 197; 1; 128; 32; 2; 0],0.004781367373652756,0.180816177437563,tvm
