i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
6,6,2,320,80,16,256,32,1,0,[6; 6; 2; 320; 80; 16; 256; 32; 1; 0],0.08407927898224443,0.21748181605572284,tvm
250,10,2,32,32,16,80,20,1,0,[250; 10; 2; 32; 32; 16; 80; 20; 1; 0],0.0863003830309026,0.2118845090081061,tvm
12,12,4,640,32,16,320,5,1,0,[12; 12; 4; 640; 32; 16; 320; 5; 1; 0],0.05674611800350249,0.322237272417219,tvm
30,30,3,640,80,16,512,64,1,0,[30; 30; 3; 640; 80; 16; 512; 64; 1; 0],0.0609950894722715,0.2997899411890692,tvm
500,4,2,32,32,32,5120,5,2,0,[500; 4; 2; 32; 32; 32; 5120; 5; 2; 0],0.12878231797367334,0.14198932410466777,tvm
375,25,5,640,128,32,2560,4,2,1,[375; 25; 5; 640; 128; 32; 2560; 4; 2; 1],0.05201270949328318,0.3515624251044962,tvm
150,30,1,64,64,16,640,4,1,1,[150; 30; 1; 64; 64; 16; 640; 4; 1; 1],0.1488074839580804,0.1228816844377628,tvm
1500,20,4,640,80,16,5120,64,1,0,[1500; 20; 4; 640; 80; 16; 5120; 64; 1; 0],0.3297644939739257,0.05545082815119607,tvm
12,2,1,1280,64,64,2,2,4,1,[12; 2; 1; 1280; 64; 64; 2; 2; 4; 1],0.12203667405992746,0.14983786166390345,tvm
100,25,1,1280,320,80,32,1,5,1,[100; 25; 1; 1280; 320; 80; 32; 1; 5; 1],0.05345726199448109,0.3420623055404914,tvm
60,30,3,640,320,16,2560,20,1,0,[60; 30; 3; 640; 320; 16; 2560; 20; 1; 0],0.09015265753259882,0.20283056302696623,tvm
300,1,1,1280,256,32,128,16,2,1,[300; 1; 1; 1280; 256; 32; 128; 16; 2; 1],0.30947703402489424,0.05908585218069329,tvm
12,4,2,320,32,32,128,32,2,1,[12; 4; 2; 320; 32; 32; 128; 32; 2; 1],0.07337786653079093,0.2491993178629854,tvm
250,5,1,1280,80,80,2560,4,5,1,[250; 5; 1; 1280; 80; 80; 2560; 4; 5; 1],0.270596690941602,0.06757552807495552,tvm
60,6,2,640,320,160,10,1,10,1,[60; 6; 2; 640; 320; 160; 10; 1; 10; 1],0.07039207353955135,0.25976950764832996,tvm
