kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
512,1,8,1,128,64,0,[512; 1; 8; 1; 128; 64; 0],0.20342571707442403,0.03436392786124069,tvm
1792,1,4,1,512,128,0,[1792; 1; 4; 1; 512; 128; 0],0.14032121596392244,0.04981788832605309,tvm
256,1,4,1,1024,64,1,[256; 1; 4; 1; 1024; 64; 1],0.18164775101467967,0.03848386026040992,tvm
896,2,8,1,128,128,1,[896; 2; 8; 1; 128; 128; 1],0.18053008196875453,0.03872211539723644,tvm
7168,7,2,1,2048,16,1,[7168; 7; 2; 1; 2048; 16; 1],1.374642251059413,0.005085327954439931,tvm
224,32,32,1,32,16,0,[224; 32; 32; 1; 32; 16; 0],0.3080708420602605,0.02269123108151625,tvm
1792,32,4,1,128,64,1,[1792; 32; 4; 1; 128; 64; 1],0.2703254889929667,0.025859591312340304,tvm
32,8,16,1,512,16,1,[32; 8; 16; 1; 512; 16; 1],0.028713295730995014,0.2434588746676215,tvm
2048,1,16,1,128,128,1,[2048; 1; 16; 1; 128; 128; 1],0.23036002507433295,0.030346005841989983,tvm
14336,56,2,1,64,64,0,[14336; 56; 2; 1; 64; 64; 0],0.6097907009534538,0.011463780368799461,tvm
896,32,1,1,128,128,1,[896; 32; 1; 1; 128; 128; 1],0.1718791490420699,0.040671056993397375,tvm
28,14,64,1,1024,128,0,[28; 14; 64; 1; 1024; 128; 0],0.05633604503236711,0.12408586123946695,tvm
896,14,16,1,128,64,0,[896; 14; 16; 1; 128; 64; 0],0.22098067705519497,0.03163401777848942,tvm
64,8,1,1,4096,128,0,[64; 8; 1; 1; 4096; 128; 0],0.3274985260795802,0.021345154588475967,tvm
14336,8,4,1,128,16,0,[14336; 8; 4; 1; 128; 16; 0],0.4862453630194068,0.014376500422046523,tvm
16,2,16,1,256,64,1,[16; 2; 16; 1; 256; 64; 1],0.016048312492785044,0.43559138506365946,tvm
896,14,2,1,512,64,1,[896; 14; 2; 1; 512; 64; 1],0.09687129850499332,0.07216282608523447,tvm
2,1,4,1,128,64,1,[2; 1; 4; 1; 128; 64; 1],0.02084316774562467,0.3353860004381576,tvm
16,16,2,1,128,128,1,[16; 16; 2; 1; 128; 128; 1],0.014404448738787323,0.48530192258195237,tvm
8,1,32,1,256,128,0,[8; 1; 32; 1; 256; 128; 0],0.02218290099699516,0.3151304091206819,tvm
1,1,32,1,256,128,0,[1; 1; 32; 1; 256; 128; 0],0.14732269092928618,0.04745030533023632,tvm
4,1,32,1,256,128,0,[4; 1; 32; 1; 256; 128; 0],0.04185127723030746,0.16703209864296203,tvm
56,8,16,1,512,64,1,[56; 8; 16; 1; 512; 64; 1],0.026962338015437126,0.2592693060469865,tvm
28,2,16,1,512,64,0,[28; 2; 16; 1; 512; 64; 0],0.032838774990523234,0.21287355172913788,tvm
4,2,1,1,64,64,1,[4; 2; 1; 1; 64; 64; 1],0.017736723617417738,0.3941261541563336,tvm
28,4,32,1,512,64,0,[28; 4; 32; 1; 512; 64; 0],0.022290285385679454,0.31361225510184654,tvm
16,8,4,1,128,64,1,[16; 8; 4; 1; 128; 64; 1],0.0222919502411969,0.31358883323486786,tvm
14,7,1,1,128,64,1,[14; 7; 1; 1; 128; 64; 1],0.01963098149280995,0.35609562717111276,tvm
8,1,64,1,512,64,0,[8; 1; 64; 1; 512; 64; 0],0.020333234511781484,0.3437970807161166,tvm
7,7,1,1,64,64,1,[7; 7; 1; 1; 64; 64; 1],0.01714154300861992,0.40781081744807746,tvm
8,2,64,1,256,128,0,[8; 2; 64; 1; 256; 128; 0],0.02060983338742517,0.33918307514954665,tvm
14,14,16,1,256,64,0,[14; 14; 16; 1; 256; 64; 0],0.022724726877640933,0.3076167517570779,tvm
8,2,16,1,512,128,0,[8; 2; 16; 1; 512; 128; 0],0.03455776776536368,0.20228467052993693,tvm
7,7,16,1,256,16,0,[7; 7; 16; 1; 256; 16; 0],0.03718892825418152,0.18797279176445897,tvm
16,8,32,1,256,16,0,[16; 8; 32; 1; 256; 16; 0],0.026150404766667634,0.2673192529538606,tvm
2,2,16,1,256,16,0,[2; 2; 16; 1; 256; 16; 0],0.10293862351682037,0.06790946321061311,tvm
8,2,32,1,512,64,0,[8; 2; 32; 1; 512; 64; 0],0.022854202121379785,0.3058740195584052,tvm
8,8,32,1,256,64,0,[8; 8; 32; 1; 256; 64; 0],0.02188499663316179,0.3194200476171939,tvm
32,32,32,1,16,16,1,[32; 32; 32; 1; 16; 16; 1],0.0355512032401748,0.1966320695094509,tvm
16,2,64,1,256,64,0,[16; 2; 64; 1; 256; 64; 0],0.01995885412907228,0.3502458919464831,tvm
32,16,32,1,128,64,1,[32; 16; 32; 1; 128; 64; 1],0.03087535998201929,0.2264105315934029,tvm
16,4,32,1,512,64,0,[16; 4; 32; 1; 512; 64; 0],0.022858042124425992,0.3058226347039865,tvm
28,28,16,1,64,16,1,[28; 28; 16; 1; 64; 16; 1],0.027574888517847285,0.25350987954646503,tvm
32,8,16,1,128,16,1,[32; 8; 16; 1; 128; 16; 1],0.0299600257712882,0.2333277921731939,tvm
28,1,16,1,16,16,1,[28; 1; 16; 1; 16; 16; 1],0.029524960496928543,0.2367659955851214,tvm
28,1,8,1,512,64,1,[28; 1; 8; 1; 512; 64; 1],0.02775070900679566,0.25190371406203765,tvm
4,2,1,1,512,16,1,[4; 2; 1; 1; 512; 16; 1],0.019969032626249827,0.350067366682423,tvm
16,2,4,1,256,16,1,[16; 2; 4; 1; 256; 16; 1],0.03039885775069706,0.22995951768965303,tvm
4,1,8,1,512,128,1,[4; 1; 8; 1; 512; 128; 1],0.017708189130644314,0.39476123815334,tvm
16,16,64,1,16,16,1,[16; 16; 64; 1; 16; 16; 1],0.027584605006268248,0.2534205824255292,tvm
28,2,16,1,16,16,1,[28; 2; 16; 1; 16; 16; 1],0.027724971005227417,0.25213756455682634,tvm
14,14,32,1,64,16,1,[14; 14; 32; 1; 64; 16; 1],0.023641231120564044,0.29569131281771777,tvm
16,16,16,1,16,16,1,[16; 16; 16; 1; 16; 16; 1],0.027955748257227242,0.2500561459613033,tvm
28,1,16,1,128,64,1,[28; 1; 16; 1; 128; 64; 1],0.030959474242990837,0.22579539341658245,tvm
7,1,1,1,256,64,1,[7; 1; 1; 1; 256; 64; 1],0.01675370312295854,0.4172514348238141,tvm
4,4,2,1,256,16,1,[4; 4; 2; 1; 256; 16; 1],0.01810757687781006,0.38605423099062947,tvm
28,4,2,1,256,128,1,[28; 4; 2; 1; 256; 128; 1],0.026891165267443284,0.2599555131636473,tvm
28,4,32,1,32,16,1,[28; 4; 32; 1; 32; 16; 1],0.02639935998013243,0.26479833874486225,tvm
16,2,1,1,256,128,1,[16; 2; 1; 1; 256; 128; 1],0.028080962016247213,0.24894113893327682,tvm
7,1,64,1,128,128,1,[7; 1; 64; 1; 128; 128; 1],0.01568904099985957,0.4455662182748606,tvm
7,7,1,1,256,128,1,[7; 7; 1; 1; 256; 128; 1],0.016382423869799823,0.4267077156728508,tvm
2,2,8,1,512,64,1,[2; 2; 8; 1; 512; 64; 1],0.027071117248851806,0.2582274902955164,tvm
16,8,2,1,512,128,1,[16; 8; 2; 1; 512; 128; 1],0.028819091501645744,0.24256512965606383,tvm
14,7,32,1,16,16,1,[14; 7; 32; 1; 16; 16; 1],0.025611301272874698,0.27294617294867457,tvm
16,8,8,1,256,64,1,[16; 8; 8; 1; 256; 64; 1],0.017962307756533846,0.3891764221734731,tvm
8,8,64,1,16,16,1,[8; 8; 64; 1; 16; 16; 1],0.03094869400956668,0.22587404381282786,tvm
4,2,64,1,64,16,1,[4; 2; 64; 1; 64; 16; 1],0.03213671100093052,0.2175240231168727,tvm
1,1,64,1,128,64,1,[1; 1; 64; 1; 128; 64; 1],0.034620402759173885,0.20191869849966687,tvm
16,2,16,1,16,16,1,[16; 2; 16; 1; 16; 16; 1],0.027980509272310883,0.24983486178303316,tvm
2,1,16,1,128,64,1,[2; 1; 16; 1; 128; 64; 1],0.02090549675631337,0.3343860587553637,tvm
2,2,32,1,64,64,1,[2; 2; 32; 1; 64; 64; 1],0.021163011362659745,0.33031720046234986,tvm
8,4,32,1,16,16,1,[8; 4; 32; 1; 16; 16; 1],0.030987846257630736,0.22558865848720477,tvm
8,4,64,1,32,16,1,[8; 4; 64; 1; 32; 16; 1],0.029753211740171537,0.2349496493929218,tvm
7,7,16,1,64,64,1,[7; 7; 16; 1; 64; 64; 1],0.016997139129671268,0.4112754866178392,tvm
32,4,32,1,256,128,1,[32; 4; 32; 1; 256; 128; 1],0.02736714924685657,0.25543422895863394,tvm
32,4,16,1,256,128,1,[32; 4; 16; 1; 256; 128; 1],0.02723896427778527,0.25663628746588474,tvm
16,16,64,1,512,128,1,[16; 16; 64; 1; 512; 128; 1],0.012981571373529732,0.5384946448717883,tvm
1,1,32,1,512,128,1,[1; 1; 32; 1; 512; 128; 1],0.052492237475235015,0.13317219846009945,tvm
8,4,16,1,512,16,1,[8; 4; 16; 1; 512; 16; 1],0.02241718687582761,0.31183692696983806,tvm
8,4,64,1,512,64,1,[8; 4; 64; 1; 512; 64; 1],0.014700074869324453,0.4755422491931783,tvm
4,4,16,1,256,64,1,[4; 4; 16; 1; 256; 64; 1],0.017209672630997375,0.40619637668619246,tvm
28,1,2,1,256,64,0,[28; 1; 2; 1; 256; 64; 0],0.034079355478752404,0.20512438009648,tvm
4,1,64,1,512,16,1,[4; 1; 64; 1; 512; 16; 1],0.04030131601030007,0.17345603962113937,tvm
28,1,16,1,128,128,1,[28; 1; 16; 1; 128; 128; 1],0.02827114099636674,0.24726652056827317,tvm
16,1,8,1,64,64,0,[16; 1; 8; 1; 64; 64; 0],0.02169773049536161,0.32217685937988066,tvm
32,4,64,1,128,128,0,[32; 4; 64; 1; 128; 128; 0],0.034045036998577416,0.20533115199606825,tvm
28,2,2,1,512,16,1,[28; 2; 2; 1; 512; 16; 1],0.042573343991534784,0.16419914461162946,tvm
4,4,16,1,256,128,0,[4; 4; 16; 1; 256; 128; 0],0.045814058248652145,0.15258431437630454,tvm
1,1,2,1,64,16,1,[1; 1; 2; 1; 64; 16; 1],0.03734584676567465,0.18718297406746143,tvm
4,4,16,1,128,128,0,[4; 4; 16; 1; 128; 128; 0],0.023870192002505064,0.2928550665169784,tvm
14,2,64,1,256,16,1,[14; 2; 64; 1; 256; 16; 1],0.023753136745654047,0.29429825380623353,tvm
32,8,1,1,32,16,1,[32; 8; 1; 1; 32; 16; 1],0.037387057760497555,0.18697664607490727,tvm
32,4,64,1,256,128,0,[32; 4; 64; 1; 256; 128; 0],0.0322794642415829,0.21656204125164472,tvm
8,4,16,1,512,128,0,[8; 4; 16; 1; 512; 128; 0],0.03374326697667129,0.20716745273952328,tvm
28,28,1,1,128,64,0,[28; 28; 1; 1; 128; 64; 0],0.03665085925604217,0.1907324086955541,tvm
56,56,1,1,64,64,1,[56; 56; 1; 1; 64; 64; 1],0.02032095199683681,0.34400488066478474,tvm
28,1,8,1,512,64,1,[28; 1; 8; 1; 512; 64; 1],0.027732291258871555,0.252071009979401,tvm
32,1,1,1,512,16,1,[32; 1; 1; 1; 512; 16; 1],0.04530342124053277,0.1543041667769738,tvm
56,7,2,1,256,128,1,[56; 7; 2; 1; 256; 128; 1],0.025886806251946837,0.27004129434240043,tvm
32,4,8,1,512,128,1,[32; 4; 8; 1; 512; 128; 1],0.025230338476831093,0.27706749448034623,tvm
28,2,16,1,256,128,1,[28; 2; 16; 1; 256; 128; 1],0.026810899493284523,0.26073376122340164,tvm
4,4,4,1,512,64,0,[4; 4; 4; 1; 512; 64; 0],0.058835035481024534,0.1188153726689133,tvm
28,28,4,1,512,64,1,[28; 28; 4; 1; 512; 64; 1],0.022106519623775966,0.3162192324090785,tvm
28,2,64,1,64,64,0,[28; 2; 64; 1; 64; 64; 0],0.039222788269398734,0.17822564318102282,tvm
16,1,1,1,256,128,0,[16; 1; 1; 1; 256; 128; 0],0.03702949924627319,0.18878210099938691,tvm
28,4,1,1,128,16,1,[28; 4; 1; 1; 128; 16; 1],0.04227798426290974,0.16534626209223988,tvm
56,7,1,1,128,128,1,[56; 7; 1; 1; 128; 128; 1],0.026539760234300047,0.26339750641877013,tvm
28,7,1,1,256,16,1,[28; 7; 1; 1; 256; 16; 1],0.03971595675102435,0.17601254605269878,tvm
8,1,1,1,32,16,1,[8; 1; 1; 1; 32; 16; 1],0.0225665104953805,0.3097734879345952,tvm
32,2,2,1,128,128,1,[32; 2; 2; 1; 128; 128; 1],0.02867932349909097,0.2437472650597299,tvm
28,1,64,1,128,64,1,[28; 1; 64; 1; 128; 64; 1],0.03144856123253703,0.2222838308874433,tvm
16,2,1,1,512,64,0,[16; 2; 1; 1; 512; 64; 0],0.03776559152174741,0.1851025334169906,tvm
16,4,2,1,128,128,0,[16; 4; 2; 1; 128; 128; 0],0.021001968503696844,0.3328500690512021,tvm
8,8,2,1,512,16,1,[8; 8; 2; 1; 512; 16; 1],0.015751395490951836,0.4438023710776777,tvm
16,1,64,1,256,64,0,[16; 1; 64; 1; 256; 64; 0],0.020057654881384224,0.34852063753248885,tvm
32,2,1,1,512,128,1,[32; 2; 1; 1; 512; 128; 1],0.025474555004620925,0.27441133575831383,tvm
8,2,1,1,512,16,1,[8; 2; 1; 1; 512; 16; 1],0.02083721201051958,0.3354818611596186,tvm
2,2,4,1,128,64,1,[2; 2; 4; 1; 128; 64; 1],0.020876742244581692,0.33484662428502077,tvm
2,1,2,1,256,128,1,[2; 1; 2; 1; 256; 128; 1],0.028197078761877492,0.24791598894697722,tvm
16,1,32,1,512,128,1,[16; 1; 32; 1; 512; 128; 1],0.026274351257598028,0.26605820247018086,tvm
8,2,64,1,64,64,0,[8; 2; 64; 1; 64; 64; 0],0.021182583877816796,0.3300119903685305,tvm
8,8,2,1,128,64,0,[8; 8; 2; 1; 128; 64; 0],0.025757602008525282,0.2713958645821509,tvm
8,2,1,1,64,64,0,[8; 2; 1; 1; 64; 64; 0],0.02115931712614838,0.3303748710315372,tvm
8,2,64,1,256,64,0,[8; 2; 64; 1; 256; 64; 0],0.01923176075797528,0.36348760545847325,tvm
28,7,64,1,128,64,1,[28; 7; 64; 1; 128; 64; 1],0.017642858991166577,0.3962230084232194,tvm
7,1,4,1,512,128,1,[7; 1; 4; 1; 512; 128; 1],0.017564625493832864,0.39798780048689975,tvm
14,2,16,1,512,128,1,[14; 2; 16; 1; 512; 128; 1],0.014316599248559214,0.4882798313552133,tvm
4,1,2,1,512,128,1,[4; 1; 2; 1; 512; 128; 1],0.021475201123394072,0.3255153060732706,tvm
4,2,4,1,128,128,1,[4; 2; 4; 1; 128; 128; 1],0.01737785412115045,0.40226524045673606,tvm
4,2,8,1,64,64,1,[4; 2; 8; 1; 64; 64; 1],0.017742438998539,0.39399919409289214,tvm
14,2,8,1,128,64,1,[14; 2; 8; 1; 128; 64; 1],0.019327601869008504,0.3616851544254867,tvm
8,1,1,1,512,64,1,[8; 1; 1; 1; 512; 64; 1],0.015890603128354996,0.43991449602016003,tvm
8,4,16,1,256,128,1,[8; 4; 16; 1; 256; 128; 1],0.015328950874391012,0.45603294863089483,tvm
4,4,4,1,64,64,1,[4; 4; 4; 1; 64; 64; 1],0.02012370950251352,0.3473766437442127,tvm
8,8,1,1,512,128,1,[8; 8; 1; 1; 512; 128; 1],0.016583145363256335,0.4215428685896764,tvm
16,16,32,1,256,64,1,[16; 16; 32; 1; 256; 64; 1],0.015502476511755958,0.45092838304677135,tvm
8,8,4,1,64,64,1,[8; 8; 4; 1; 64; 64; 1],0.016754459371441044,0.41723260128478956,tvm
16,16,1,1,64,64,1,[16; 16; 1; 1; 64; 64; 1],0.018232574002468027,0.3834075575791112,tvm
8,8,16,1,512,64,1,[8; 8; 16; 1; 512; 64; 1],0.014958712374209426,0.4673200802175406,tvm
16,8,32,1,256,64,1,[16; 8; 32; 1; 256; 64; 1],0.015358460252173245,0.45515673784274696,tvm
14,7,8,1,128,64,1,[14; 7; 8; 1; 128; 64; 1],0.01899419687106274,0.3680338112803578,tvm
16,8,1,1,128,64,1,[16; 8; 1; 1; 128; 64; 1],0.02967621650896035,0.23555922853426997,tvm
8,8,2,1,128,128,1,[8; 8; 2; 1; 128; 128; 1],0.01574398325465154,0.4440113123596807,tvm
14,14,1,1,64,64,1,[14; 14; 1; 1; 64; 64; 1],0.016885896751773544,0.41398492300578865,tvm
7,7,64,1,256,64,1,[7; 7; 64; 1; 256; 64; 1],0.016090690754936077,0.4344441623503464,tvm
8,4,2,1,256,16,0,[8; 4; 2; 1; 256; 16; 0],0.025309315999038517,0.27620290753540044,tvm
14,14,4,1,256,16,0,[14; 14; 4; 1; 256; 16; 0],0.029100025247316808,0.24022338837356275,tvm
56,4,2,1,64,64,1,[56; 4; 2; 1; 64; 64; 1],0.030923562502721325,0.22605761111940095,tvm
56,56,1,1,512,128,1,[56; 56; 1; 1; 512; 128; 1],0.026580530015053228,0.2629935017363373,tvm
56,4,16,1,128,128,1,[56; 4; 16; 1; 128; 128; 1],0.026571031979983672,0.2630875109379535,tvm
16,2,1,1,32,16,1,[16; 2; 1; 1; 32; 16; 1],0.02337381200050004,0.2990743087399316,tvm
56,2,8,1,512,64,1,[56; 2; 8; 1; 512; 64; 1],0.026713551487773657,0.26168391237182015,tvm
8,4,4,1,32,16,0,[8; 4; 4; 1; 32; 16; 0],0.03449538824497722,0.20265047075342124,tvm
14,7,2,1,512,64,0,[14; 7; 2; 1; 512; 64; 0],0.04306549049215391,0.1623226993766683,tvm
