kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,4,1,1,128,32,2,1,[8; 4; 1; 1; 128; 32; 2; 1],0.0009813714923438965,0.5088000911554197,tvm
4,4,8,8,1024,32,2,1,[4; 4; 8; 8; 1024; 32; 2; 1],0.010066938368254341,0.04960017499823929,tvm
32,4,64,1,256,128,8,0,[32; 4; 64; 1; 256; 128; 8; 0],0.004548760498437332,0.10977098155276374,tvm
32,1,8,2,1024,128,8,1,[32; 1; 8; 2; 1024; 128; 8; 1],0.007542428873421159,0.06620173860988869,tvm
32,16,4,1,128,128,8,1,[32; 16; 4; 1; 128; 128; 8; 1],0.0016594626413279912,0.3008937304923723,tvm
16,4,32,4,256,32,2,0,[16; 4; 32; 4; 256; 32; 2; 0],0.0035250744367658626,0.14164861302050002,tvm
256,64,32,4,32,32,2,0,[256; 64; 32; 4; 32; 32; 2; 0],0.0012626684374481556,0.3954497395777398,tvm
8,4,64,2,16,16,1,0,[8; 4; 64; 2; 16; 16; 1; 0],0.001996965858779731,0.2500402811428239,tvm
32,32,8,2,256,64,4,1,[32; 32; 8; 2; 256; 64; 4; 1],0.0019040699535253225,0.2622392648113725,tvm
4,2,32,16,1024,16,1,1,[4; 2; 32; 16; 1024; 16; 1; 1],0.02534657676005736,0.019699776797818546,tvm
8,8,64,1,256,128,8,0,[8; 8; 64; 1; 256; 128; 8; 0],0.003932298717700178,0.126979647429719,tvm
2,2,16,1,1024,32,2,0,[2; 2; 16; 1; 1024; 32; 2; 0],0.02797906199702993,0.017846270357988036,tvm
128,2,8,4,64,32,2,0,[128; 2; 8; 4; 64; 32; 2; 0],0.0008479361795252771,0.5888673190492397,tvm
8,8,64,4,1024,16,1,1,[8; 8; 64; 4; 1024; 16; 1; 1],0.015618202000041492,0.0319705113790037,tvm
2,1,1,1,64,64,4,1,[2; 1; 1; 1; 64; 64; 4; 1],0.0011556714061953244,0.4320621779557229,tvm
128,1,32,8,1024,16,1,0,[128; 1; 32; 8; 1024; 16; 1; 0],0.008065872811130248,0.06190550191578538,tvm
256,32,32,16,128,16,1,0,[256; 32; 32; 16; 128; 16; 1; 0],0.001588018327311147,0.3144308199561922,tvm
8,2,4,2,16,16,1,1,[8; 2; 4; 2; 16; 16; 1; 1],0.0013109372266626451,0.3808892558746443,tvm
16,1,16,1,256,32,2,0,[16; 1; 16; 1; 256; 32; 2; 0],0.0049135429071611725,0.10162156191496267,tvm
16,8,2,1,16,16,1,0,[16; 8; 2; 1; 16; 16; 1; 0],0.0032098435622174293,0.1555595763729253,tvm
64,1,16,16,32,16,1,0,[64; 1; 16; 16; 32; 16; 1; 0],0.003920783125067828,0.12735259483480527,tvm
256,32,32,16,256,16,1,1,[256; 32; 32; 16; 256; 16; 1; 1],0.0071650419413344935,0.06968862273943728,tvm
16,8,16,2,1024,32,2,0,[16; 8; 16; 2; 1024; 32; 2; 0],0.007972589126438834,0.06262983039048696,tvm
128,16,16,16,256,16,1,1,[128; 16; 16; 16; 256; 16; 1; 1],0.002623562859298545,0.190322066419025,tvm
8,2,2,2,512,128,8,1,[8; 2; 2; 2; 512; 128; 8; 1],0.004146147279243451,0.12043033474995521,tvm
256,4,16,8,1024,16,1,0,[256; 4; 16; 8; 1024; 16; 1; 0],0.010582951625110582,0.04718172419659788,tvm
128,2,8,4,64,32,2,1,[128; 2; 8; 4; 64; 32; 2; 1],0.0007755401206850365,0.6438376190271787,tvm
8,1,8,4,64,32,2,0,[8; 1; 8; 4; 64; 32; 2; 0],0.0016073072802100796,0.3106574025451076,tvm
16,16,8,4,128,64,4,0,[16; 16; 8; 4; 128; 64; 4; 0],0.0024409032666881103,0.2045643969494127,tvm
32,4,2,2,128,64,4,0,[32; 4; 2; 2; 128; 64; 4; 0],0.002491696281140321,0.20039436930627472,tvm
4,2,8,2,256,64,4,0,[4; 2; 8; 2; 256; 64; 4; 0],0.012928985990583897,0.03862034541034834,tvm
64,64,16,8,512,32,2,0,[64; 64; 16; 8; 512; 32; 2; 0],0.00447298262588447,0.11163063810541202,tvm
64,2,4,4,128,64,4,0,[64; 2; 4; 4; 128; 64; 4; 0],0.0010548466952968738,0.47335969007456263,tvm
64,32,32,2,1024,128,8,0,[64; 32; 32; 2; 1024; 128; 8; 0],0.007265100684890058,0.06872883479789806,tvm
64,32,16,16,128,16,1,0,[64; 32; 16; 16; 128; 16; 1; 0],0.001571497343320516,0.31773639763644523,tvm
4,1,4,1,1024,16,1,1,[4; 1; 4; 1; 1024; 16; 1; 1],0.008122901315800846,0.06147088156673932,tvm
8,8,32,1,256,128,8,1,[8; 8; 32; 1; 256; 128; 8; 1],0.0017331455946987262,0.2881015341637828,tvm
8,2,8,1,512,32,2,0,[8; 2; 8; 1; 512; 32; 2; 0],0.008600442997703794,0.05805769596929102,tvm
16,4,16,4,16,16,1,1,[16; 4; 16; 4; 16; 16; 1; 1],0.0012900958199679735,0.3870424948546073,tvm
64,8,4,2,128,64,4,0,[64; 8; 4; 2; 128; 64; 4; 0],0.0013590313437816803,0.36741014623877405,tvm
16,1,64,1,512,128,8,1,[16; 1; 64; 1; 512; 128; 8; 1],0.0067484288738342,0.07399083758560962,tvm
1,1,16,1,32,32,2,0,[1; 1; 16; 1; 32; 32; 2; 0],0.01157073243666673,0.04315387184821536,tvm
8,1,32,1,128,32,2,1,[8; 1; 32; 1; 128; 32; 2; 1],0.00194245910824975,0.2570565849449557,tvm
4,2,4,1,128,32,2,0,[4; 2; 4; 1; 128; 32; 2; 0],0.006429317716538208,0.07766328042515201,tvm
4,2,64,2,512,32,2,0,[4; 2; 64; 2; 512; 32; 2; 0],0.01388792488432955,0.03595367262716945,tvm
8,8,1,1,32,32,2,1,[8; 8; 1; 1; 32; 32; 2; 1],0.000976883203293255,0.511137772743556,tvm
32,2,16,16,128,16,1,1,[32; 2; 16; 16; 128; 16; 1; 1],0.002526934766137856,0.19759983971610942,tvm
64,8,8,4,1024,32,2,0,[64; 8; 8; 4; 1024; 32; 2; 0],0.006384025371517055,0.07821427323733356,tvm
32,1,4,2,256,64,4,0,[32; 1; 4; 2; 256; 64; 4; 0],0.003285507220425643,0.15197711380990872,tvm
64,2,64,4,64,32,2,1,[64; 2; 64; 4; 64; 32; 2; 1],0.0016545914386369986,0.30177957718264925,tvm
256,8,32,4,128,32,2,1,[256; 8; 32; 4; 128; 32; 2; 1],0.0009365909845655551,0.5331269604239454,tvm
8,2,4,4,128,64,4,0,[8; 2; 4; 4; 128; 64; 4; 0],0.0041667959703772794,0.11983353836177729,tvm
64,8,16,16,512,16,1,1,[64; 8; 16; 16; 512; 16; 1; 1],0.005088486374006607,0.0981277865481922,tvm
8,4,1,1,512,128,8,0,[8; 4; 1; 1; 512; 128; 8; 0],0.009011796755657997,0.05540758611188261,tvm
1,1,8,4,512,64,4,1,[1; 1; 8; 4; 512; 64; 4; 1],0.014251106375013478,0.03503741335040259,tvm
32,16,32,4,64,64,4,0,[32; 16; 32; 4; 64; 64; 4; 0],0.001723321922327159,0.289743836187974,tvm
4,1,8,4,32,16,1,1,[4; 1; 8; 4; 32; 16; 1; 1],0.0012838482653023675,0.38892594884980913,tvm
8,8,64,1,256,16,1,0,[8; 8; 64; 1; 256; 16; 1; 0],0.005139752061950276,0.09714902562292808,tvm
16,2,64,4,256,16,1,1,[16; 2; 64; 4; 256; 16; 1; 1],0.002154853515094146,0.2317196511337288,tvm
32,4,8,2,1024,64,4,1,[32; 4; 8; 2; 1024; 64; 4; 1],0.008509751125529874,0.058676440403045704,tvm
1,1,8,1,512,16,1,0,[1; 1; 8; 1; 512; 16; 1; 0],0.043645373749313876,0.011440431410436812,tvm
512,2,64,16,16,16,1,0,[512; 2; 64; 16; 16; 16; 1; 0],0.0017867610476969276,0.2794564530078117,tvm
64,4,16,1,256,128,8,1,[64; 4; 16; 1; 256; 128; 8; 1],0.003198181562765967,0.15612681611798898,tvm
512,4,64,16,16,16,1,1,[512; 4; 64; 16; 16; 16; 1; 1],0.0028738725322909886,0.17374532069585433,tvm
8,8,8,1,64,16,1,1,[8; 8; 8; 1; 64; 16; 1; 1],0.001272492554562632,0.3923967200998882,tvm
128,4,16,8,64,16,1,1,[128; 4; 16; 8; 64; 16; 1; 1],0.001953227094418253,0.2556394523651753,tvm
256,8,32,8,64,16,1,1,[256; 8; 32; 8; 64; 16; 1; 1],0.0010891948440985288,0.4584321230194292,tvm
512,512,64,8,64,16,1,1,[512; 512; 64; 8; 64; 16; 1; 1],0.001972778765775729,0.2531058795969771,tvm
16,16,2,2,32,16,1,1,[16; 16; 2; 2; 32; 16; 1; 1],0.002040131155808922,0.24474990411286632,tvm
32,4,8,8,32,16,1,1,[32; 4; 8; 8; 32; 16; 1; 1],0.000995303383206192,0.50167809452574,tvm
8,8,4,2,32,16,1,1,[8; 8; 4; 2; 32; 16; 1; 1],0.0012878278985226643,0.387724093673311,tvm
128,32,8,8,64,32,2,0,[128; 32; 8; 8; 64; 32; 2; 0],0.0018004971389018465,0.2773244644345559,tvm
64,8,64,8,32,32,2,1,[64; 8; 64; 8; 32; 32; 2; 1],0.0007286927070708771,0.6852297270395732,tvm
16,16,8,1,64,64,4,1,[16; 16; 8; 1; 64; 64; 4; 1],0.0017506491094536614,0.2852210086336102,tvm
128,2,64,2,128,64,4,1,[128; 2; 64; 2; 128; 64; 4; 1],0.000985651586233871,0.506590677411468,tvm
256,128,4,4,64,32,2,0,[256; 128; 4; 4; 64; 32; 2; 0],0.0024112058126775082,0.2070839005681709,tvm
64,2,1,1,128,128,8,1,[64; 2; 1; 1; 128; 128; 8; 1],0.00370765125262551,0.1346733742577106,tvm
256,1,32,8,128,32,2,1,[256; 1; 32; 8; 128; 32; 2; 1],0.0008915384923966485,0.5600676908740299,tvm
64,32,32,4,32,32,2,1,[64; 32; 32; 4; 32; 32; 2; 1],0.0016776079683040734,0.2976392066536731,tvm
16,4,8,4,128,32,2,1,[16; 4; 8; 4; 128; 32; 2; 1],0.0026545771725068334,0.18809847004386512,tvm
16,1,8,2,64,32,2,1,[16; 1; 8; 2; 64; 32; 2; 1],0.0011186616720806342,0.4463564965385827,tvm
8,8,4,2,64,64,4,1,[8; 8; 4; 2; 64; 64; 4; 1],0.000794045117800124,0.6288331652302829,tvm
128,32,64,2,128,64,4,1,[128; 32; 64; 2; 128; 64; 4; 1],0.0019707027186086634,0.25337251532003324,tvm
32,4,4,4,64,64,4,1,[32; 4; 4; 4; 64; 64; 4; 1],0.001600443187271594,0.31198977179136206,tvm
256,1,16,8,64,32,2,1,[256; 1; 16; 8; 64; 32; 2; 1],0.0017800099521991797,0.28051635562205646,tvm
64,16,64,4,64,32,2,1,[64; 16; 64; 4; 64; 32; 2; 1],0.0016325883734680247,0.30584678469884025,tvm
128,32,16,2,64,64,4,1,[128; 32; 16; 2; 64; 64; 4; 1],0.0019658531091408804,0.2539975659626568,tvm
64,8,8,2,128,64,4,1,[64; 8; 8; 2; 128; 64; 4; 1],0.0023765789992467035,0.21010111800204126,tvm
16,8,2,1,32,32,2,1,[16; 8; 2; 1; 32; 32; 2; 1],0.0012049720471623004,0.4143846373347862,tvm
16,1,4,4,64,32,2,1,[16; 1; 4; 4; 64; 32; 2; 1],0.0009234882736564032,0.5406911154214444,tvm
16,16,8,1,64,32,2,1,[16; 16; 8; 1; 64; 32; 2; 1],0.0011568803283807938,0.43161067961175503,tvm
128,4,64,8,128,32,2,1,[128; 4; 64; 8; 128; 32; 2; 1],0.000806226702479762,0.6193318867089233,tvm
256,8,64,8,128,32,2,1,[256; 8; 64; 8; 128; 32; 2; 1],0.0032669684987922665,0.15283952231143158,tvm
128,32,16,8,128,32,2,1,[128; 32; 16; 8; 128; 32; 2; 1],0.000906949117052136,0.5505511779810258,tvm
16,4,2,2,64,32,2,1,[16; 4; 2; 2; 64; 32; 2; 1],0.007877113370341249,0.06338894481853488,tvm
128,32,32,4,64,64,4,1,[128; 32; 32; 4; 64; 64; 4; 1],0.0013117680937284604,0.38064800260743786,tvm
256,8,8,8,128,16,1,1,[256; 8; 8; 8; 128; 16; 1; 1],0.0010962386959363357,0.4554864799179676,tvm
16,8,4,1,64,32,2,1,[16; 8; 4; 1; 64; 32; 2; 1],0.0011539353672560537,0.43271219422734547,tvm
128,16,64,4,64,64,4,1,[128; 16; 64; 4; 64; 64; 4; 1],0.0008719096640561474,0.5726761903739497,tvm
64,4,4,4,128,64,4,1,[64; 4; 4; 4; 128; 64; 4; 1],0.001094603780984471,0.4561668006598897,tvm
512,16,8,8,16,16,1,1,[512; 16; 8; 8; 16; 16; 1; 1],0.0015252400626195595,0.3273726654572216,tvm
256,8,8,8,16,16,1,1,[256; 8; 8; 8; 16; 16; 1; 1],0.0010850439457499306,0.4601858816112718,tvm
128,8,32,4,32,32,2,1,[128; 8; 32; 4; 32; 32; 2; 1],0.002503185593013768,0.1994745839683164,tvm
256,8,32,4,128,32,2,1,[256; 8; 32; 4; 128; 32; 2; 1],0.0009275795227949857,0.5383063041941099,tvm
128,64,16,8,64,32,2,1,[128; 64; 16; 8; 64; 32; 2; 1],0.0008281612817881978,0.6029283374414095,tvm
128,64,64,4,128,32,2,1,[128; 64; 64; 4; 128; 32; 2; 1],0.0016735858589527197,0.29835451948331204,tvm
64,4,8,2,64,64,4,1,[64; 4; 8; 2; 64; 64; 4; 1],0.0010348250389142777,0.4825181900176918,tvm
64,8,8,2,64,64,4,1,[64; 8; 8; 2; 64; 64; 4; 1],0.001017621476421482,0.4906754783888758,tvm
256,256,64,4,64,32,2,1,[256; 256; 64; 4; 64; 32; 2; 1],0.0029232906254037516,0.17080816406782706,tvm
128,64,16,4,64,32,2,1,[128; 64; 16; 4; 64; 32; 2; 1],0.0016461338127555791,0.30333008221613206,tvm
128,8,32,4,64,32,2,1,[128; 8; 32; 4; 64; 32; 2; 1],0.001606013656783034,0.3109076331032477,tvm
128,64,8,8,64,16,1,1,[128; 64; 8; 8; 64; 16; 1; 1],0.0017682373909337912,0.2823839758858493,tvm
