kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,4,125,1,256,128,8,1,[8; 4; 125; 1; 256; 128; 8; 1],0.06932631850941107,0.2637629500437413,tvm
320,5,30,15,32,16,1,1,[320; 5; 30; 15; 32; 16; 1; 1],0.044642782013397664,0.409600689316956,tvm
32,1,30,10,32,16,1,0,[32; 1; 30; 10; 32; 16; 1; 0],0.050349830475170165,0.36317330392466407,tvm
160,2,60,12,640,16,1,0,[160; 2; 60; 12; 640; 16; 1; 0],0.15842649596743286,0.11542080871038903,tvm
2,1,1500,10,320,16,1,1,[2; 1; 1500; 10; 320; 16; 1; 1],0.4614543770439923,0.03962626685404923,tvm
20,5,30,1,64,32,2,1,[20; 5; 30; 1; 64; 32; 2; 1],0.05586405750364065,0.3273252087806656,tvm
40,5,1,1,160,160,10,1,[40; 5; 1; 1; 160; 160; 10; 1],0.0573408369673416,0.31889514092947213,tvm
20,5,375,15,320,16,1,1,[20; 5; 375; 15; 320; 16; 1; 1],0.13392593199387193,0.13653602415513516,tvm
10,5,750,5,80,16,1,0,[10; 5; 750; 5; 80; 16; 1; 0],0.07549350650515407,0.24221572334126365,tvm
128,64,300,12,640,32,2,0,[128; 64; 300; 12; 640; 32; 2; 0],0.12765435292385519,0.143243954216129,tvm
80,80,1500,5,256,32,2,0,[80; 80; 1500; 5; 256; 32; 2; 0],0.0501045259879902,0.3649513477105298,tvm
320,10,250,25,64,16,1,1,[320; 10; 250; 25; 64; 16; 1; 1],0.07638176699401811,0.23939894303762763,tvm
4,1,3,3,160,32,2,0,[4; 1; 3; 3; 160; 32; 2; 0],0.2051033889874816,0.08915364283342168,tvm
80,5,250,5,64,64,4,1,[80; 5; 250; 5; 64; 64; 4; 1],0.030916725751012564,0.5914505446979749,tvm
16,4,50,2,32,32,2,0,[16; 4; 50; 2; 32; 32; 2; 0],0.05174264602828771,0.353397355746312,tvm
32,1,4,4,64,64,4,1,[32; 1; 4; 4; 64; 64; 4; 1],0.03538382600527257,0.5167817149843977,tvm
1,1,12,2,32,16,1,0,[1; 1; 12; 2; 32; 16; 1; 0],0.3525153429945931,0.051872108970856215,tvm
32,8,60,5,160,80,5,1,[32; 8; 60; 5; 160; 80; 5; 1],0.025557324988767505,0.7154784115219763,tvm
10,2,150,3,160,32,2,0,[10; 2; 150; 3; 160; 32; 2; 0],0.05177594698034227,0.3531700596931005,tvm
5,5,150,25,320,16,1,0,[5; 5; 150; 25; 320; 16; 1; 0],0.25881802395451814,0.07065085346964715,tvm
128,128,60,3,64,64,4,1,[128; 128; 60; 3; 64; 64; 4; 1],0.035762268729740754,0.5113130384400767,tvm
40,20,100,5,640,64,4,1,[40; 20; 100; 5; 640; 64; 4; 1],0.11011157592292875,0.16606532176519886,tvm
40,4,500,5,320,80,5,1,[40; 4; 500; 5; 320; 80; 5; 1],0.05770613002823666,0.31687646142215314,tvm
20,2,30,3,160,16,1,1,[20; 2; 30; 3; 160; 16; 1; 1],0.04618232898064889,0.39594612678317465,tvm
320,5,300,12,256,16,1,1,[320; 5; 300; 12; 256; 16; 1; 1],0.06481896399054676,0.2821043898261177,tvm
40,1,60,3,128,64,4,1,[40; 1; 60; 3; 128; 64; 4; 1],0.05134676647139713,0.3561220217421169,tvm
2,2,375,15,640,16,1,0,[2; 2; 375; 15; 640; 16; 1; 0],1.120538801071234,0.016318680145866578,tvm
32,4,4,2,320,80,5,0,[32; 4; 4; 2; 320; 80; 5; 0],0.07193965453188866,0.25418129131560935,tvm
20,20,60,2,1280,64,4,0,[20; 20; 60; 2; 1280; 64; 4; 0],0.2814219620777294,0.06497614525430581,tvm
8,4,60,1,1280,32,2,0,[8; 4; 60; 1; 1280; 32; 2; 0],0.42738023097626865,0.04278558754096805,tvm
32,1,500,5,640,32,2,1,[32; 1; 500; 5; 640; 32; 2; 1],0.16044211108237505,0.11397079085007762,tvm
8,8,150,5,320,80,5,1,[8; 8; 150; 5; 320; 80; 5; 1],0.09453880897490308,0.19342018885142226,tvm
40,20,12,4,640,32,2,1,[40; 20; 12; 4; 640; 32; 2; 1],0.12127461493946612,0.15077940502916912,tvm
128,64,10,10,32,16,1,1,[128; 64; 10; 10; 32; 16; 1; 1],0.03564099798677489,0.5130528132938215,tvm
128,16,30,5,160,32,2,1,[128; 16; 30; 5; 160; 32; 2; 1],0.024020512253628112,0.7612541353256266,tvm
160,40,100,5,1280,32,2,1,[160; 40; 100; 5; 1280; 32; 2; 1],0.20131676900200546,0.09083055711832992,tvm
16,16,10,1,1280,80,5,1,[16; 16; 10; 1; 1280; 80; 5; 1],0.37109105195850134,0.049275546228366496,tvm
20,20,50,2,160,32,2,1,[20; 20; 50; 2; 160; 32; 2; 1],0.03815694901277311,0.47922369997646064,tvm
128,8,10,10,256,16,1,1,[128; 8; 10; 10; 256; 16; 1; 1],0.05291854351526126,0.34554454962353304,tvm
16,4,100,2,80,16,1,1,[16; 4; 100; 2; 80; 16; 1; 1],0.046526943013304844,0.3930134477239415,tvm
20,2,150,2,64,32,2,1,[20; 2; 150; 2; 64; 32; 2; 1],0.047855853248620406,0.38209984870014685,tvm
20,10,60,2,320,16,1,0,[20; 10; 60; 2; 320; 16; 1; 0],0.12150703300721943,0.150490994909141,tvm
10,5,750,1,320,80,5,1,[10; 5; 750; 1; 320; 80; 5; 1],0.0940385659923777,0.19444909748194625,tvm
16,8,150,30,32,16,1,1,[16; 8; 150; 30; 32; 16; 1; 1],0.08451844350202009,0.21635176333171868,tvm
320,80,150,25,128,16,1,1,[320; 80; 150; 25; 128; 16; 1; 1],0.21230685501359403,0.08612870406159731,tvm
160,16,500,5,320,32,2,1,[160; 16; 500; 5; 320; 32; 2; 1],0.055797728477045894,0.3277143135537619,tvm
320,2,75,25,320,16,1,0,[320; 2; 75; 25; 320; 16; 1; 0],0.11456829693634063,0.15960536007508835,tvm
256,4,250,5,64,32,2,1,[256; 4; 250; 5; 64; 32; 2; 1],0.031061762012541294,0.5886888927399343,tvm
5,5,6,3,80,16,1,1,[5; 5; 6; 3; 80; 16; 1; 1],0.046347703493665904,0.3945333405400183,tvm
20,4,750,3,80,80,5,0,[20; 4; 750; 3; 80; 80; 5; 0],0.036948329739971086,0.4948996183156992,tvm
16,8,25,1,256,64,4,1,[16; 8; 25; 1; 256; 64; 4; 1],0.060215546982362866,0.3036709820317695,tvm
