i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
8,1,1,112,16,16,32,32,1,1,[8; 1; 1; 112; 16; 16; 32; 32; 1; 1],0.19339315395336598,0.036146608728209316,tvm
32,16,1,256,128,32,2,1,2,1,[32; 16; 1; 256; 128; 32; 2; 1; 2; 1],0.03372868525912054,0.20725701618554407,tvm
4,2,1,14336,64,32,128,2,2,1,[4; 2; 1; 14336; 64; 32; 128; 2; 2; 1],0.16065627604257315,0.04351219161095341,tvm
2,2,2,7168,448,16,1,1,1,1,[2; 2; 2; 7168; 448; 16; 1; 1; 1; 1],0.09200382849667221,0.0759806062518313,tvm
2,2,2,3584,32,32,4096,64,2,1,[2; 2; 2; 3584; 32; 32; 4096; 64; 2; 1],0.1745202550664544,0.04005556067978928,tvm
8,1,1,3584,64,64,1024,32,4,0,[8; 1; 1; 3584; 64; 64; 1024; 32; 4; 0],0.24052238708827645,0.029063850360428252,tvm
32,4,2,2048,64,16,4096,32,1,0,[32; 4; 2; 2048; 64; 16; 4096; 32; 1; 0],0.2282892920775339,0.030621263936866917,tvm
2,1,1,14336,256,32,64,1,2,1,[2; 1; 1; 14336; 256; 32; 64; 1; 2; 1],0.2686962769366801,0.026016388266942837,tvm
64,8,4,1024,256,32,4,2,2,0,[64; 8; 4; 1024; 256; 32; 4; 2; 2; 0],0.049231524259084836,0.14199248899706143,tvm
64,2,1,14336,512,32,512,4,2,0,[64; 2; 1; 14336; 512; 32; 512; 4; 2; 0],2.1779249149840325,0.0032097096729883905,tvm
16,8,8,1792,128,32,8,2,2,1,[16; 8; 8; 1792; 128; 32; 8; 2; 2; 1],0.05611987801967189,0.12456382503568987,tvm
32,16,2,7168,64,64,32,8,4,0,[32; 16; 2; 7168; 64; 64; 32; 8; 4; 0],0.07593921950319782,0.09205397043055327,tvm
32,2,2,14336,512,64,4096,32,4,1,[32; 2; 2; 14336; 512; 64; 4096; 32; 4; 1],0.5590561249991879,0.012504123207087341,tvm
64,2,1,512,64,16,2048,4,1,0,[64; 2; 1; 512; 64; 16; 2048; 4; 1; 0],0.43606542295310646,0.016030866697308424,tvm
32,4,2,14336,1792,16,32,32,1,1,[32; 4; 2; 14336; 1792; 16; 32; 32; 1; 1],0.19516445405315608,0.03581854441978811,tvm
8,8,4,1792,128,64,16,1,4,1,[8; 8; 4; 1792; 128; 64; 16; 1; 4; 1],0.03028821074985899,0.23079959144497209,tvm
64,1,1,3584,112,16,16,8,1,1,[64; 1; 1; 3584; 112; 16; 16; 8; 1; 1],0.5513189729535952,0.01267960474716886,tvm
32,2,1,7168,1792,112,64,1,7,0,[32; 2; 1; 7168; 1792; 112; 64; 1; 7; 0],0.27690840198192745,0.02524483409182689,tvm
64,4,1,896,32,32,4096,1,2,0,[64; 4; 1; 896; 32; 32; 4096; 1; 2; 0],0.3177541419863701,0.02199973420634914,tvm
32,16,1,3584,512,16,2048,8,1,0,[32; 16; 1; 3584; 512; 16; 2048; 8; 1; 0],0.2208925309823826,0.031646641176944997,tvm
4,2,2,64,32,16,8,2,1,0,[4; 2; 2; 64; 32; 16; 8; 2; 1; 0],0.13478023000061512,0.05186596481275305,tvm
32,4,2,7168,1792,112,4096,2,7,1,[32; 4; 2; 7168; 1792; 112; 4096; 2; 7; 1],0.26430957298725843,0.02644817812559388,tvm
64,2,1,448,64,16,1024,2,1,1,[64; 2; 1; 448; 64; 16; 1024; 2; 1; 1],0.2680577669525519,0.02607835895277019,tvm
4,1,1,1024,512,128,2048,2,8,1,[4; 1; 1; 1024; 512; 128; 2048; 2; 8; 1],0.17904452502261847,0.03904339809208667,tvm
64,16,1,448,224,224,1024,1,14,1,[64; 16; 1; 448; 224; 224; 1024; 1; 14; 1],0.1339173229644075,0.052200167326557155,tvm
16,16,2,7168,224,32,1,1,2,0,[16; 16; 2; 7168; 224; 32; 1; 1; 2; 0],0.06166097050299868,0.11337003958325155,tvm
64,2,1,128,64,16,4096,64,1,1,[64; 2; 1; 128; 64; 16; 4096; 64; 1; 1],0.2766879590926692,0.025264947161381116,tvm
