kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
10,5,2,1,128,128,1,[10; 5; 2; 1; 128; 128; 1],0.021877201870665886,0.2089585587066409,tvm
20,10,4,1,128,64,0,[20; 10; 4; 1; 128; 64; 0],0.02901195324375294,0.15757052043412223,tvm
8,4,15,1,64,64,0,[8; 4; 15; 1; 64; 64; 0],0.03419657624908723,0.1336808848385982,tvm
16,1,2,1,64,64,0,[16; 1; 2; 1; 64; 64; 0],0.03782186150783673,0.12086736054705734,tvm
128,64,75,1,64,64,1,[128; 64; 75; 1; 64; 64; 1],0.03317548823542893,0.13779536683793636,tvm
8,8,50,1,256,64,1,[8; 8; 50; 1; 256; 64; 1],0.017655471252510324,0.25892418877114864,tvm
64,64,50,1,64,64,0,[64; 64; 50; 1; 64; 64; 0],0.026219471241347492,0.17435243179959847,tvm
16,8,250,1,64,64,1,[16; 8; 250; 1; 64; 64; 1],0.01664824361796491,0.27458924054280426,tvm
10,2,5,1,64,64,0,[10; 2; 5; 1; 64; 64; 0],0.038264133501797915,0.1194703277734951,tvm
10,1,10,1,64,64,0,[10; 1; 10; 1; 64; 64; 0],0.031365866743726656,0.14574532911139407,tvm
10,2,500,1,64,64,1,[10; 2; 500; 1; 64; 64; 1],0.025810065504629165,0.17711805383092355,tvm
20,4,4,1,64,64,0,[20; 4; 4; 1; 64; 64; 0],0.032581201230641454,0.1403087792579393,tvm
64,64,2,1,128,128,1,[64; 64; 2; 1; 128; 128; 1],0.024763938869000413,0.1846002203288873,tvm
40,8,1500,1,128,128,0,[40; 8; 1500; 1; 128; 128; 0],0.025652613752754405,0.1782051768871982,tvm
16,4,500,1,128,128,0,[16; 4; 500; 1; 128; 128; 0],0.019367099754163064,0.2360409472484861,tvm
256,2,6,1,64,64,1,[256; 2; 6; 1; 64; 64; 1],0.0512955830199644,0.08911934132124705,tvm
20,20,4,1,256,64,0,[20; 20; 4; 1; 256; 64; 0],0.047602816746803,0.09603273259529518,tvm
128,32,20,1,64,64,1,[128; 32; 20; 1; 64; 64; 1],0.033328761492157355,0.13716166958392023,tvm
40,20,2,1,64,64,0,[40; 20; 2; 1; 64; 64; 0],0.03720912424614653,0.12285773084009093,tvm
256,1,75,1,64,64,1,[256; 1; 75; 1; 64; 64; 1],0.019530987003236078,0.2340602945806648,tvm
320,64,20,1,128,64,1,[320; 64; 20; 1; 128; 64; 1],0.04498756126849912,0.10161538973284034,tvm
40,4,500,1,128,128,0,[40; 4; 500; 1; 128; 128; 0],0.025988694513216615,0.17590066207841878,tvm
640,64,300,1,256,64,1,[640; 64; 300; 1; 256; 64; 1],0.026560459256870672,0.17211406351138422,tvm
32,2,2,1,128,128,1,[32; 2; 2; 1; 128; 128; 1],0.02870494924718514,0.15925576220542714,tvm
320,8,125,1,64,64,1,[320; 8; 125; 1; 64; 64; 1],0.03202215500641614,0.14275830500828612,tvm
20,2,30,1,128,64,0,[20; 2; 30; 1; 128; 64; 0],0.053850303462240845,0.08489141708614512,tvm
64,4,375,1,256,64,0,[64; 4; 375; 1; 256; 64; 0],0.062428102479316294,0.07322709468773586,tvm
640,64,750,1,128,64,1,[640; 64; 750; 1; 128; 64; 1],0.06251498550409451,0.07312532402537564,tvm
20,4,6,1,128,64,0,[20; 4; 6; 1; 128; 64; 0],0.053233694983646274,0.08587471849987012,tvm
128,64,75,1,256,64,1,[128; 64; 75; 1; 256; 64; 1],0.023357641621259972,0.19571447518347432,tvm
20,2,2,1,128,64,1,[20; 2; 2; 1; 128; 64; 1],0.028512494260212407,0.1603307143075078,tvm
64,2,60,1,64,64,1,[64; 2; 60; 1; 64; 64; 1],0.017107948238844983,0.2672108021141175,tvm
16,1,375,1,256,64,1,[16; 1; 375; 1; 256; 64; 1],0.0307322800217662,0.14875006241615812,tvm
80,40,150,1,128,64,1,[80; 40; 150; 1; 128; 64; 1],0.0444447647605557,0.10285640155948515,tvm
160,16,750,1,128,64,0,[160; 16; 750; 1; 128; 64; 0],0.02671247223042883,0.1711346120267051,tvm
160,8,125,1,64,64,1,[160; 8; 125; 1; 64; 64; 1],0.034633145231055096,0.13199576708757685,tvm
640,64,500,1,256,64,0,[640; 64; 500; 1; 256; 64; 0],0.04621472049620934,0.09891715285400315,tvm
40,4,3,1,256,64,1,[40; 4; 3; 1; 256; 64; 1],0.023282594498596154,0.19634532447422087,tvm
40,20,5,1,128,64,1,[40; 20; 5; 1; 128; 64; 1],0.023107444241759367,0.19783358659661576,tvm
40,20,2,1,128,64,1,[40; 20; 2; 1; 128; 64; 1],0.02299337650765665,0.19881501831217852,tvm
20,10,750,1,128,64,0,[20; 10; 750; 1; 128; 64; 0],0.03391550001106225,0.13478877120896066,tvm
20,1,25,1,128,64,1,[20; 1; 25; 1; 128; 64; 1],0.01778751025267411,0.25700216086966526,tvm
64,64,250,1,128,128,0,[64; 64; 250; 1; 128; 128; 0],0.0228791590052424,0.19980754407891918,tvm
20,5,20,1,256,128,1,[20; 5; 20; 1; 256; 128; 1],0.015041765378555283,0.3039156944932779,tvm
64,32,2,1,64,64,0,[64; 32; 2; 1; 64; 64; 0],0.037220341502688825,0.1228207046702763,tvm
32,8,750,1,128,64,1,[32; 8; 750; 1; 128; 64; 1],0.018261780249304138,0.25032765201534857,tvm
16,1,6,1,64,64,0,[16; 1; 6; 1; 64; 64; 0],0.019051969866268337,0.23994519220410496,tvm
32,4,1,1,256,64,1,[32; 4; 1; 1; 256; 64; 1],0.01644609749200754,0.27796433613811367,tvm
64,4,6,1,128,64,1,[64; 4; 6; 1; 128; 64; 1],0.022614178742514923,0.20214877681293958,tvm
8,2,500,1,128,64,1,[8; 2; 500; 1; 128; 64; 1],0.033850246254587546,0.13504860605878252,tvm
320,20,2,1,64,64,1,[320; 20; 2; 1; 64; 64; 1],0.034095253504347056,0.13407815169480194,tvm
64,64,5,1,256,64,0,[64; 64; 5; 1; 256; 64; 0],0.05551273800665513,0.08234918210808712,tvm
160,8,1500,1,64,64,0,[160; 8; 1500; 1; 64; 64; 0],0.03322994473273866,0.13756955084324077,tvm
