kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
128,8,32,16,128,16,1,1,[128; 8; 32; 16; 128; 16; 1; 1],0.03023566701449454,0.23120067644995296,tvm
16,8,8,1,14336,16,1,1,[16; 8; 8; 1; 14336; 16; 1; 1],0.21222624194342643,0.0329389363099128,tvm
4,1,8,2,896,32,2,1,[4; 1; 8; 2; 896; 32; 2; 1],0.01722826636978425,0.4057579861272025,tvm
16,8,64,2,1792,32,2,1,[16; 8; 64; 2; 1792; 32; 2; 1],0.015859759005252272,0.44077004350139387,tvm
2,2,64,2,896,32,2,0,[2; 2; 64; 2; 896; 32; 2; 0],0.0720789129845798,0.09698407449849002,tvm
32,4,64,1,896,128,8,1,[32; 4; 64; 1; 896; 128; 8; 1],0.025514631008263677,0.2739803160156454,tvm
16,8,2,2,448,32,2,0,[16; 8; 2; 2; 448; 32; 2; 0],0.02129293112375308,0.3283017554529395,tvm
64,64,32,8,1792,16,1,1,[64; 64; 32; 8; 1792; 16; 1; 1],0.018675619867281057,0.37431189520588587,tvm
128,16,4,4,3584,32,2,0,[128; 16; 4; 4; 3584; 32; 2; 0],0.05602156202076003,0.12478243045197811,tvm
16,8,2,2,7168,64,4,1,[16; 8; 2; 2; 7168; 64; 4; 1],0.07588185201166198,0.09212356421654448,tvm
256,1,32,8,3584,32,2,1,[256; 1; 32; 8; 3584; 32; 2; 1],0.04863841776386835,0.14372397351830904,tvm
2,2,32,1,14336,64,4,0,[2; 2; 32; 1; 14336; 64; 4; 0],0.5703664110042155,0.012256168196087902,tvm
512,16,64,8,256,16,1,1,[512; 16; 64; 8; 256; 16; 1; 1],0.036805805226322263,0.1899294587818797,tvm
32,16,1,1,896,224,14,1,[32; 16; 1; 1; 896; 224; 14; 1],0.025096465746173635,0.2785454628300594,tvm
8,1,1,1,7168,16,1,1,[8; 1; 1; 1; 7168; 16; 1; 1],0.15508287702687085,0.04507594133332617,tvm
32,32,64,2,1792,64,4,1,[32; 32; 64; 2; 1792; 64; 4; 1],0.013951155007816851,0.5010701022782613,tvm
4,4,64,1,1024,128,8,0,[4; 4; 64; 1; 1024; 128; 8; 0],0.019804993135039695,0.3529668815839585,tvm
16,4,32,4,64,32,2,1,[16; 4; 32; 4; 64; 32; 2; 1],0.02204810375405941,0.3170570469299248,tvm
1,1,2,1,512,16,1,1,[1; 1; 2; 1; 512; 16; 1; 1],0.058331894513685256,0.11984021305919736,tvm
128,1,4,2,1024,64,4,0,[128; 1; 4; 2; 1024; 64; 4; 0],0.02920441300375387,0.23936473798559563,tvm
8,2,8,1,2048,32,2,1,[8; 2; 8; 1; 2048; 32; 2; 1],0.019539539629477076,0.35776209671393105,tvm
64,4,64,4,448,64,4,0,[64; 4; 64; 4; 448; 64; 4; 0],0.014022170362295583,0.49853243014815607,tvm
128,4,4,4,14336,32,2,0,[128; 4; 4; 4; 14336; 32; 2; 0],0.2389456599485129,0.02925563355355755,tvm
2,2,64,2,448,16,1,0,[2; 2; 64; 2; 448; 16; 1; 0],0.0962803644943051,0.07260573537899463,tvm
4,2,16,8,64,32,2,0,[4; 2; 16; 8; 64; 32; 2; 0],0.03427835149341263,0.20393357212671248,tvm
64,1,64,4,256,64,4,1,[64; 1; 64; 4; 256; 64; 4; 1],0.01399739236512687,0.49941492560305933,tvm
64,2,8,1,3584,128,8,1,[64; 2; 8; 1; 3584; 128; 8; 1],0.05607790598878637,0.12465705599036678,tvm
64,2,4,4,448,64,4,0,[64; 2; 4; 4; 448; 64; 4; 0],0.014732067997101694,0.47450953036884846,tvm
8,2,4,1,224,32,2,1,[8; 2; 4; 1; 224; 32; 2; 1],0.019078125260421075,0.36641475885311275,tvm
256,16,16,16,16,16,1,0,[256; 16; 16; 16; 16; 16; 1; 0],0.04254924022825435,0.16429216195556645,tvm
16,16,4,1,896,64,4,1,[16; 16; 4; 1; 896; 64; 4; 1],0.020183720756904222,0.34634380602374476,tvm
512,128,64,8,14336,16,1,0,[512; 128; 64; 8; 14336; 16; 1; 0],0.22913084703031927,0.03050879773399372,tvm
32,4,8,8,448,32,2,1,[32; 4; 8; 8; 448; 32; 2; 1],0.013638952499604784,0.5125398498799105,tvm
16,16,64,1,14336,32,2,0,[16; 16; 64; 1; 14336; 32; 2; 0],0.19630224409047514,0.035610936080001016,tvm
16,2,16,16,256,16,1,0,[16; 2; 16; 16; 256; 16; 1; 0],0.02142698749958072,0.3262477595977249,tvm
8,4,64,2,14336,64,4,1,[8; 4; 64; 2; 14336; 64; 4; 1],0.18848296999931335,0.0370882667367356,tvm
128,128,32,16,3584,16,1,1,[128; 128; 32; 16; 3584; 16; 1; 1],0.05131629901006818,0.136223905494337,tvm
128,64,64,8,64,16,1,0,[128; 64; 64; 8; 64; 16; 1; 0],0.037875648762565106,0.18456467136678661,tvm
8,2,32,2,448,112,7,0,[8; 2; 32; 2; 448; 112; 7; 0],0.016700092630344443,0.41859089176336417,tvm
16,16,32,4,256,16,1,0,[16; 16; 32; 4; 256; 16; 1; 0],0.01896897224651184,0.3685232165360005,tvm
256,32,16,16,112,16,1,1,[256; 32; 16; 16; 112; 16; 1; 1],0.0400682752369903,0.17446487589795626,tvm
16,8,16,16,7168,16,1,1,[16; 8; 16; 16; 7168; 16; 1; 1],0.09311404399340972,0.07507467581540578,tvm
128,8,4,4,1792,32,2,1,[128; 8; 4; 4; 1792; 32; 2; 1],0.023115175004932098,0.3024206680319357,tvm
16,4,32,16,2048,16,1,1,[16; 4; 32; 16; 2048; 16; 1; 1],0.027136418997542933,0.25760608528706835,tvm
8,4,16,1,896,224,14,1,[8; 4; 16; 1; 896; 224; 14; 1],0.01679485887871124,0.41622896132385284,tvm
2,2,4,1,224,32,2,0,[2; 2; 4; 1; 224; 32; 2; 0],0.029219327989267185,0.2392425544226894,tvm
2,1,8,4,448,16,1,0,[2; 1; 8; 4; 448; 16; 1; 0],0.036154330999124795,0.1933518467493117,tvm
16,8,64,16,256,16,1,1,[16; 8; 64; 16; 256; 16; 1; 1],0.023852339247241616,0.2930742596860842,tvm
256,128,64,4,32,32,2,1,[256; 128; 64; 4; 32; 32; 2; 1],0.04709327523596585,0.14843959422316652,tvm
2,1,4,2,448,64,4,0,[2; 1; 4; 2; 448; 64; 4; 0],0.02786902099614963,0.25083431052825544,tvm
16,4,2,1,64,64,4,1,[16; 4; 2; 1; 64; 64; 4; 1],0.01882126461714506,0.3714153543273988,tvm
2,2,16,4,512,16,1,0,[2; 2; 16; 4; 512; 16; 1; 0],0.07023825298529118,0.09952563410326523,tvm
8,1,16,8,256,32,2,1,[8; 1; 16; 8; 256; 32; 2; 1],0.018939109635539353,0.369104292714423,tvm
512,8,32,16,3584,16,1,0,[512; 8; 32; 16; 3584; 16; 1; 0],0.06945922301383689,0.100641878261064,tvm
4,2,8,1,1792,32,2,1,[4; 2; 8; 1; 1792; 32; 2; 1],0.017231105506652966,0.4056911301464446,tvm
16,16,2,2,1792,128,8,0,[16; 16; 2; 2; 1792; 128; 8; 0],0.02216658749966882,0.3153623293062637,tvm
128,32,32,16,896,16,1,1,[128; 32; 32; 16; 896; 16; 1; 1],0.02927962425746955,0.23874987620045407,tvm
32,2,8,8,256,32,2,1,[32; 2; 8; 8; 256; 32; 2; 1],0.015188909630523995,0.46023755731737176,tvm
16,1,32,1,224,32,2,1,[16; 1; 32; 1; 224; 32; 2; 1],0.017256455874303356,0.4050951549718997,tvm
