i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
16,4,2,32,32,16,4,4,1,0,[16; 4; 2; 32; 32; 16; 4; 4; 1; 0],0.001520667273325671,0.3283571058052016,tvm
32,8,2,128,32,16,1024,64,1,1,[32; 8; 2; 128; 32; 16; 1024; 64; 1; 1],0.0032462561575812288,0.15381469622962451,tvm
32,1,1,64,64,64,8,2,4,1,[32; 1; 1; 64; 64; 64; 8; 2; 4; 1],0.007020679440756794,0.07112159285655696,tvm
4,2,1,512,128,16,1024,2,1,0,[4; 2; 1; 512; 128; 16; 1024; 2; 1; 0],0.005975962998491013,0.08355505294928837,tvm
32,16,8,256,16,16,128,64,1,0,[32; 16; 8; 256; 16; 16; 128; 64; 1; 0],0.0013371773438848322,0.3734148705445836,tvm
64,8,2,64,32,32,4096,64,2,0,[64; 8; 2; 64; 32; 32; 4096; 64; 2; 0],0.006612371311348397,0.07551328884162176,tvm
32,8,2,128,32,16,4096,64,1,0,[32; 8; 2; 128; 32; 16; 4096; 64; 1; 0],0.007125185307813808,0.07007844472680945,tvm
64,8,8,64,32,16,2048,2,1,1,[64; 8; 8; 64; 32; 16; 2048; 2; 1; 1],0.002964332546980586,0.16844328254281213,tvm
64,32,8,512,32,16,4,2,1,1,[64; 32; 8; 512; 32; 16; 4; 2; 1; 1],0.004887125218374422,0.10217088420091507,tvm
32,8,2,64,16,16,512,8,1,1,[32; 8; 2; 64; 16; 16; 512; 8; 1; 1],0.0033206352818524465,0.1503693909086437,tvm
32,8,1,1024,512,64,4096,8,4,0,[32; 8; 1; 1024; 512; 64; 4096; 8; 4; 0],0.021261799498461187,0.023484461171691652,tvm
16,2,1,256,256,64,2048,4,4,0,[16; 2; 1; 256; 256; 64; 2048; 4; 4; 0],0.005479724033648381,0.09112172468828836,tvm
4,2,2,256,32,16,2048,32,1,0,[4; 2; 2; 256; 32; 16; 2048; 32; 1; 0],0.0031020619680930395,0.1609645164725248,tvm
8,8,1,256,256,32,4,2,2,1,[8; 8; 1; 256; 256; 32; 4; 2; 2; 1],0.001602677923074225,0.31155474070804906,tvm
32,8,8,1024,128,16,64,32,1,1,[32; 8; 8; 1024; 128; 16; 64; 32; 1; 1],0.00572355746771791,0.087239781827681,tvm
16,8,4,128,128,32,2048,2,2,1,[16; 8; 4; 128; 128; 32; 2048; 2; 2; 1],0.0014878087504257564,0.3356089313354402,tvm
16,8,4,256,32,16,1024,2,1,0,[16; 8; 4; 256; 32; 16; 1024; 2; 1; 0],0.0016666270948917372,0.2996002562854892,tvm
32,4,1,256,256,32,1024,4,2,1,[32; 4; 1; 256; 256; 32; 1024; 4; 2; 1],0.005532962877623504,0.09024494033409663,tvm
64,64,16,64,16,16,128,4,1,1,[64; 64; 16; 64; 16; 16; 128; 4; 1; 1],0.0012874493904746487,0.3878380839326181,tvm
64,2,1,1024,256,128,2048,4,8,0,[64; 2; 1; 1024; 256; 128; 2048; 4; 8; 0],0.04906984849367291,0.01017573764928758,tvm
32,32,1,512,128,128,64,16,8,1,[32; 32; 1; 512; 128; 128; 64; 16; 8; 1],0.003308333343738923,0.15092853496969402,tvm
16,8,8,1024,1024,16,4096,16,1,1,[16; 8; 8; 1024; 1024; 16; 4096; 16; 1; 1],0.0028702305771730607,0.17396578126266618,tvm
8,2,2,512,64,64,1024,8,4,1,[8; 2; 2; 512; 64; 64; 1024; 8; 4; 1],0.0027834967331727967,0.17938656036888811,tvm
32,32,1,1024,256,64,4,1,4,0,[32; 32; 1; 1024; 256; 64; 4; 1; 4; 0],0.0053854205943935085,0.09271734602896639,tvm
64,32,2,256,256,64,4096,64,4,1,[64; 32; 2; 256; 256; 64; 4096; 64; 4; 1],0.0062369992810999975,0.08005803468264007,tvm
32,4,4,512,64,32,32,1,2,0,[32; 4; 4; 512; 64; 32; 32; 1; 2; 0],0.003076497720030602,0.16230205584450685,tvm
2,2,2,1024,64,16,32,32,1,1,[2; 2; 2; 1024; 64; 16; 32; 32; 1; 1],0.004119811001146445,0.12120019695635441,tvm
64,1,1,128,128,128,256,4,8,1,[64; 1; 1; 128; 128; 128; 256; 4; 8; 1],0.006701199439703487,0.07451231816852158,tvm
16,8,2,512,16,16,4,4,1,0,[16; 8; 2; 512; 16; 16; 4; 4; 1; 0],0.0015219990391415195,0.32806978974411594,tvm
2,1,1,64,64,16,32,1,1,1,[2; 1; 1; 64; 64; 16; 32; 1; 1; 1],0.01014490393572487,0.049218987969276165,tvm
32,1,1,512,256,32,8,2,2,0,[32; 1; 1; 512; 256; 32; 8; 2; 2; 0],0.012967215487151407,0.03850648624268325,tvm
8,8,4,1024,128,16,128,2,1,1,[8; 8; 4; 1024; 128; 16; 128; 2; 1; 1],0.0020437661241885507,0.24431460080108416,tvm
64,4,1,256,32,16,2048,2,1,0,[64; 4; 1; 256; 32; 16; 2048; 2; 1; 0],0.01647591711662244,0.030306167555197418,tvm
1,1,1,512,512,128,512,2,8,1,[1; 1; 1; 512; 512; 128; 512; 2; 8; 1],0.00546856056098477,0.09130773979615353,tvm
64,4,2,512,256,128,512,64,8,1,[64; 4; 2; 512; 256; 128; 512; 64; 8; 1],0.01233854593738215,0.04046845611273423,tvm
32,4,1,1024,128,128,4096,64,8,0,[32; 4; 1; 1024; 128; 128; 4096; 64; 8; 0],0.021859396874788217,0.02284243740218667,tvm
32,4,2,64,32,32,512,1,2,1,[32; 4; 2; 64; 32; 32; 512; 1; 2; 1],0.002842859719748958,0.17564071181324345,tvm
32,4,4,1024,512,64,2048,16,4,0,[32; 4; 4; 1024; 512; 64; 2048; 16; 4; 0],0.0054836106864968315,0.09105713977680156,tvm
32,16,2,256,256,32,8,4,2,1,[32; 16; 2; 256; 256; 32; 8; 4; 2; 1],0.001065384820321924,0.46867750998275554,tvm
16,16,1,256,128,64,512,64,4,1,[16; 16; 1; 256; 128; 64; 512; 64; 4; 1],0.007605860686453525,0.06564962538049451,tvm
