i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
500,50,10,640,160,32,40,20,2,1,[500; 50; 10; 640; 160; 32; 40; 20; 2; 1],0.027414765499997884,0.6670023964172044,tvm
250,50,5,640,160,80,64,1,5,1,[250; 50; 5; 640; 160; 80; 64; 1; 5; 1],0.024805962122627534,0.7371499720639499,tvm
300,150,5,640,160,32,64,4,2,1,[300; 150; 5; 640; 160; 32; 64; 4; 2; 1],0.025612949742935598,0.7139245760148238,tvm
1500,750,10,128,128,32,160,4,2,1,[1500; 750; 10; 128; 128; 32; 160; 4; 2; 1],0.022687680379021913,0.8059754889099245,tvm
375,375,5,320,160,32,128,2,2,1,[375; 375; 5; 320; 160; 32; 128; 2; 2; 1],0.025331554497824982,0.7218551979225885,tvm
300,20,5,2560,2560,80,160,2,5,0,[300; 20; 5; 2560; 2560; 80; 160; 2; 5; 0],0.07259769650408998,0.25187733449206773,tvm
1500,150,10,512,512,16,8,2,1,1,[1500; 150; 10; 512; 512; 16; 8; 2; 1; 1],0.054060462513007224,0.33824561307285617,tvm
375,75,25,1280,16,16,64,2,1,1,[375; 75; 25; 1280; 16; 16; 64; 2; 1; 1],0.036994737485656515,0.49427879553960796,tvm
20,20,5,1280,320,32,256,8,2,1,[20; 20; 5; 1280; 320; 32; 256; 8; 2; 1],0.04593503350042738,0.3980777391953825,tvm
1500,300,5,1024,256,32,160,40,2,0,[1500; 300; 5; 1024; 256; 32; 160; 40; 2; 0],0.03958501949091442,0.4619352098566286,tvm
500,20,5,1280,256,32,64,8,2,1,[500; 20; 5; 1280; 256; 32; 64; 8; 2; 1],0.04154708224814385,0.44012029957967064,tvm
375,15,5,1024,256,32,40,10,2,1,[375; 15; 5; 1024; 256; 32; 40; 10; 2; 1],0.04287576099159196,0.4264813932818629,tvm
300,50,5,2560,640,64,160,4,4,1,[300; 50; 5; 2560; 640; 64; 160; 4; 4; 1],0.0382427824952174,0.4781481129936369,tvm
750,30,5,1024,64,32,80,16,2,1,[750; 30; 5; 1024; 64; 32; 80; 16; 2; 1],0.049732176994439214,0.3676837691573184,tvm
250,50,5,640,64,16,40,10,1,1,[250; 50; 5; 640; 64; 16; 40; 10; 1; 1],0.03893275448353961,0.46967430196713433,tvm
1500,300,12,640,320,32,10,10,2,1,[1500; 300; 12; 640; 320; 32; 10; 10; 2; 1],0.0313693652569782,0.5829162986218404,tvm
150,150,5,2560,640,80,256,2,5,0,[150; 150; 5; 2560; 640; 80; 256; 2; 5; 0],0.04347441499703564,0.42060863353678535,tvm
250,250,5,2560,640,32,20,10,2,0,[250; 250; 5; 2560; 640; 32; 20; 10; 2; 0],0.04541354125831276,0.4026489408017077,tvm
60,20,4,5120,128,32,80,20,2,0,[60; 20; 4; 5120; 128; 32; 80; 20; 2; 0],0.046852398227201775,0.39028342150259204,tvm
1500,500,4,1024,128,32,128,2,2,1,[1500; 500; 4; 1024; 128; 32; 128; 2; 2; 1],0.042647506517823786,0.42876397188829996,tvm
750,150,15,512,16,16,160,32,1,1,[750; 150; 15; 512; 16; 16; 160; 32; 1; 1],0.03913792475941591,0.4672121579802225,tvm
300,300,30,320,80,16,256,2,1,1,[300; 300; 30; 320; 80; 16; 256; 2; 1; 1],0.04544577898923308,0.4023633149746757,tvm
1500,750,30,640,640,16,40,5,1,0,[1500; 750; 30; 640; 640; 16; 40; 5; 1; 0],0.03515405874350108,0.5201594051809099,tvm
75,75,5,320,80,16,64,16,1,1,[75; 75; 5; 320; 80; 16; 64; 16; 1; 1],0.03829825800494291,0.4774555094217149,tvm
150,150,6,64,32,16,20,20,1,1,[150; 150; 6; 64; 32; 16; 20; 20; 1; 1],0.0571988495066762,0.3196867497060408,tvm
750,750,5,1024,512,32,64,16,2,0,[750; 750; 5; 1024; 512; 32; 64; 16; 2; 0],0.040802144998451695,0.4481557105982582,tvm
60,60,5,5120,64,32,16,4,2,0,[60; 60; 5; 5120; 64; 32; 16; 4; 2; 0],0.04869898350443691,0.3754845167158016,tvm
300,150,6,256,32,16,160,32,1,1,[300; 150; 6; 256; 32; 16; 160; 32; 1; 1],0.03685978800058365,0.4960884280024819,tvm
60,12,6,320,320,64,80,16,4,1,[60; 12; 6; 320; 320; 64; 80; 16; 4; 1],0.03446503574377857,0.5305584019019948,tvm
125,25,5,2560,1280,80,8,8,5,1,[125; 25; 5; 2560; 1280; 80; 8; 8; 5; 1],0.03529062424786389,0.5181465240536545,tvm
150,15,5,1024,128,64,128,32,4,0,[150; 15; 5; 1024; 128; 64; 128; 32; 4; 0],0.042633928009308875,0.4289005292151759,tvm
375,75,15,80,80,16,16,1,1,1,[375; 75; 15; 80; 80; 16; 16; 1; 1; 1],0.034545291477115825,0.5293258068998339,tvm
750,150,6,256,256,16,64,32,1,1,[750; 150; 6; 256; 256; 16; 64; 32; 1; 1],0.03313731774687767,0.5518163668342541,tvm
100,25,5,2560,80,80,20,2,5,0,[100; 25; 5; 2560; 80; 80; 20; 2; 5; 0],0.04734765048488043,0.38620109125696706,tvm
150,150,6,256,256,16,40,1,1,1,[150; 150; 6; 256; 256; 16; 40; 1; 1; 1],0.034756907989503816,0.5261030207645733,tvm
100,25,5,5120,256,32,10,5,2,1,[100; 25; 5; 5120; 256; 32; 10; 5; 2; 1],0.035989833500934765,0.5080799911241421,tvm
375,375,25,32,16,16,64,8,1,1,[375; 375; 25; 32; 16; 16; 64; 8; 1; 1],0.03621748276054859,0.5048863944137157,tvm
1500,100,10,128,16,16,64,1,1,1,[1500; 100; 10; 128; 16; 16; 64; 1; 1; 1],0.03606146149104461,0.5070708043892038,tvm
100,20,5,2560,256,64,32,2,4,0,[100; 20; 5; 2560; 256; 64; 32; 2; 4; 0],0.03548955550650135,0.5152421332063322,tvm
250,250,5,2560,320,80,80,20,5,1,[250; 250; 5; 2560; 320; 80; 80; 20; 5; 1],0.03012553899316117,0.606983804998986,tvm
60,20,10,512,256,32,40,8,2,1,[60; 20; 10; 512; 256; 32; 40; 8; 2; 1],0.035312990250531584,0.5178183483184073,tvm
300,20,4,1280,640,80,40,10,5,1,[300; 20; 4; 1280; 640; 80; 40; 10; 5; 1],0.035738280246732756,0.5116562453333493,tvm
750,150,30,64,32,16,32,2,1,1,[750; 150; 30; 64; 32; 16; 32; 2; 1; 1],0.03232380750705488,0.565704219149409,tvm
300,300,12,160,16,16,128,2,1,1,[300; 300; 12; 160; 16; 16; 128; 2; 1; 1],0.03710405551828444,0.49282252385331043,tvm
60,60,4,640,128,32,10,5,2,1,[60; 60; 4; 640; 128; 32; 10; 5; 2; 1],0.03326196674606763,0.5497484386691025,tvm
1500,500,5,512,256,32,40,10,2,0,[1500; 500; 5; 512; 256; 32; 40; 10; 2; 0],0.049457888992037624,0.36972290282462644,tvm
300,20,5,512,128,64,80,16,4,0,[300; 20; 5; 512; 128; 64; 80; 16; 4; 0],0.035413423989666626,0.5163497969315229,tvm
150,25,5,640,64,64,20,10,4,1,[150; 25; 5; 640; 64; 64; 20; 10; 4; 1],0.04091046049143188,0.4469691630467952,tvm
60,30,6,2560,320,32,32,1,2,1,[60; 30; 6; 2560; 320; 32; 32; 1; 2; 1],0.033234416507184505,0.5502041620547585,tvm
300,100,10,1280,320,32,160,20,2,0,[300; 100; 10; 1280; 320; 32; 160; 20; 2; 0],0.03410866722697392,0.5361016941539575,tvm
150,30,5,320,32,32,40,8,2,0,[150; 30; 5; 320; 32; 32; 40; 8; 2; 0],0.03703601274173707,0.49372794024091937,tvm
300,150,5,1280,160,32,32,4,2,0,[300; 150; 5; 1280; 160; 32; 32; 4; 2; 0],0.03500801176414825,0.5223294144468013,tvm
1500,60,6,512,128,64,40,8,4,0,[1500; 60; 6; 512; 128; 64; 40; 8; 4; 0],0.0468330392614007,0.39044474956348135,tvm
500,100,10,64,32,32,20,5,2,1,[500; 100; 10; 64; 32; 32; 20; 5; 2; 1],0.02829642323195003,0.6462199881526913,tvm
150,50,5,256,32,32,20,10,2,1,[150; 50; 5; 256; 32; 32; 20; 10; 2; 1],0.04123729598359205,0.44342660811198703,tvm
1500,60,6,640,160,32,16,2,2,1,[1500; 60; 6; 640; 160; 32; 16; 2; 2; 1],0.03186028575873934,0.5739344092574086,tvm
50,50,5,512,128,64,64,32,4,1,[50; 50; 5; 512; 128; 64; 64; 32; 4; 1],0.027663702494464815,0.6610002507572168,tvm
