kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
384,64,197,1,32,16,1,[384; 64; 197; 1; 32; 16; 1],0.006589646502106916,0.13119801967406722,tvm
3072,12,197,1,96,16,1,[3072; 12; 197; 1; 96; 16; 1],0.02904633348225616,0.029764464831910965,tvm
1024,64,1,1,96,96,1,[1024; 64; 1; 1; 96; 96; 1],0.006634989877056796,0.13030141529199665,tvm
48,24,197,1,384,96,1,[48; 24; 197; 1; 384; 96; 1],0.010651939817762468,0.08116348629635586,tvm
16,2,1,1,384,16,1,[16; 2; 1; 1; 384; 16; 1],0.009417357687198091,0.09180373095564102,tvm
256,2,1,1,768,128,1,[256; 2; 1; 1; 768; 128; 1],0.019826122123049572,0.04360653919424108,tvm
48,3,197,1,96,16,1,[48; 3; 197; 1; 96; 16; 1],0.004177019218332134,0.20697739853200434,tvm
192,1,197,1,64,64,0,[192; 1; 197; 1; 64; 64; 0],0.0037042791554995347,0.2333918517304574,tvm
96,4,197,1,256,128,1,[96; 4; 197; 1; 256; 128; 1],0.006779282746720128,0.1275280296941217,tvm
384,16,1,1,192,16,1,[384; 16; 1; 1; 192; 16; 1],0.01310618499701377,0.0659649296592073,tvm
64,2,197,1,384,64,0,[64; 2; 197; 1; 384; 64; 0],0.01117816318583209,0.0773426328687306,tvm
12,2,1,1,128,128,1,[12; 2; 1; 1; 128; 128; 1],0.0019669921712193172,0.4395282218600021,tvm
1024,64,1,1,768,96,1,[1024; 64; 1; 1; 768; 96; 1],0.08919919648906216,0.009692335866888493,tvm
768,1,197,1,64,16,0,[768; 1; 197; 1; 64; 16; 0],0.009259274127543904,0.09337109578133851,tvm
12,12,1,1,32,16,1,[12; 12; 1; 1; 32; 16; 1],0.0016712836568331113,0.5172961321639383,tvm
96,16,1,1,128,128,1,[96; 16; 1; 1; 128; 128; 1],0.007171906065195799,0.12054655534657627,tvm
48,6,1,1,384,64,0,[48; 6; 1; 1; 384; 64; 0],0.012010957318125293,0.07197998864952364,tvm
1536,3,197,1,256,128,1,[1536; 3; 197; 1; 256; 128; 1],0.02453192599932663,0.03524177316743504,tvm
512,8,1,1,768,128,0,[512; 8; 1; 1; 768; 128; 0],0.08404523099306971,0.010286705875076496,tvm
192,3,197,1,64,16,0,[192; 3; 197; 1; 64; 16; 0],0.008465380502457265,0.10212755010570605,tvm
96,12,197,1,96,96,1,[96; 12; 197; 1; 96; 96; 1],0.0026152146092499606,0.330584177822608,tvm
384,4,1,1,768,128,1,[384; 4; 1; 1; 768; 128; 1],0.044417076744139194,0.019464328470077626,tvm
1024,8,197,1,256,16,1,[1024; 8; 197; 1; 256; 16; 1],0.018409905373118818,0.04696105460112468,tvm
96,1,1,1,64,16,0,[96; 1; 1; 1; 64; 16; 0],0.00737986431340687,0.11714965678406325,tvm
6,1,1,1,64,16,1,[6; 1; 1; 1; 64; 16; 1],0.0019917068748327438,0.4340742015569801,tvm
6,2,197,1,128,64,0,[6; 2; 197; 1; 128; 64; 0],0.006511975247121882,0.13276287740968895,tvm
384,12,1,1,128,64,0,[384; 12; 1; 1; 128; 64; 0],0.003428561562031973,0.2521607256531767,tvm
16,1,197,1,384,16,0,[16; 1; 197; 1; 384; 16; 0],0.013490629004081711,0.06408511946826159,tvm
512,16,1,1,64,64,0,[512; 16; 1; 1; 64; 64; 0],0.007058106690237764,0.1224901534322723,tvm
64,16,197,1,768,96,1,[64; 16; 197; 1; 768; 96; 1],0.02099273438216187,0.041183228239347565,tvm
16,16,1,1,96,96,1,[16; 16; 1; 1; 96; 96; 1],0.0046468071232084185,0.18605217486015174,tvm
6,2,1,1,192,96,1,[6; 2; 1; 1; 192; 96; 1],0.003251394966355292,0.26590081499624824,tvm
96,6,197,1,128,16,1,[96; 6; 197; 1; 128; 16; 1],0.007095140063029248,0.12185081108313668,tvm
768,2,197,1,768,16,1,[768; 2; 197; 1; 768; 16; 1],0.05534613598138094,0.015620757548809101,tvm
24,6,1,1,128,16,1,[24; 6; 1; 1; 128; 16; 1],0.003585661845136201,0.24111268958652501,tvm
6,1,1,1,256,64,1,[6; 1; 1; 1; 256; 64; 1],0.009082453623705078,0.0951888781652693,tvm
384,64,1,1,768,16,0,[384; 64; 1; 1; 768; 16; 0],0.06417182000586763,0.013472402237454389,tvm
16,2,1,1,96,96,1,[16; 2; 1; 1; 96; 96; 1],0.0013649074762724922,0.6334118513216874,tvm
512,32,197,1,48,16,1,[512; 32; 197; 1; 48; 16; 1],0.006792049309296999,0.12728832375306404,tvm
48,3,1,1,768,128,1,[48; 3; 1; 1; 768; 128; 1],0.021418176998849958,0.04036518007461574,tvm
96,2,197,1,96,16,0,[96; 2; 197; 1; 96; 16; 0],0.005688054687198019,0.15199371647645937,tvm
3072,1,1,1,128,16,0,[3072; 1; 1; 1; 128; 16; 0],0.019483934622257948,0.044372381050844484,tvm
