i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
16,8,1,512,32,32,4,1,2,0,[16; 8; 1; 512; 32; 32; 4; 1; 2; 0],0.009694265565485694,0.41205547868598186,tvm
64,32,1,512,64,64,4,1,4,1,[64; 32; 1; 512; 64; 64; 4; 1; 4; 1],0.008475934875605162,0.47128432399736137,tvm
32,16,2,64,64,16,512,16,1,1,[32; 16; 2; 64; 64; 16; 512; 16; 1; 1],0.03305863548303023,0.12083303438660518,tvm
32,8,4,32,16,16,1024,1,1,0,[32; 8; 4; 32; 16; 16; 1024; 1; 1; 0],0.016998924242216162,0.23498988413483643,tvm
8,1,1,512,128,16,128,16,1,0,[8; 1; 1; 512; 128; 16; 128; 16; 1; 0],0.06403837748803198,0.06237783333660783,tvm
64,64,2,512,32,32,32,32,2,0,[64; 64; 2; 512; 32; 32; 32; 32; 2; 0],0.008797030939604156,0.4540822085905934,tvm
64,32,4,1024,64,32,128,16,2,0,[64; 32; 4; 1024; 64; 32; 128; 16; 2; 0],0.007464430746040307,0.5351480071289106,tvm
32,1,1,256,128,128,32,16,8,1,[32; 1; 1; 256; 128; 128; 32; 16; 8; 1],0.04906051349826157,0.08142139071244706,tvm
16,16,16,32,32,16,128,64,1,1,[16; 16; 16; 32; 32; 16; 128; 64; 1; 1],0.011571972754609305,0.34519397191841245,tvm
32,8,1,1024,512,128,1024,4,8,0,[32; 8; 1; 1024; 512; 128; 1024; 4; 8; 0],0.04913009950541891,0.08130606854672964,tvm
16,16,4,1024,1024,16,64,4,1,0,[16; 16; 4; 1024; 1024; 16; 64; 4; 1; 0],0.010867739125387743,0.367562672604429,tvm
64,4,1,512,256,16,2048,1,1,0,[64; 4; 1; 512; 256; 16; 2048; 1; 1; 0],0.06585012399591506,0.060661620596842575,tvm
32,32,4,256,128,16,1024,1,1,1,[32; 32; 4; 256; 128; 16; 1024; 1; 1; 1],0.016564959005336277,0.2411460986295478,tvm
64,4,2,1024,256,64,4096,2,4,1,[64; 4; 2; 1024; 256; 64; 4096; 2; 4; 1],0.024859429002390243,0.1606865241237503,tvm
8,4,1,128,128,32,1024,64,2,1,[8; 4; 1; 128; 128; 32; 1024; 64; 2; 1],0.049149853497510776,0.08127339053609887,tvm
64,32,1,128,64,16,1024,1,1,1,[64; 32; 1; 128; 64; 16; 1024; 1; 1; 1],0.06554609700106084,0.060942991586983235,tvm
16,2,1,1024,512,16,64,64,1,1,[16; 2; 1; 1024; 512; 16; 64; 64; 1; 1],0.044765655242372304,0.08923303404066403,tvm
32,16,1,64,64,32,2048,32,2,0,[32; 16; 1; 64; 64; 32; 2048; 32; 2; 0],0.049527587252669036,0.08065353996988761,tvm
64,8,2,256,32,32,2048,4,2,1,[64; 8; 2; 256; 32; 32; 2048; 4; 2; 1],0.0247092171193799,0.16166336710693346,tvm
64,16,1,128,64,32,4096,1,2,1,[64; 16; 1; 128; 64; 32; 4096; 1; 2; 1],0.05004344700137153,0.07982214410581588,tvm
64,32,4,1024,64,16,256,16,1,1,[64; 32; 4; 1024; 64; 16; 256; 16; 1; 1],0.01191991199448239,0.33511784650291776,tvm
8,8,8,1024,32,32,64,2,2,1,[8; 8; 8; 1024; 32; 32; 64; 2; 2; 1],0.009699077061668504,0.4118510671373162,tvm
16,4,4,1024,128,64,2048,16,4,0,[16; 4; 4; 1024; 128; 64; 2048; 16; 4; 0],0.012648951131268404,0.3158028833094774,tvm
64,4,1,128,32,32,64,4,2,0,[64; 4; 1; 128; 32; 32; 64; 4; 2; 0],0.026298555225366727,0.151893334210322,tvm
32,16,4,1024,1024,32,128,4,2,0,[32; 16; 4; 1024; 1024; 32; 128; 4; 2; 0],0.008085365247097798,0.4940500665111043,tvm
4,4,1,128,128,32,4096,1,2,1,[4; 4; 1; 128; 128; 32; 4096; 1; 2; 1],0.04914074623957276,0.08128845293925206,tvm
32,32,2,512,128,16,4096,8,1,0,[32; 32; 2; 512; 128; 16; 4096; 8; 1; 0],0.032955036498606205,0.12121289072959103,tvm
16,8,4,1024,64,16,128,8,1,0,[16; 8; 4; 1024; 64; 16; 128; 8; 1; 0],0.013864269756595604,0.288120132414108,tvm
64,8,4,128,64,32,8,8,2,0,[64; 8; 4; 128; 64; 32; 8; 8; 2; 0],0.014194468240020797,0.2814177446135443,tvm
32,16,8,256,64,32,64,64,2,0,[32; 16; 8; 256; 64; 32; 64; 64; 2; 0],0.009307353568146937,0.42918485999780764,tvm
64,64,4,256,128,64,16,2,4,0,[64; 64; 4; 256; 128; 64; 16; 2; 4; 0],0.007789849129039794,0.5127923752982395,tvm
64,32,16,512,32,16,64,64,1,1,[64; 32; 16; 512; 32; 16; 64; 64; 1; 1],0.013170307371183299,0.30330159543849294,tvm
64,64,8,512,256,16,16,4,1,0,[64; 64; 8; 512; 256; 16; 16; 4; 1; 0],0.008174141381459776,0.48868438306628215,tvm
32,32,16,1024,64,16,128,2,1,0,[32; 32; 16; 1024; 64; 16; 128; 2; 1; 0],0.01070537912164582,0.37313720445625115,tvm
64,16,4,256,64,32,8,4,2,1,[64; 16; 4; 256; 64; 32; 8; 4; 2; 1],0.012525599246146157,0.3189129046519893,tvm
64,64,8,1024,32,16,256,8,1,0,[64; 64; 8; 1024; 32; 16; 256; 8; 1; 0],0.011375601439794991,0.35115288270571016,tvm
64,16,4,256,64,64,128,32,4,1,[64; 16; 4; 256; 64; 64; 128; 32; 4; 1],0.007332123066589702,0.544804717790039,tvm
32,16,16,1024,512,16,64,8,1,0,[32; 16; 16; 1024; 512; 16; 64; 8; 1; 0],0.011373765126336366,0.35120957692766613,tvm
8,8,4,1024,256,64,256,2,4,1,[8; 8; 4; 1024; 256; 64; 256; 2; 4; 1],0.010316101630451158,0.38721751502563884,tvm
64,8,8,1024,128,16,128,64,1,0,[64; 8; 8; 1024; 128; 16; 128; 64; 1; 0],0.01138016286859056,0.3510121326224893,tvm
64,32,8,512,32,16,32,32,1,0,[64; 32; 8; 512; 32; 16; 32; 32; 1; 0],0.013072820380330086,0.3055633843256688,tvm
64,16,4,1024,64,16,8,1,1,0,[64; 16; 4; 1024; 64; 16; 8; 1; 1; 0],0.011401044379454106,0.35036923856676566,tvm
64,32,8,128,64,32,16,8,2,1,[64; 32; 8; 128; 64; 32; 16; 8; 2; 1],0.008025251438084524,0.49775078935703326,tvm
