i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
5,5,1,1280,64,64,64,64,4,0,[5; 5; 1; 1280; 64; 64; 64; 64; 4; 0],0.15948824200313538,0.22930485728665576,tvm
1500,500,5,640,64,64,640,64,4,1,[1500; 500; 5; 640; 64; 64; 640; 64; 4; 1],0.04693519574357197,0.7791898593804678,tvm
750,150,25,640,640,16,40,10,1,1,[750; 150; 25; 640; 640; 16; 40; 10; 1; 1],0.06625408947002143,0.5519874903416546,tvm
150,75,3,1280,128,32,256,1,2,0,[150; 75; 3; 1280; 128; 32; 256; 1; 2; 0],0.05991934996563941,0.6103442142212885,tvm
750,150,10,1280,640,16,80,20,1,1,[750; 150; 10; 1280; 640; 16; 80; 20; 1; 1],0.05523206200450659,0.6621412861327642,tvm
250,2,1,1280,160,16,320,8,1,0,[250; 2; 1; 1280; 160; 16; 320; 8; 1; 0],0.43591930507682264,0.08389495061473257,tvm
6,6,2,256,16,16,20,20,1,0,[6; 6; 2; 256; 16; 16; 20; 20; 1; 0],0.15380031894892454,0.2377851282842499,tvm
300,25,5,256,128,32,1280,40,2,1,[300; 25; 5; 256; 128; 32; 1280; 40; 2; 1],0.08847736654570326,0.4133421913336162,tvm
750,10,1,128,128,16,80,8,1,0,[750; 10; 1; 128; 128; 16; 80; 8; 1; 0],0.26836771704256535,0.1362735763244878,tvm
20,2,2,320,320,160,320,4,10,0,[20; 2; 2; 320; 320; 160; 320; 4; 10; 0],0.21995851898100227,0.16626511553565804,tvm
60,6,3,256,128,32,64,16,2,0,[60; 6; 3; 256; 128; 32; 64; 16; 2; 0],0.10097424103878438,0.36218572375682845,tvm
1500,30,2,64,64,64,320,8,4,1,[1500; 30; 2; 64; 64; 64; 320; 8; 4; 1],0.07504409202374518,0.4873325479087251,tvm
100,2,2,256,256,32,4,2,2,1,[100; 2; 2; 256; 256; 32; 4; 2; 2; 1],0.18561070505529642,0.19703297048806187,tvm
