kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
512,2,32,16,3584,16,1,0,[512; 2; 32; 16; 3584; 16; 1; 0],0.24832994700409472,0.2252006010874363,tvm
8,1,64,16,448,16,1,1,[8; 1; 64; 16; 448; 16; 1; 1],0.1951604220084846,0.2865542754918927,tvm
32,2,2,1,896,224,14,0,[32; 2; 2; 1; 896; 224; 14; 0],0.19495199795346707,0.28686063195249634,tvm
128,16,4,2,896,64,4,0,[128; 16; 4; 2; 896; 64; 4; 0],0.19823170092422515,0.28211458143473495,tvm
8,8,16,2,2048,64,4,0,[8; 8; 16; 2; 2048; 64; 4; 0],0.11175217304844409,0.5004292248446077,tvm
128,8,64,2,14336,64,4,0,[128; 8; 64; 2; 14336; 64; 4; 0],0.19180326501373202,0.291569871499995,tvm
64,8,32,8,32,16,1,0,[64; 8; 32; 8; 32; 16; 1; 0],0.16912570095155388,0.33066561154624746,tvm
128,16,32,8,128,32,2,0,[128; 16; 32; 8; 128; 32; 2; 0],0.18872128706425428,0.29633145366528135,tvm
2,1,16,1,7168,112,7,1,[2; 1; 16; 1; 7168; 112; 7; 1],0.4937970199389383,0.11325312036157845,tvm
64,4,64,1,896,128,8,0,[64; 4; 64; 1; 896; 128; 8; 0],0.21486162906512618,0.26027938807250844,tvm
64,64,64,4,2048,32,2,1,[64; 64; 64; 4; 2048; 32; 2; 1],0.12062191602308303,0.4636309484806337,tvm
8,2,2,2,1792,64,4,1,[8; 2; 2; 2; 1792; 64; 4; 1],0.1572987330146134,0.3555276782053792,tvm
32,32,64,8,448,16,1,1,[32; 32; 64; 8; 448; 16; 1; 1],0.14809291495475918,0.37762814885788115,tvm
512,64,64,16,112,16,1,0,[512; 64; 64; 16; 112; 16; 1; 0],0.26097425690386444,0.21428953950018978,tvm
16,8,64,2,7168,112,7,1,[16; 8; 64; 2; 7168; 112; 7; 1],0.16643156297504902,0.3360183148776733,tvm
16,1,4,1,896,224,14,1,[16; 1; 4; 1; 896; 224; 14; 1],0.2066063480451703,0.2706792596765065,tvm
8,1,16,1,14336,16,1,0,[8; 1; 16; 1; 14336; 16; 1; 0],0.22305622207932174,0.2507172981413,tvm
256,256,16,8,32,32,2,1,[256; 256; 16; 8; 32; 32; 2; 1],0.13000584999099374,0.43016566821575736,tvm
1,1,16,2,512,32,2,1,[1; 1; 16; 2; 512; 32; 2; 1],0.44034392898902297,0.1270008501348668,tvm
512,1,64,8,3584,16,1,0,[512; 1; 64; 8; 3584; 16; 1; 0],0.23500253004021943,0.23797213299687553,tvm
16,8,16,1,2048,32,2,1,[16; 8; 16; 1; 2048; 32; 2; 1],0.13332790893036872,0.41944746439052005,tvm
64,64,16,4,256,32,2,0,[64; 64; 16; 4; 256; 32; 2; 0],0.13969184493180364,0.4003387124039702,tvm
