kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
3,3,1,1,16,16,0,[3; 3; 1; 1; 16; 16; 0],0.04129592698882334,0.167483552876788,tvm
1024,32,1,1,192,64,1,[1024; 32; 1; 1; 192; 64; 1],0.023253318373463117,0.2974366264782928,tvm
384,4,1,1,384,128,1,[384; 4; 1; 1; 384; 128; 1],0.019854911617585458,0.34834647993611506,tvm
192,8,197,1,768,16,1,[192; 8; 197; 1; 768; 16; 1],0.05128342000534758,0.13486597755585264,tvm
96,4,197,1,192,64,1,[96; 4; 197; 1; 192; 64; 1],0.02094523712003138,0.33021295160291836,tvm
256,8,1,1,256,128,1,[256; 8; 1; 1; 256; 128; 1],0.01990738201129716,0.34742833424825115,tvm
8,8,197,1,768,16,1,[8; 8; 197; 1; 768; 16; 1],0.02601850323844701,0.26582576668777647,tvm
12,4,197,1,768,96,0,[12; 4; 197; 1; 768; 96; 0],0.014310661747003905,0.4833031968543728,tvm
1536,2,1,1,384,96,0,[1536; 2; 1; 1; 384; 96; 0],0.09011741448193789,0.07674863522426971,tvm
6,1,197,1,192,16,1,[6; 1; 197; 1; 192; 16; 1],0.026897973992163315,0.25713418317095743,tvm
48,48,197,1,384,64,0,[48; 48; 197; 1; 384; 64; 0],0.014267484002630226,0.48476581926803125,tvm
64,8,197,1,768,16,1,[64; 8; 197; 1; 768; 16; 1],0.036350751761347055,0.19026810275717582,tvm
64,1,197,1,128,64,1,[64; 1; 197; 1; 128; 64; 1],0.021899130500969477,0.3158293691670718,tvm
1536,24,1,1,64,16,1,[1536; 24; 1; 1; 64; 16; 1],0.11042095092125237,0.06263656048715838,tvm
128,4,1,1,768,16,0,[128; 4; 1; 1; 768; 16; 0],0.04589262948138639,0.15070804723084763,tvm
384,6,197,1,64,16,0,[384; 6; 197; 1; 64; 16; 0],0.05365014949347824,0.12891648274473744,tvm
16,8,1,1,768,64,1,[16; 8; 1; 1; 768; 64; 1],0.023059255006955937,0.2999398102558911,tvm
12,6,1,1,64,64,0,[12; 6; 1; 1; 64; 64; 0],0.014133273129118606,0.48936920048469323,tvm
24,6,1,1,64,64,0,[24; 6; 1; 1; 64; 64; 0],0.016039612746681087,0.43120670558955415,tvm
32,16,1,1,768,64,0,[32; 16; 1; 1; 768; 64; 0],0.021752994114649482,0.317951107556764,tvm
6,6,1,1,128,64,0,[6; 6; 1; 1; 128; 64; 0],0.016369059245334938,0.4225281653494956,tvm
16,8,1,1,768,64,0,[16; 8; 1; 1; 768; 64; 0],0.023027008370263502,0.3003598409405288,tvm
24,3,1,1,128,64,1,[24; 3; 1; 1; 128; 64; 1],0.01440503349294886,0.4801369309425128,tvm
32,2,1,1,128,64,1,[32; 2; 1; 1; 128; 64; 1],0.014472108625341207,0.47791159881965745,tvm
16,2,1,1,128,64,0,[16; 2; 1; 1; 128; 64; 0],0.015838427119888365,0.43668405448819086,tvm
8,2,1,1,192,96,1,[8; 2; 1; 1; 192; 96; 1],0.015921607497148216,0.43440265517582904,tvm
16,16,1,1,384,64,0,[16; 16; 1; 1; 384; 64; 0],0.013833220247761346,0.49998398402916067,tvm
8,4,1,1,96,96,1,[8; 4; 1; 1; 96; 96; 1],0.014036009495612234,0.4927603229102038,tvm
24,12,1,1,768,96,1,[24; 12; 1; 1; 768; 96; 1],0.022171280754264444,0.3119525952553854,tvm
24,4,1,1,64,64,1,[24; 4; 1; 1; 64; 64; 1],0.015705459256423637,0.44038117310066704,tvm
3,1,1,1,128,128,1,[3; 1; 1; 1; 128; 128; 1],0.0174830532487249,0.39560530263402405,tvm
6,1,1,1,128,128,0,[6; 1; 1; 1; 128; 128; 0],0.015022104111267254,0.4604141017929019,tvm
48,4,1,1,384,128,0,[48; 4; 1; 1; 384; 128; 0],0.02168606049963273,0.31893245762851696,tvm
8,1,1,1,768,64,0,[8; 1; 1; 1; 768; 64; 0],0.013374115631449968,0.5171473585262194,tvm
24,12,1,1,384,96,0,[24; 12; 1; 1; 384; 96; 0],0.018012966247624718,0.3839672198542315,tvm
3,3,1,1,128,128,1,[3; 3; 1; 1; 128; 128; 1],0.017766677250619978,0.3892899315873608,tvm
4,1,1,1,384,64,0,[4; 1; 1; 1; 384; 64; 0],0.015794354752870277,0.43790257213082223,tvm
3,1,1,1,384,64,0,[3; 1; 1; 1; 384; 64; 0],0.017976927367271855,0.38473697034679566,tvm
16,2,1,1,192,96,0,[16; 2; 1; 1; 192; 96; 0],0.012888419252703898,0.5366359082381311,tvm
24,4,1,1,96,96,0,[24; 4; 1; 1; 96; 96; 0],0.013032551622018218,0.5307010301607769,tvm
6,3,1,1,384,64,0,[6; 3; 1; 1; 384; 64; 0],0.014725993503816426,0.469672118871715,tvm
6,3,1,1,256,64,1,[6; 3; 1; 1; 256; 64; 1],0.017643256374867633,0.3920131536081281,tvm
3,3,1,1,256,64,1,[3; 3; 1; 1; 256; 64; 1],0.01878926374774892,0.36810322449474375,tvm
4,2,1,1,768,96,1,[4; 2; 1; 1; 768; 96; 1],0.015305170498322695,0.45189882544507054,tvm
32,1,1,1,768,64,1,[32; 1; 1; 1; 768; 64; 1],0.022142776375403628,0.31235417158940154,tvm
2,1,1,1,384,96,1,[2; 1; 1; 1; 384; 96; 1],0.024934392131399363,0.2773834844250687,tvm
4,4,1,1,192,96,1,[4; 4; 1; 1; 192; 96; 1],0.01763364387443289,0.3922268488963122,tvm
8,2,1,1,256,64,0,[8; 2; 1; 1; 256; 64; 0],0.014930259872926399,0.4632463621058812,tvm
2,1,1,1,384,96,0,[2; 1; 1; 1; 384; 96; 0],0.024726373376324773,0.27971706429261217,tvm
32,2,1,1,768,64,0,[32; 2; 1; 1; 768; 64; 0],0.021925671244389378,0.31544706177232434,tvm
