i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
5,1,1,2560,160,32,64,32,2,0,[5; 1; 1; 2560; 160; 32; 64; 32; 2; 0],1.8014211299596354,0.08120572799598066,tvm
150,1,1,2560,128,16,160,40,1,0,[150; 1; 1; 2560; 128; 16; 160; 40; 1; 0],2.32758304302115,0.06284876267866205,tvm
750,250,10,1280,320,16,1280,1,1,1,[750; 250; 10; 1280; 320; 16; 1280; 1; 1; 1],0.407778141903691,0.3587384885388586,tvm
1500,60,5,512,128,64,2,1,4,0,[1500; 60; 5; 512; 128; 64; 2; 1; 4; 0],1.179969922057353,0.12397410438280987,tvm
12,6,1,5120,5120,32,640,64,2,1,[12; 6; 1; 5120; 5120; 32; 640; 64; 2; 1],1.8403222679626197,0.07948918340680841,tvm
12,4,1,256,128,16,1,1,1,0,[12; 4; 1; 256; 128; 16; 1; 1; 1; 0],0.6951665049418807,0.21043262764500498,tvm
20,20,10,640,640,16,8,1,1,0,[20; 20; 10; 640; 640; 16; 8; 1; 1; 0],0.35850910597946495,0.40803904795124896,tvm
300,12,1,640,128,64,20,1,4,1,[300; 12; 1; 640; 128; 64; 20; 1; 4; 1],0.46848360809963197,0.31225364507226017,tvm
300,150,6,640,64,64,8,4,4,0,[300; 150; 6; 640; 64; 64; 8; 4; 4; 0],0.4346499969251454,0.3365597959751219,tvm
1500,15,15,512,128,16,640,40,1,0,[1500; 15; 15; 512; 128; 16; 640; 40; 1; 0],0.4117753370665014,0.35525613390995603,tvm
300,75,5,320,320,80,40,8,5,0,[300; 75; 5; 320; 320; 80; 40; 8; 5; 0],0.21106323995627463,0.6930894944852543,tvm
300,75,1,32,32,16,640,4,1,0,[300; 75; 1; 32; 32; 16; 640; 4; 1; 0],2.5171439320547506,0.058115752707991124,tvm
150,30,5,2560,512,32,160,2,2,1,[150; 30; 5; 2560; 512; 32; 160; 2; 2; 1],0.24012271803803742,0.6092123039459408,tvm
20,10,1,2560,640,160,40,40,10,1,[20; 10; 1; 2560; 640; 160; 40; 40; 10; 1],0.6762580369831994,0.21631641516350442,tvm
300,100,1,5120,640,128,640,5,8,1,[300; 100; 1; 5120; 640; 128; 640; 5; 8; 1],1.8024664029944688,0.08115863576857094,tvm
30,5,5,5120,256,32,32,4,2,0,[30; 5; 5; 5120; 256; 32; 32; 4; 2; 0],0.4503446710295975,0.32483056577813957,tvm
500,20,2,1280,64,16,64,8,1,1,[500; 20; 2; 1280; 64; 16; 64; 8; 1; 1],0.6610142670106143,0.2213049272707533,tvm
1500,150,6,5120,160,32,160,1,2,1,[1500; 150; 6; 5120; 160; 32; 160; 1; 2; 1],0.2018429220188409,0.7247502801810377,tvm
50,2,1,256,32,16,640,64,1,1,[50; 2; 1; 256; 32; 16; 640; 64; 1; 1],2.407453596009873,0.06076366935095616,tvm
300,60,10,5120,80,16,64,2,1,1,[300; 60; 10; 5120; 80; 16; 64; 2; 1; 1],0.2553704669699073,0.5728372431685788,tvm
300,150,2,5120,512,32,1280,40,2,1,[300; 150; 2; 5120; 512; 32; 1280; 40; 2; 1],0.9063890059478581,0.16139396365772962,tvm
100,25,5,256,256,32,160,32,2,1,[100; 25; 5; 256; 256; 32; 160; 32; 2; 1],0.27308193303178996,0.5356843371571012,tvm
300,12,6,512,256,16,320,32,1,1,[300; 12; 6; 512; 256; 16; 320; 32; 1; 1],0.4470123789506033,0.3272520430622783,tvm
250,125,5,2560,128,16,1280,10,1,1,[250; 125; 5; 2560; 128; 16; 1280; 10; 1; 1],0.5073020580457523,0.28836018298297766,tvm
