i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
150,6,1,1280,16,16,8,8,1,1,[150; 6; 1; 1280; 16; 16; 8; 8; 1; 1],0.48119255900382996,0.3040066009926599,tvm
100,20,4,160,16,16,10,10,1,0,[100; 20; 4; 160; 16; 16; 10; 10; 1; 0],0.4203767420258373,0.34798717355472353,tvm
6,3,3,160,160,32,32,16,2,1,[6; 3; 3; 160; 160; 32; 32; 16; 2; 1],0.6683774749981239,0.21886691242269185,tvm
1500,100,4,256,256,32,5120,8,2,1,[1500; 100; 4; 256; 256; 32; 5120; 8; 2; 1],0.49342393106780946,0.2964706514520691,tvm
1500,25,5,640,32,16,160,8,1,1,[1500; 25; 5; 640; 32; 16; 160; 8; 1; 1],0.3247586649376899,0.4504443763302868,tvm
60,20,4,128,128,64,5120,5,4,1,[60; 20; 4; 128; 128; 64; 5120; 5; 4; 1],0.4813606250099838,0.30390045775489055,tvm
1500,6,2,256,32,16,160,5,1,1,[1500; 6; 2; 256; 32; 16; 160; 5; 1; 1],0.7685646939789876,0.19033624030837112,tvm
300,50,5,640,160,80,40,5,5,1,[300; 50; 5; 640; 160; 80; 40; 5; 5; 1],0.20699806103948504,0.7067008915499464,tvm
500,50,5,1280,128,32,1280,40,2,0,[500; 50; 5; 1280; 128; 32; 1280; 40; 2; 0],0.3861410659737885,0.3788400850782451,tvm
250,5,5,256,16,16,8,2,1,1,[250; 5; 5; 256; 16; 16; 8; 2; 1; 1],0.5288351739291102,0.2766187301779661,tvm
300,30,1,1280,256,32,80,40,2,1,[300; 30; 1; 1280; 256; 32; 80; 40; 2; 1],0.5685865689301863,0.2572795811215793,tvm
100,20,10,320,320,16,256,16,1,0,[100; 20; 10; 320; 320; 16; 256; 16; 1; 0],0.35883857891894877,0.40766440087467853,tvm
500,1,1,320,320,80,320,64,5,1,[500; 1; 1; 320; 320; 80; 320; 64; 5; 1],1.8094930480001494,0.0808434795852845,tvm
12,12,1,640,160,32,640,1,2,0,[12; 12; 1; 640; 160; 32; 640; 1; 2; 0],0.7217366920085624,0.20268571059981363,tvm
300,12,2,160,160,16,2560,8,1,1,[300; 12; 2; 160; 160; 16; 2560; 8; 1; 1],1.2210157240042463,0.11980657694233393,tvm
150,5,5,640,80,80,256,4,5,0,[150; 5; 5; 640; 80; 80; 256; 4; 5; 0],0.3952088459627703,0.3701478744215528,tvm
1500,10,2,80,80,80,256,8,5,1,[1500; 10; 2; 80; 80; 80; 256; 8; 5; 1],0.420331500004977,0.3480246288559915,tvm
1500,50,5,1280,64,16,512,32,1,1,[1500; 50; 5; 1280; 64; 16; 512; 32; 1; 1],0.3048254440072924,0.4798999465484734,tvm
4,2,1,1280,1280,128,160,32,8,0,[4; 2; 1; 1280; 1280; 128; 160; 32; 8; 0],1.2243588420096785,0.11947944447854766,tvm
