kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
4,4,16,8,4096,16,1,0,[4; 4; 16; 8; 4096; 16; 1; 0],0.28239276504609734,0.19803642392964416,tvm
32,4,8,8,256,16,1,0,[32; 4; 8; 8; 256; 16; 1; 0],0.1561884928960353,0.358054888016356,tvm
64,2,4,2,512,128,8,0,[64; 2; 4; 2; 512; 128; 8; 0],0.22062462999019772,0.25348055353483434,tvm
64,16,8,4,32,32,2,1,[64; 16; 8; 4; 32; 32; 2; 1],0.1358228699536994,0.4117425390318822,tvm
112,7,32,2,64,64,4,1,[112; 7; 32; 2; 64; 64; 4; 1],0.5535597490379587,0.10102622784717412,tvm
8,2,16,2,4096,128,8,1,[8; 2; 16; 2; 4096; 128; 8; 1],0.1494727060198784,0.374142241901314,tvm
28,28,16,1,128,32,2,1,[28; 28; 16; 1; 128; 32; 2; 1],0.18692917202133685,0.29917242305524117,tvm
448,14,16,8,16,16,1,1,[448; 14; 16; 8; 16; 16; 1; 1],0.2337829100433737,0.23921360771391612,tvm
64,16,32,2,128,64,4,0,[64; 16; 32; 2; 128; 64; 4; 0],0.2350261879619211,0.23794817853401998,tvm
4,2,64,4,1024,64,4,1,[4; 2; 64; 4; 1024; 64; 4; 1],0.2479090770939365,0.2255829193061086,tvm
2,2,16,8,256,16,1,1,[2; 2; 16; 8; 256; 16; 1; 1],0.24024293990805745,0.2327812561515266,tvm
56,8,16,16,256,16,1,1,[56; 8; 16; 16; 256; 16; 1; 1],0.20778265304397792,0.2691468826394127,tvm
16,1,8,4,1024,16,1,1,[16; 1; 8; 4; 1024; 16; 1; 1],0.1624953179853037,0.34415793652830773,tvm
7,1,4,4,256,64,4,0,[7; 1; 4; 4; 256; 64; 4; 0],0.15375548508018255,0.36372070436491605,tvm
28,7,8,2,512,16,1,1,[28; 7; 8; 2; 512; 16; 1; 1],0.18715931591577828,0.2988045401838248,tvm
32,16,64,2,256,128,8,1,[32; 16; 64; 2; 256; 128; 8; 1],0.13551704003475606,0.41267174459382,tvm
8,2,64,4,4096,32,2,0,[8; 2; 64; 4; 4096; 32; 2; 0],0.1921534709399566,0.29103847596283217,tvm
28,4,8,4,2048,32,2,1,[28; 4; 8; 4; 2048; 32; 2; 1],0.11863011110108346,0.47141533304036987,tvm
8,1,64,2,256,64,4,0,[8; 1; 64; 2; 256; 64; 4; 0],0.14861701894551516,0.3762964277586256,tvm
112,4,64,4,1024,32,2,0,[112; 4; 64; 4; 1024; 32; 2; 0],0.22626454290002584,0.2471622491821141,tvm
32,16,32,8,256,32,2,0,[32; 16; 32; 8; 256; 32; 2; 0],0.1453933169832453,0.384639779143204,tvm
32,8,8,2,2048,128,8,0,[32; 8; 8; 2; 2048; 128; 8; 0],0.1321701379492879,0.42312169905422004,tvm
28,7,16,2,512,32,2,0,[28; 7; 16; 2; 512; 32; 2; 0],0.19892511400394142,0.2811311865440242,tvm
64,64,32,2,256,128,8,0,[64; 64; 32; 2; 256; 128; 8; 0],0.14742733992170542,0.3793329877825446,tvm
16,4,32,2,4096,32,2,0,[16; 4; 32; 2; 4096; 32; 2; 0],0.17241723905317485,0.3243530266488371,tvm
14,14,64,2,2048,64,4,0,[14; 14; 64; 2; 2048; 64; 4; 0],0.14431659795809537,0.38750950427456565,tvm
224,7,4,4,1024,32,2,0,[224; 7; 4; 4; 1024; 32; 2; 0],0.22549028194043785,0.2480109246930003,tvm
14,7,8,2,4096,64,4,1,[14; 7; 8; 2; 4096; 64; 4; 1],0.14332413207739592,0.3901928623097051,tvm
128,8,32,16,128,16,1,1,[128; 8; 32; 16; 128; 16; 1; 1],0.26152550301048905,0.21383785783633644,tvm
224,56,64,16,32,16,1,1,[224; 56; 64; 16; 32; 16; 1; 1],0.26735787803772837,0.20917301462664054,tvm
28,2,32,2,128,64,4,0,[28; 2; 32; 2; 128; 64; 4; 0],0.18854132597334683,0.29661429951563534,tvm
