i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
197,1,1,384,96,32,16,8,2,0,[197; 1; 1; 384; 96; 32; 16; 8; 2; 0],0.01504391424532514,0.11493665243368796,tvm
197,197,1,256,128,64,128,8,4,1,[197; 197; 1; 256; 128; 64; 128; 8; 4; 1],0.005959591220744187,0.29013686993136195,tvm
197,197,1,256,256,32,192,2,2,0,[197; 197; 1; 256; 256; 32; 192; 2; 2; 0],0.007030597684206441,0.245938854777794,tvm
197,197,1,192,64,64,12,3,4,0,[197; 197; 1; 192; 64; 64; 12; 3; 4; 0],0.002944003092125058,0.5873285756670301,tvm
197,197,1,96,32,32,24,6,2,1,[197; 197; 1; 96; 32; 32; 24; 6; 2; 1],0.0039927186553541105,0.43306260523477597,tvm
197,1,1,64,32,16,64,8,1,0,[197; 1; 1; 64; 32; 16; 64; 8; 1; 0],0.007694457752222661,0.22471981763206988,tvm
197,197,1,768,256,16,192,24,1,1,[197; 197; 1; 768; 256; 16; 192; 24; 1; 1],0.01268351475300733,0.13632633986152493,tvm
197,197,1,256,64,64,96,48,4,1,[197; 197; 1; 256; 64; 64; 96; 48; 4; 1],0.005790969185909489,0.29858510507435604,tvm
197,1,1,768,48,16,192,3,1,0,[197; 1; 1; 768; 48; 16; 192; 3; 1; 0],0.028338364994851872,0.06101612224880516,tvm
1,1,1,768,192,64,12,4,4,1,[1; 1; 1; 768; 192; 64; 12; 4; 4; 1],0.02192800362536218,0.0788533772795098,tvm
197,197,1,768,192,192,4,1,12,0,[197; 197; 1; 768; 192; 192; 4; 1; 12; 0],0.004418493186676642,0.3913318567675961,tvm
197,1,1,256,128,32,128,4,2,1,[197; 1; 1; 256; 128; 32; 128; 4; 2; 1],0.007796551064529922,0.22177718436599445,tvm
1,1,1,128,64,64,256,1,4,1,[1; 1; 1; 128; 64; 64; 256; 1; 4; 1],0.02161525651172269,0.07999429208343627,tvm
197,1,1,128,64,32,96,16,2,1,[197; 1; 1; 128; 64; 32; 96; 16; 2; 1],0.00762378719082335,0.22680291298508878,tvm
197,197,1,768,64,32,8,8,2,0,[197; 197; 1; 768; 64; 32; 8; 8; 2; 0],0.0035573687819123734,0.4860606950982499,tvm
197,197,1,384,64,16,6,1,1,0,[197; 197; 1; 384; 64; 16; 6; 1; 1; 0],0.0036913658113917336,0.468416632543181,tvm
197,197,1,96,48,16,64,1,1,1,[197; 197; 1; 96; 48; 16; 64; 1; 1; 1],0.010316912754205987,0.16759831008091317,tvm
1,1,1,96,96,96,384,1,6,1,[1; 1; 1; 96; 96; 96; 384; 1; 6; 1],0.02200904612254817,0.07856302055206701,tvm
197,197,1,32,32,16,24,24,1,1,[197; 197; 1; 32; 32; 16; 24; 24; 1; 1],0.0063845838158158585,0.2708237831530745,tvm
1,1,1,64,64,64,24,2,4,1,[1; 1; 1; 64; 64; 64; 24; 2; 4; 1],0.021569182878010906,0.08016516678616982,tvm
197,1,1,128,128,16,12,4,1,1,[197; 1; 1; 128; 128; 16; 12; 4; 1; 1],0.005759823656262597,0.3001996668729803,tvm
1,1,1,384,32,16,384,6,1,1,[1; 1; 1; 384; 32; 16; 384; 6; 1; 1],0.027999732497846708,0.06175405936432133,tvm
197,197,1,384,96,96,12,12,6,1,[197; 197; 1; 384; 96; 96; 12; 12; 6; 1],0.0035688307507371064,0.4844996200786532,tvm
