kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,2,197,1,384,96,6,1,[8; 2; 197; 1; 384; 96; 6; 1],0.012699385362793691,0.5446238832701318,tvm
6,2,197,1,3072,96,6,1,[6; 2; 197; 1; 3072; 96; 6; 1],0.020062451003468595,0.3447429514087186,tvm
16,4,197,1,192,32,2,0,[16; 4; 197; 1; 192; 32; 2; 0],0.017098867509048432,0.4044939565599029,tvm
16,8,1,1,32,32,2,1,[16; 8; 1; 1; 32; 32; 2; 1],0.013922288751928136,0.49678531272171045,tvm
48,24,1,1,3072,128,8,0,[48; 24; 1; 1; 3072; 128; 8; 0],0.02282735075277742,0.3029869145278301,tvm
6,2,197,1,3072,192,12,1,[6; 2; 197; 1; 3072; 192; 12; 1],0.021022400629590265,0.32900089258566156,tvm
8,1,1,1,3072,48,3,0,[8; 1; 1; 1; 3072; 48; 3; 0],0.030324252758873627,0.22808108830990614,tvm
12,4,197,1,192,192,12,0,[12; 4; 197; 1; 192; 192; 12; 0],0.028326247993391007,0.24416889144804074,tvm
12,2,1,1,1536,48,3,0,[12; 2; 1; 1; 1536; 48; 3; 0],0.02687554925796576,0.2573487337892673,tvm
24,12,197,1,192,64,4,0,[24; 12; 197; 1; 192; 64; 4; 0],0.01331133175699506,0.5195865220468292,tvm
12,4,1,1,1024,64,4,0,[12; 4; 1; 1; 1024; 64; 4; 0],0.021248724500765093,0.32549664668952416,tvm
6,2,1,1,16,16,1,0,[6; 2; 1; 1; 16; 16; 1; 0],0.03544840350514278,0.19511142639823417,tvm
6,2,197,1,1536,16,1,1,[6; 2; 197; 1; 1536; 16; 1; 1],0.027681458013830706,0.24985636840273662,tvm
16,8,1,1,256,16,1,1,[16; 8; 1; 1; 256; 16; 1; 1],0.02165471987973433,0.3193940448013509,tvm
2,2,1,1,192,32,2,0,[2; 2; 1; 1; 192; 32; 2; 0],0.0265652337402571,0.2603548923775302,tvm
8,8,1,1,1536,48,3,0,[8; 8; 1; 1; 1536; 48; 3; 0],0.026131367252673954,0.26467763835513947,tvm
12,4,1,1,3072,32,2,1,[12; 4; 1; 1; 3072; 32; 2; 1],0.032453296502353624,0.2131182134587459,tvm
8,1,197,1,192,96,6,0,[8; 1; 197; 1; 192; 96; 6; 0],0.013687580372788943,0.5053039604558908,tvm
12,6,1,1,96,48,3,1,[12; 6; 1; 1; 96; 48; 3; 1],0.015195579253486358,0.45515794140205135,tvm
24,1,197,1,3072,32,2,1,[24; 1; 197; 1; 3072; 32; 2; 1],0.021239269874058664,0.32564154099647974,tvm
24,3,1,1,768,16,1,0,[24; 3; 1; 1; 768; 16; 1; 0],0.03365690974169411,0.20549683926746737,tvm
8,4,197,1,1536,192,12,1,[8; 4; 197; 1; 1536; 192; 12; 1],0.01758698487537913,0.39326744296636984,tvm
24,2,197,1,256,128,8,1,[24; 2; 197; 1; 256; 128; 8; 1],0.022888724619406275,0.3021744848799697,tvm
6,2,1,1,384,16,1,1,[6; 2; 1; 1; 384; 16; 1; 1],0.015971750748576596,0.43303884967306794,tvm
