kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
64,8,32,1,4096,64,0,[64; 8; 32; 1; 4096; 64; 0],0.2987407629843801,0.18719927195291178,tvm
1792,1,32,1,2048,16,1,[1792; 1; 32; 1; 2048; 16; 1],1.3035357691114768,0.042901817240851466,tvm
56,8,64,1,32,16,1,[56; 8; 64; 1; 32; 16; 1],0.31508577906060964,0.17748834460274335,tvm
16,8,4,1,128,128,0,[16; 8; 4; 1; 128; 128; 0],0.150207613944076,0.37231170820777765,tvm
64,8,64,1,256,128,0,[64; 8; 64; 1; 256; 128; 0],0.368094205041416,0.15192864372054177,tvm
3584,28,2,1,2048,128,0,[3584; 28; 2; 1; 2048; 128; 0],1.8144212359329686,0.030821979056355895,tvm
2048,32,4,1,1024,16,1,[2048; 32; 4; 1; 1024; 16; 1],1.1047078999690711,0.05062338500059523,tvm
1024,1,16,1,2048,16,1,[1024; 1; 16; 1; 2048; 16; 1],0.9859651640290394,0.05672011078444777,tvm
448,14,1,1,16,16,0,[448; 14; 1; 1; 16; 16; 0],1.638410734012723,0.03413310970953335,tvm
112,1,1,1,4096,64,0,[112; 1; 1; 1; 4096; 64; 0],0.7259921820368618,0.07703120600614653,tvm
1792,16,4,1,64,16,0,[1792; 16; 4; 1; 64; 16; 0],1.6357230400899425,0.03418919460244216,tvm
64,1,16,1,256,16,0,[64; 1; 16; 1; 256; 16; 0],0.6236609850311652,0.08967059776961794,tvm
512,4,1,1,64,64,0,[512; 4; 1; 1; 64; 64; 0],1.128656059037894,0.049549243000569156,tvm
14336,2,64,1,2048,16,1,[14336; 2; 64; 1; 2048; 16; 1],2.872609455953352,0.019468032181483384,tvm
448,14,2,1,32,16,1,[448; 14; 2; 1; 32; 16; 1],1.7262696019606665,0.03239589764531321,tvm
14336,16,64,1,512,16,0,[14336; 16; 64; 1; 512; 16; 0],2.862928034970537,0.019533866255184742,tvm
112,4,4,1,32,16,0,[112; 4; 4; 1; 32; 16; 0],1.2610083969775587,0.044348676398487594,tvm
512,2,32,1,2048,128,0,[512; 2; 32; 1; 2048; 128; 0],0.7926559960469604,0.07055274117931501,tvm
896,8,8,1,256,64,1,[896; 8; 8; 1; 256; 64; 1],1.255926865967922,0.04452811294090249,tvm
896,16,16,1,256,64,0,[896; 16; 16; 1; 256; 64; 0],1.0990989189594984,0.05088172899512616,tvm
896,4,64,1,1024,16,1,[896; 4; 64; 1; 1024; 16; 1],1.0337140490300953,0.054100119260065485,tvm
3584,1,64,1,256,16,0,[3584; 1; 64; 1; 256; 16; 0],2.840063872979954,0.019691125212143445,tvm
1792,1,8,1,32,16,0,[1792; 1; 8; 1; 32; 16; 0],1.7259900389472023,0.032401144891569124,tvm
1792,8,32,1,1024,64,0,[1792; 8; 32; 1; 1024; 64; 0],0.9668831410817802,0.05783951643914661,tvm
896,28,64,1,2048,128,1,[896; 28; 64; 1; 2048; 128; 1],0.8023102619918063,0.06970377419141682,tvm
14336,4,1,1,128,64,0,[14336; 4; 1; 1; 128; 64; 0],2.1641506330342963,0.02584110943096588,tvm
28,4,4,1,128,128,0,[28; 4; 4; 1; 128; 128; 0],0.2423826000886038,0.2307263529349471,tvm
224,4,1,1,64,64,1,[224; 4; 1; 1; 64; 64; 1],1.1119853649288416,0.05029207676389881,tvm
64,4,2,1,32,16,1,[64; 4; 2; 1; 32; 16; 1],0.49121531506534666,0.11384835044463898,tvm
896,4,8,1,128,128,0,[896; 4; 8; 1; 128; 128; 0],0.8154523529810831,0.06858040586784678,tvm
32,16,8,1,512,128,0,[32; 16; 8; 1; 512; 128; 0],0.2100707560312003,0.26621531901864215,tvm
14336,64,16,1,256,64,1,[14336; 64; 16; 1; 256; 64; 1],2.2158197759417817,0.02523853877491645,tvm
112,7,16,1,64,64,0,[112; 7; 16; 1; 64; 64; 0],1.0466903320048004,0.05342941615426792,tvm
128,4,64,1,512,128,0,[128; 4; 64; 1; 512; 128; 0],0.7458860559854656,0.07497667087963777,tvm
112,28,64,1,128,16,1,[112; 28; 64; 1; 128; 16; 1],1.066796100931242,0.05242243881892271,tvm
1024,2,1,1,2048,16,0,[1024; 2; 1; 1; 2048; 16; 0],0.9894282239256427,0.05652158689333702,tvm
28,1,16,1,256,64,1,[28; 1; 16; 1; 256; 64; 1],0.23195656202733517,0.2410970952688241,tvm
14,7,8,1,512,64,1,[14; 7; 8; 1; 512; 64; 1],0.15509368805214763,0.36058239400774206,tvm
7168,28,8,1,2048,64,0,[7168; 28; 8; 1; 2048; 64; 0],2.202190504060127,0.025394739115543127,tvm
512,32,64,1,64,16,1,[512; 32; 64; 1; 64; 16; 1],1.3720811529783532,0.0407585609728258,tvm
7168,16,4,1,1024,64,1,[7168; 16; 4; 1; 1024; 64; 1],2.12847404088825,0.026274247305358368,tvm
7168,1,32,1,256,128,1,[7168; 1; 32; 1; 256; 128; 1],1.962265045964159,0.028499744949518298,tvm
896,4,32,1,2048,128,1,[896; 4; 32; 1; 2048; 128; 1],0.7610064819455147,0.07348696057143084,tvm
224,28,16,1,256,64,1,[224; 28; 16; 1; 256; 64; 1],1.0211266800761223,0.054767008270868354,tvm
3584,14,8,1,16,16,0,[3584; 14; 8; 1; 16; 16; 0],2.8595829260302708,0.019556716759030382,tvm
128,4,4,1,128,64,0,[128; 4; 4; 1; 128; 64; 0],1.0258348749484867,0.05451564837483383,tvm
896,64,32,1,512,64,1,[896; 64; 32; 1; 512; 64; 1],0.7606275730067864,0.07352356832432944,tvm
64,32,8,1,64,64,0,[64; 32; 8; 1; 64; 64; 0],0.39173131505958736,0.14276125288790498,tvm
4,4,32,1,128,16,1,[4; 4; 32; 1; 128; 16; 1],0.22690306801814586,0.2464667129527794,tvm
128,4,8,1,4096,128,0,[128; 4; 8; 1; 4096; 128; 0],0.7340916140237823,0.07618129980643201,tvm
112,7,8,1,4096,64,1,[112; 7; 8; 1; 4096; 64; 1],0.7189187780022621,0.07778911198944558,tvm
896,14,4,1,16,16,1,[896; 14; 4; 1; 16; 16; 1],1.5563126740744337,0.03593368753267549,tvm
56,56,8,1,64,16,1,[56; 56; 8; 1; 64; 16; 1],0.3539539308985695,0.15799811345889292,tvm
7168,7,32,1,4096,64,1,[7168; 7; 32; 1; 4096; 64; 1],2.196984022972174,0.025454920358354213,tvm
1024,64,32,1,128,128,0,[1024; 64; 32; 1; 128; 128; 0],0.8096929020248353,0.06906822721735802,tvm
128,4,4,1,256,128,0,[128; 4; 4; 1; 256; 128; 0],1.1507292269961908,0.04859879459159549,tvm
3584,4,8,1,1024,16,0,[3584; 4; 8; 1; 1024; 16; 0],2.7890202280832455,0.020051505102122242,tvm
56,28,8,1,256,64,1,[56; 28; 8; 1; 256; 64; 1],0.2272833229508251,0.2460543633702198,tvm
7168,1,32,1,16,16,0,[7168; 1; 32; 1; 16; 16; 0],2.8593277380568907,0.01955846214793746,tvm
896,2,32,1,256,128,0,[896; 2; 32; 1; 256; 128; 0],0.8024941630428657,0.06968780074522002,tvm
1792,14,2,1,1024,128,0,[1792; 14; 2; 1; 1024; 128; 0],0.7698156170081347,0.0726460363985346,tvm
7168,1,2,1,128,16,0,[7168; 1; 2; 1; 128; 16; 0],2.7141520039876923,0.02060461361455382,tvm
448,2,8,1,256,128,0,[448; 2; 8; 1; 256; 128; 0],1.1243553130188957,0.049738772686702716,tvm
16,2,4,1,512,128,1,[16; 2; 4; 1; 512; 128; 1],0.23931966198142618,0.23367930938191636,tvm
32,8,64,1,1024,128,0,[32; 8; 64; 1; 1024; 128; 0],0.22390862402971834,0.2497628377454135,tvm
