kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
20,2,30,1,320,80,5,0,[20; 2; 30; 1; 320; 80; 5; 0],0.36389732302632183,0.40199722567108026,tvm
10,2,150,30,160,16,1,0,[10; 2; 150; 30; 160; 16; 1; 0],0.6989705469459295,0.20928737973995143,tvm
10,5,3,1,1280,80,5,1,[10; 5; 3; 1; 1280; 80; 5; 1],0.6236418960615993,0.23456684871483546,tvm
2,2,1500,2,1280,128,8,1,[2; 2; 1500; 2; 1280; 128; 8; 1],1.1004900789121166,0.13292779016265574,tvm
8,1,1500,2,80,16,1,0,[8; 1; 1500; 2; 80; 16; 1; 0],0.729666601982899,0.2004829519237647,tvm
5,1,375,15,1024,16,1,1,[5; 1; 375; 15; 1024; 16; 1; 1],1.001516344025731,0.1460642306621767,tvm
20,5,150,2,1024,64,4,1,[20; 5; 150; 2; 1024; 64; 4; 1],0.3670365479774773,0.39855898572447046,tvm
80,80,1500,10,128,16,1,1,[80; 80; 1500; 10; 128; 16; 1; 1],0.3144572110613808,0.465200698664086,tvm
16,1,50,2,512,16,1,0,[16; 1; 50; 2; 512; 16; 1; 0],0.4997782369609922,0.2927012492085203,tvm
128,64,25,5,128,32,2,1,[128; 64; 25; 5; 128; 32; 2; 1],0.22566752100829035,0.6482355707728991,tvm
10,5,750,3,2560,80,5,1,[10; 5; 750; 3; 2560; 80; 5; 1],0.38734715001191944,0.3776604895149294,tvm
80,40,12,6,1024,32,2,0,[80; 40; 12; 6; 1024; 32; 2; 0],0.20942328707315028,0.6985169430303975,tvm
80,5,300,4,2560,64,4,1,[80; 5; 300; 4; 2560; 64; 4; 1],0.19796459598001093,0.7389488689204063,tvm
320,20,12,12,80,16,1,1,[320; 20; 12; 12; 80; 16; 1; 1],0.407829670002684,0.35869316296862747,tvm
8,2,6,2,512,128,8,0,[8; 2; 6; 2; 512; 128; 8; 0],0.4930858589941636,0.29667391919151714,tvm
8,2,30,3,16,16,1,1,[8; 2; 30; 3; 16; 16; 1; 1],0.508002742077224,0.2879624501386583,tvm
