kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
4096,16,16,1,512,64,1,[4096; 16; 16; 1; 512; 64; 1],1.3964002060238272,0.04004872893321464,tvm
1024,8,2,1,1792,64,1,[1024; 8; 2; 1; 1792; 64; 1],0.7294500810094178,0.0766660458189891,tvm
8,2,2,1,7168,16,1,[8; 2; 2; 1; 7168; 16; 1],0.20857255801092833,0.2681275708878401,tvm
16,16,16,1,512,16,1,[16; 16; 16; 1; 512; 16; 1],0.17455632495693862,0.32037826957647775,tvm
512,8,32,1,2048,16,1,[512; 8; 32; 1; 2048; 16; 1],0.9594217150006443,0.05828933456368118,tvm
1024,4,32,1,448,64,1,[1024; 4; 32; 1; 448; 64; 1],0.7837620390346274,0.07135335796846695,tvm
64,64,32,1,1024,64,1,[64; 64; 32; 1; 1024; 64; 1],0.17311289894860238,0.3230496033108273,tvm
16,4,8,1,16,16,1,[16; 4; 8; 1; 16; 16; 1],0.1959889290155843,0.2853429202058983,tvm
256,32,64,1,224,16,0,[256; 32; 64; 1; 224; 16; 0],1.0923788250656798,0.05119474311484468,tvm
4,4,2,1,896,128,1,[4; 4; 2; 1; 896; 128; 1],0.1814733159262687,0.308166812558023,tvm
1024,64,4,1,7168,64,0,[1024; 64; 4; 1; 7168; 64; 0],0.7800081489840522,0.07169675522771587,tvm
1024,32,4,1,128,128,0,[1024; 32; 4; 1; 128; 128; 0],0.7991230140905827,0.06998178296363543,tvm
128,8,16,1,896,64,0,[128; 8; 16; 1; 896; 64; 0],0.28242129797581583,0.19801641637565945,tvm
4,1,64,1,1024,64,0,[4; 1; 64; 1; 1024; 64; 0],0.25097164197359234,0.22283016875355885,tvm
2048,64,2,1,7168,128,1,[2048; 64; 2; 1; 7168; 128; 1],1.6600707879988477,0.03368775219564441,tvm
4,2,1,1,16,16,0,[4; 2; 1; 1; 16; 16; 0],0.4560868570115417,0.12261711223114267,tvm
4,4,1,1,2048,128,1,[4; 4; 1; 1; 2048; 128; 1],0.2271035920130089,0.24624909204487574,tvm
256,8,16,1,1792,16,1,[256; 8; 16; 1; 1792; 16; 1],0.9774822869803756,0.05721234448768696,tvm
2048,8,2,1,32,16,0,[2048; 8; 2; 1; 32; 16; 0],1.473344757920131,0.03795720793297514,tvm
1024,64,32,1,1024,64,1,[1024; 64; 32; 1; 1024; 64; 1],0.7574992799200118,0.07382720329349837,tvm
2,2,64,1,128,64,0,[2; 2; 64; 1; 128; 64; 0],0.49408268195111305,0.11318764121116622,tvm
256,2,64,1,64,16,1,[256; 2; 64; 1; 64; 16; 1],1.1614983269246295,0.04814819964606138,tvm
128,1,32,1,128,64,0,[128; 1; 32; 1; 128; 64; 0],0.2936753348913044,0.19042815888515813,tvm
512,32,8,1,7168,128,0,[512; 32; 8; 1; 7168; 128; 0],0.7260512529173866,0.07702493881612602,tvm
128,4,64,1,128,64,1,[128; 4; 64; 1; 128; 64; 1],0.2430264879949391,0.23011505369117594,tvm
2048,1,64,1,7168,128,0,[2048; 1; 64; 1; 7168; 128; 0],0.8402453269809484,0.06655681565557978,tvm
4096,4,32,1,2048,16,0,[4096; 4; 32; 1; 2048; 16; 0],1.9257796780439094,0.029039694400627182,tvm
256,64,4,1,3584,16,1,[256; 64; 4; 1; 3584; 16; 1],0.9546642269706354,0.0585798145079689,tvm
4096,4,64,1,7168,16,1,[4096; 4; 64; 1; 7168; 16; 1],1.7465853330213577,0.03201907875671454,tvm
1024,1,32,1,14336,64,1,[1024; 1; 32; 1; 14336; 64; 1],0.8365779579617083,0.06684858571888537,tvm
16,16,64,1,512,64,0,[16; 16; 64; 1; 512; 64; 0],0.11773689999245107,0.47499172593230343,tvm
16,16,64,1,256,128,0,[16; 16; 64; 1; 256; 128; 0],0.11143189703579992,0.5018675515805543,tvm
8,2,32,1,512,64,0,[8; 2; 32; 1; 512; 64; 0],0.11891911807470024,0.4702696609152792,tvm
4,1,1,1,512,128,0,[4; 1; 1; 1; 512; 128; 0],0.13791235000826418,0.40550431727094904,tvm
128,32,64,1,14336,64,1,[128; 32; 64; 1; 14336; 64; 1],0.22672619798686355,0.24665898264025737,tvm
8,8,32,1,224,16,1,[8; 8; 32; 1; 224; 16; 1],0.1749549750238657,0.3196482599349044,tvm
512,64,64,1,512,16,0,[512; 64; 64; 1; 512; 16; 0],1.3833180170040578,0.04042747412084729,tvm
32,8,8,1,128,128,0,[32; 8; 8; 1; 128; 128; 0],0.23182053596246988,0.2412385645695645,tvm
4096,32,32,1,32,16,1,[4096; 32; 32; 1; 32; 16; 1],1.9053970630047843,0.02935034089175192,tvm
256,64,64,1,256,16,1,[256; 64; 64; 1; 256; 16; 1],1.0999510099645704,0.05084231281821784,tvm
1024,64,64,1,3584,16,0,[1024; 64; 64; 1; 3584; 16; 0],2.183457231032662,0.02561261678887301,tvm
1024,2,64,1,3584,16,1,[1024; 2; 64; 1; 3584; 16; 1],1.008657295955345,0.055444057716714505,tvm
2,1,32,1,512,128,1,[2; 1; 32; 1; 512; 128; 1],0.2372554149478674,0.23571244241410313,tvm
1024,32,4,1,1024,128,1,[1024; 32; 4; 1; 1024; 128; 1],0.7313377540558577,0.07646816128825479,tvm
32,2,1,1,448,64,0,[32; 2; 1; 1; 448; 64; 0],0.22993220295757055,0.24321975179637198,tvm
256,16,2,1,512,16,1,[256; 16; 2; 1; 512; 16; 1],0.9489810119848698,0.05893063467767779,tvm
256,64,16,1,512,16,1,[256; 64; 16; 1; 512; 16; 1],0.9584658020175993,0.0583474686479283,tvm
