kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
1280,16,15,1,5120,16,0,[1280; 16; 15; 1; 5120; 16; 0],2.450685927993618,0.05969174287685192,tvm
256,2,3,1,512,16,0,[256; 2; 3; 1; 512; 16; 0],1.2732971289660782,0.11488733537355796,tvm
64,32,1500,1,5120,128,0,[64; 32; 1500; 1; 5120; 128; 0],0.513573104981333,0.2848391258553763,tvm
320,5,60,1,32,16,0,[320; 5; 60; 1; 32; 16; 0],1.8707231499720365,0.07819741488092505,tvm
20,5,12,1,1280,128,1,[20; 5; 12; 1; 1280; 128; 1],0.5385659569874406,0.2716207966504012,tvm
20,1,250,1,512,16,0,[20; 1; 250; 1; 512; 16; 0],0.6027754480019212,0.24268691561778416,tvm
80,5,15,1,1024,128,0,[80; 5; 15; 1; 1024; 128; 0],0.4616148869972676,0.31689990597417667,tvm
80,20,20,1,1280,16,1,[80; 20; 20; 1; 1280; 16; 1],1.1388373480876908,0.12845180616121685,tvm
1280,10,15,1,128,16,0,[1280; 10; 15; 1; 128; 16; 0],3.271089717047289,0.04472078938200505,tvm
160,2,75,1,256,128,0,[160; 2; 75; 1; 256; 128; 0],0.46694016200490296,0.31328578303825205,tvm
8,1,20,1,16,16,0,[8; 1; 20; 1; 16; 16; 0],0.7476939789485186,0.1956491805530329,tvm
20,10,50,1,256,128,1,[20; 10; 50; 1; 256; 128; 1],0.5351285809883848,0.27336554144711156,tvm
640,16,500,1,256,16,1,[640; 16; 500; 1; 256; 16; 1],2.7154445159249008,0.05387173754713537,tvm
20,5,15,1,1024,128,1,[20; 5; 15; 1; 1024; 128; 1],0.5367932610679418,0.27251779203539395,tvm
320,40,750,1,320,16,1,[320; 40; 750; 1; 320; 16; 1],1.819320337031968,0.08040679329972436,tvm
160,16,15,1,1024,64,0,[160; 16; 15; 1; 1024; 64; 0],0.5083659229567274,0.2877567273488673,tvm
128,1,100,1,5120,16,0,[128; 1; 100; 1; 5120; 16; 0],1.2441063519800082,0.11758296551809985,tvm
256,1,6,1,5120,64,0,[256; 1; 6; 1; 5120; 64; 0],0.8857585869263858,0.16515302978132113,tvm
64,32,50,1,64,64,0,[64; 32; 50; 1; 64; 64; 0],0.5653426760109141,0.2587558316274892,tvm
320,40,12,1,1024,128,0,[320; 40; 12; 1; 1024; 128; 0],1.253955903928727,0.11665937679896994,tvm
80,8,30,1,2560,64,0,[80; 8; 30; 1; 2560; 64; 0],0.5536172280553728,0.26423620305234213,tvm
20,4,2,1,32,16,0,[20; 4; 2; 1; 32; 16; 0],0.8397220260230824,0.17420730879065113,tvm
128,32,375,1,1024,128,0,[128; 32; 375; 1; 1024; 128; 0],0.47226213302928954,0.3097553330125702,tvm
640,64,10,1,160,16,1,[640; 64; 10; 1; 160; 16; 1],2.570706561091356,0.05690486673967597,tvm
4,1,10,1,32,16,0,[4; 1; 10; 1; 32; 16; 0],1.2754840709967539,0.11469034981471485,tvm
1280,5,4,1,128,64,1,[1280; 5; 4; 1; 128; 64; 1],1.8530646919971332,0.07894258355764981,tvm
2,2,1500,1,64,64,0,[2; 2; 1500; 1; 64; 64; 0],1.7269571609795094,0.08470720501413179,tvm
32,32,1500,1,32,16,1,[32; 32; 1500; 1; 32; 16; 1],0.6858625120949,0.2132872284255614,tvm
1280,5,150,1,320,16,0,[1280; 5; 150; 1; 320; 16; 0],3.3458548029884696,0.04372147714092494,tvm
16,2,500,1,1024,128,0,[16; 2; 500; 1; 1024; 128; 0],0.3143373839557171,0.465378035678768,tvm
10,5,60,1,640,128,1,[10; 5; 60; 1; 640; 128; 1],0.38507090299390256,0.3798929317908777,tvm
40,10,60,1,64,64,0,[40; 10; 60; 1; 64; 64; 0],0.6011505749775097,0.24334288342182347,tvm
80,1,300,1,320,16,1,[80; 1; 300; 1; 320; 16; 1],1.2042170140193775,0.12147786701455819,tvm
32,4,30,1,2560,64,0,[32; 4; 30; 1; 2560; 64; 0],0.5690455479780212,0.25707206533028604,tvm
40,4,300,1,1280,16,0,[40; 4; 300; 1; 1280; 16; 0],0.6848684110445902,0.21359681936942188,tvm
10,10,125,1,512,16,1,[10; 10; 125; 1; 512; 16; 1],0.5472651310265064,0.2673031881481757,tvm
80,20,15,1,128,128,0,[80; 20; 15; 1; 128; 128; 0],0.48786276299506426,0.2998501328276089,tvm
640,20,750,1,160,16,0,[640; 20; 750; 1; 160; 16; 0],3.4131806949153543,0.0428590594408428,tvm
640,4,2,1,64,64,1,[640; 4; 2; 1; 64; 64; 1],2.005140049965121,0.07295536004492999,tvm
256,1,750,1,1280,64,1,[256; 1; 750; 1; 1280; 64; 1],0.5673884919378906,0.2578228433680102,tvm
320,40,60,1,1024,64,0,[320; 40; 60; 1; 1024; 64; 0],1.255502988002263,0.11651562416309488,tvm
10,2,500,1,80,16,1,[10; 2; 500; 1; 80; 16; 1],0.46066334191709757,0.3175544936502465,tvm
640,5,300,1,1280,64,1,[640; 5; 300; 1; 1280; 64; 1],1.891503455932252,0.07733832778730794,tvm
1280,2,12,1,512,128,1,[1280; 2; 12; 1; 512; 128; 1],1.8078285319497809,0.08091791433778407,tvm
320,1,125,1,5120,64,0,[320; 1; 125; 1; 5120; 64; 0],1.2888665200443938,0.11349950674541194,tvm
32,1,75,1,320,16,0,[32; 1; 75; 1; 320; 16; 0],0.6761623750207946,0.216347019133112,tvm
64,8,60,1,32,16,1,[64; 8; 60; 1; 32; 16; 1],0.7834416190162301,0.1867219084804375,tvm
320,20,300,1,256,16,0,[320; 20; 300; 1; 256; 16; 0],1.9365841710241511,0.07553800990139868,tvm
2,1,4,1,5120,64,0,[2; 1; 4; 1; 5120; 64; 0],1.0630931030027568,0.13760385978662015,tvm
