kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,8,1,1,128,16,1,1,[8; 8; 1; 1; 128; 16; 1; 1],0.016697090613888577,0.41422716875451016,tvm
8,1,1,1,768,16,1,1,[8; 1; 1; 1; 768; 16; 1; 1],0.015380108874524012,0.4496969838025689,tvm
24,4,1,1,384,16,1,1,[24; 4; 1; 1; 384; 16; 1; 1],0.02413861162494868,0.28652801904646724,tvm
16,4,197,1,192,96,6,1,[16; 4; 197; 1; 192; 96; 6; 1],0.014715351877384819,0.47001176927736077,tvm
24,4,197,1,384,128,8,1,[24; 4; 197; 1; 384; 128; 8; 1],0.01158910524827661,0.5968009111365256,tvm
12,3,197,1,96,48,3,0,[12; 3; 197; 1; 96; 48; 3; 0],0.013645512372022495,0.5068617713182613,tvm
8,1,197,1,192,32,2,0,[8; 1; 197; 1; 192; 32; 2; 0],0.015544684254564345,0.444935931676948,tvm
12,4,197,1,192,96,6,1,[12; 4; 197; 1; 192; 96; 6; 1],0.014451306502451189,0.4785995349455382,tvm
3,1,1,1,64,64,4,0,[3; 1; 1; 1; 64; 64; 4; 0],0.019115771254291758,0.3618158262840556,tvm
32,32,1,1,384,192,12,1,[32; 32; 1; 1; 384; 192; 12; 1],0.020999701126129366,0.32935652416608413,tvm
16,2,197,1,96,16,1,1,[16; 2; 197; 1; 96; 16; 1; 1],0.02031556799192913,0.34044770858369705,tvm
1,1,197,1,128,32,2,0,[1; 1; 197; 1; 128; 32; 2; 0],0.08644533954793587,0.08000880796579299,tvm
6,3,1,1,768,96,6,0,[6; 3; 1; 1; 768; 96; 6; 0],0.013191772493883036,0.5242956224901293,tvm
24,2,197,1,384,192,12,0,[24; 2; 197; 1; 384; 192; 12; 0],0.01058607918821508,0.6533475187988598,tvm
24,1,197,1,32,16,1,1,[24; 1; 197; 1; 32; 16; 1; 1],0.019774879241595045,0.34975629873281056,tvm
8,1,1,1,128,32,2,1,[8; 1; 1; 1; 128; 32; 2; 1],0.015692027373006567,0.4407581255769504,tvm
12,2,1,1,768,32,2,1,[12; 2; 1; 1; 768; 32; 2; 1],0.017830582495662384,0.3878947069234059,tvm
2,2,197,1,768,64,4,0,[2; 2; 197; 1; 768; 64; 4; 0],0.026273973257048056,0.26324106003165065,tvm
12,3,197,1,768,48,3,1,[12; 3; 197; 1; 768; 48; 3; 1],0.012715920121991076,0.5439156982016016,tvm
3,3,197,1,384,48,3,1,[3; 3; 197; 1; 384; 48; 3; 1],0.018933991130325012,0.36528952209928744,tvm
32,1,197,1,768,128,8,0,[32; 1; 197; 1; 768; 128; 8; 0],0.014600920243537985,0.47369538741844697,tvm
64,1,197,1,768,128,8,0,[64; 1; 197; 1; 768; 128; 8; 0],0.020917008878313936,0.3306585856355042,tvm
16,4,197,1,192,192,12,1,[16; 4; 197; 1; 192; 192; 12; 1],0.011066680563089903,0.624974086131701,tvm
12,1,197,1,384,192,12,0,[12; 1; 197; 1; 384; 192; 12; 0],0.013236502374638803,0.5225238794713928,tvm
8,4,197,1,768,96,6,0,[8; 4; 197; 1; 768; 96; 6; 0],0.013418128117336892,0.5154510756602668,tvm
16,16,197,1,384,96,6,1,[16; 16; 197; 1; 384; 96; 6; 1],0.014451583992922679,0.4785903451701702,tvm
6,3,197,1,384,128,8,0,[6; 3; 197; 1; 384; 128; 8; 0],0.012596560613019392,0.5490696058954393,tvm
16,1,197,1,384,192,12,0,[16; 1; 197; 1; 384; 192; 12; 0],0.012370664750051219,0.5590959508784631,tvm
16,16,197,1,384,96,6,0,[16; 16; 197; 1; 384; 96; 6; 0],0.011591095935727935,0.5966984148677235,tvm
16,8,197,1,384,96,6,0,[16; 8; 197; 1; 384; 96; 6; 0],0.011726016375178006,0.5898327573607518,tvm
