kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
20,4,100,20,320,16,1,1,[20; 4; 100; 20; 320; 16; 1; 1],0.4959703730419278,0.2949484933716953,tvm
10,5,750,5,320,80,5,1,[10; 5; 750; 5; 320; 80; 5; 1],0.3956876159645617,0.36970000673161285,tvm
20,2,250,25,256,16,1,0,[20; 2; 250; 25; 256; 16; 1; 0],0.6354346279986203,0.2302136330631826,tvm
20,2,1500,3,160,80,5,1,[20; 2; 1500; 3; 160; 80; 5; 1],0.2639939980581403,0.5541251519418912,tvm
40,20,750,3,1280,80,5,1,[40; 20; 750; 3; 1280; 80; 5; 1],0.2723433889914304,0.5371370123117523,tvm
80,20,50,5,1280,80,5,0,[80; 20; 50; 5; 1280; 80; 5; 0],0.18619788496289402,0.7856464874177624,tvm
64,1,1500,20,160,16,1,0,[64; 1; 1500; 20; 160; 16; 1; 0],0.5315807710867375,0.2751900035561012,tvm
10,2,100,4,160,16,1,1,[10; 2; 100; 4; 160; 16; 1; 1],0.4172024150611833,0.35063486932179266,tvm
64,64,60,5,128,64,4,0,[64; 64; 60; 5; 128; 64; 4; 0],0.25579035992268473,0.5718969015483252,tvm
20,1,500,10,640,32,2,1,[20; 1; 500; 10; 640; 32; 2; 1],0.35354264301713556,0.41377106036576217,tvm
16,16,3,1,320,80,5,1,[16; 16; 3; 1; 320; 80; 5; 1],0.5391689769458026,0.2713170092136421,tvm
160,4,1500,12,32,16,1,1,[160; 4; 1500; 12; 32; 16; 1; 1],0.4026153580052778,0.3633386342003294,tvm
16,4,5,1,320,32,2,1,[16; 4; 5; 1; 320; 32; 2; 1],0.38185989495832473,0.3830873999001114,tvm
64,1,50,2,320,80,5,0,[64; 1; 50; 2; 320; 80; 5; 0],0.2994760900037363,0.48847209900426175,tvm
80,10,20,5,64,64,4,0,[80; 10; 20; 5; 64; 64; 4; 0],0.212332594092004,0.6889461079269276,tvm
16,4,4,1,128,64,4,1,[16; 4; 4; 1; 128; 64; 4; 1],0.4795917719602585,0.3050213177924085,tvm
128,8,60,3,1280,64,4,1,[128; 8; 60; 3; 1280; 64; 4; 1],0.19727496709674597,0.7415320678470779,tvm
20,1,2,1,80,16,1,0,[20; 1; 2; 1; 80; 16; 1; 0],0.7936352539109066,0.1843236090695844,tvm
