i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
16,16,16,4096,2048,16,256,8,1,0,[16; 16; 16; 4096; 2048; 16; 256; 8; 1; 0],0.39343993889633566,0.1421412719059727,tvm
8,8,4,256,64,16,16,8,1,0,[8; 8; 4; 256; 64; 16; 16; 8; 1; 0],0.3821147719863802,0.14635407326081246,tvm
16,16,4,32,16,16,448,32,1,0,[16; 16; 4; 32; 16; 16; 448; 32; 1; 0],0.38899073703214526,0.14376705666570128,tvm
32,16,1,2048,2048,128,1792,16,8,0,[32; 16; 1; 2048; 2048; 128; 1792; 16; 8; 0],0.9736535229021683,0.057437324487504084,tvm
32,2,2,1024,128,16,3584,32,1,0,[32; 2; 2; 1024; 128; 16; 3584; 32; 1; 0],1.2515345960855484,0.04468438468121313,tvm
4,4,1,4096,1024,64,64,16,4,1,[4; 4; 1; 4096; 1024; 64; 64; 16; 4; 1],0.7833560770377517,0.0713903357267735,tvm
4,4,4,64,16,16,32,2,1,0,[4; 4; 4; 64; 16; 16; 32; 2; 1; 0],0.5739190899766982,0.09744239965184626,tvm
16,4,2,128,32,16,32,1,1,1,[16; 4; 2; 128; 32; 16; 32; 1; 1; 1],0.5896885460242629,0.09483659418243529,tvm
4,4,4,128,32,32,448,32,2,1,[4; 4; 4; 128; 32; 32; 448; 32; 2; 1],0.5110484389588237,0.10943004433644159,tvm
32,2,1,512,64,64,7168,14,4,1,[32; 2; 1; 512; 64; 64; 7168; 14; 4; 1],2.118528201011941,0.026397596834736744,tvm
8,8,1,4096,1024,32,1024,2,2,1,[8; 8; 1; 4096; 1024; 32; 1024; 2; 2; 1],1.2055026850430295,0.04639065016378389,tvm
64,32,2,4096,1024,128,4,1,8,1,[64; 32; 2; 4096; 1024; 128; 4; 1; 8; 1],0.1309794159606099,0.42696826003676525,tvm
32,8,1,32,32,32,8,2,2,0,[32; 8; 1; 32; 32; 32; 8; 2; 2; 0],0.4448219339828938,0.12572233754885828,tvm
4,4,2,256,32,16,16,4,1,0,[4; 4; 2; 256; 32; 16; 16; 4; 1; 0],0.7382744030328467,0.07574968481041215,tvm
64,32,1,128,128,16,32,2,1,0,[64; 32; 1; 128; 128; 16; 32; 2; 1; 0],0.4434915529564023,0.12609947801831298,tvm
16,8,2,256,64,16,14336,2,1,1,[16; 8; 2; 256; 64; 16; 14336; 2; 1; 1],1.2730829040519893,0.04392805303985886,tvm
16,2,2,1024,256,32,512,64,2,1,[16; 2; 2; 1024; 256; 32; 512; 64; 2; 1],1.1111430340679362,0.05033020198002167,tvm
32,2,1,128,16,16,7168,2,1,1,[32; 2; 1; 128; 16; 16; 7168; 2; 1; 1],2.73829751892481,0.020422928095589796,tvm
64,2,2,4096,4096,64,7168,14,4,0,[64; 2; 2; 4096; 4096; 64; 7168; 14; 4; 0],1.0120097129838541,0.05526039188739047,tvm
16,1,1,4096,512,64,7168,32,4,1,[16; 1; 1; 4096; 512; 64; 7168; 32; 4; 1],2.0755957210203633,0.026943615641027173,tvm
32,16,2,2048,2048,64,512,32,4,1,[32; 16; 2; 2048; 2048; 64; 512; 32; 4; 1],0.5392784930299968,0.10370161995357494,tvm
16,4,1,2048,64,64,1792,32,4,0,[16; 4; 1; 2048; 64; 64; 1792; 32; 4; 0],1.5592411139514297,0.035866199802550465,tvm
64,8,1,2048,512,16,512,2,1,0,[64; 8; 1; 2048; 512; 16; 512; 2; 1; 0],1.3911043039988726,0.04020119352127219,tvm
32,8,8,256,128,32,28,7,2,1,[32; 8; 8; 256; 128; 32; 28; 7; 2; 1],0.34299002692569047,0.1630486280741026,tvm
16,8,4,4096,1024,64,28,4,4,0,[16; 8; 4; 4096; 1024; 64; 28; 4; 4; 0],0.19260268204379827,0.2903596810797063,tvm
16,4,2,4096,4096,64,896,64,4,1,[16; 4; 2; 4096; 4096; 64; 896; 64; 4; 1],1.0161769801052287,0.05503377308108495,tvm
32,16,16,2048,16,16,14336,32,1,0,[32; 16; 16; 2048; 16; 16; 14336; 32; 1; 0],0.38676180003676564,0.14459559689715268,tvm
8,8,4,4096,2048,32,128,8,2,0,[8; 8; 4; 4096; 2048; 32; 128; 8; 2; 0],0.4665161519078538,0.11987592091855256,tvm
32,16,4,512,16,16,128,4,1,0,[32; 16; 4; 512; 16; 16; 128; 4; 1; 0],0.35790786996949464,0.15625265054411874,tvm
32,16,8,512,512,32,56,14,2,0,[32; 16; 8; 512; 512; 32; 56; 14; 2; 0],0.2622014939552173,0.21328655489234125,tvm
64,16,8,256,32,32,128,4,2,1,[64; 16; 8; 256; 32; 32; 128; 4; 2; 1],0.28339450794737786,0.19733640478211947,tvm
16,16,8,512,64,32,224,1,2,0,[16; 16; 8; 512; 64; 32; 224; 1; 2; 0],0.28514499589800835,0.19612496848212777,tvm
8,8,8,2048,128,16,128,4,1,0,[8; 8; 8; 2048; 128; 16; 128; 4; 1; 0],0.3989139449549839,0.14019077056743198,tvm
64,64,4,2048,512,64,112,16,4,0,[64; 64; 4; 2048; 512; 64; 112; 16; 4; 0],0.21865385805722326,0.25576522559550546,tvm
64,8,8,128,64,32,64,2,2,0,[64; 8; 8; 128; 64; 32; 64; 2; 2; 0],0.3728829729370773,0.14997749265094582,tvm
64,16,4,1024,1024,64,64,16,4,1,[64; 16; 4; 1024; 1024; 64; 64; 16; 4; 1],0.23892223800066859,0.23406801225918886,tvm
8,4,4,512,64,16,4,2,1,0,[8; 4; 4; 512; 64; 16; 4; 2; 1; 0],0.4678455269895494,0.11953529553480705,tvm
8,8,8,1024,1024,32,224,4,2,0,[8; 8; 8; 1024; 1024; 32; 224; 4; 2; 0],0.367411534069106,0.15221093555221554,tvm
64,64,8,4096,512,16,224,7,1,1,[64; 64; 8; 4096; 512; 16; 224; 7; 1; 1],0.2178998430026695,0.25665026905342103,tvm
16,16,4,4096,32,16,32,16,1,1,[16; 16; 4; 4096; 32; 16; 32; 16; 1; 1],0.24430505593772978,0.22891074897601651,tvm
64,8,4,4096,4096,32,256,1,2,0,[64; 8; 4; 4096; 4096; 32; 256; 1; 2; 0],0.5010359900770709,0.11161683879182197,tvm
32,32,4,256,256,16,112,1,1,0,[32; 32; 4; 256; 256; 16; 112; 1; 1; 0],0.38756578392349184,0.1442956412900813,tvm
32,8,4,64,16,16,32,4,1,1,[32; 8; 4; 64; 16; 16; 32; 4; 1; 1],0.40567498398013413,0.13785433053981935,tvm
4,4,4,4096,256,16,14,1,1,1,[4; 4; 4; 4096; 256; 16; 14; 1; 1; 1],0.3677997679915279,0.1520502681084386,tvm
64,8,8,4096,64,32,64,1,2,0,[64; 8; 8; 4096; 64; 32; 64; 1; 2; 0],0.3653092549648136,0.15308687796239903,tvm
64,64,8,2048,32,32,128,4,2,1,[64; 64; 8; 2048; 32; 32; 128; 4; 2; 1],0.22145904891658574,0.2525254831849186,tvm
64,64,8,2048,64,16,56,7,1,1,[64; 64; 8; 2048; 64; 16; 56; 7; 1; 1],0.13181845797225833,0.4242505502916955,tvm
4,4,4,2048,32,32,7,1,2,0,[4; 4; 4; 2048; 32; 32; 7; 1; 2; 0],0.5080658390652388,0.11007245327933243,tvm
16,8,4,4096,64,64,64,1,4,0,[16; 8; 4; 4096; 64; 64; 64; 1; 4; 0],0.3263033831026405,0.1713866794808625,tvm
32,32,4,512,64,32,32,8,2,0,[32; 32; 4; 512; 64; 32; 32; 8; 2; 0],0.1844256529584527,0.3032335927037866,tvm
64,32,4,512,64,64,32,8,4,0,[64; 32; 4; 512; 64; 64; 32; 8; 4; 0],0.17826238099951297,0.3137176392448507,tvm
64,64,8,4096,512,32,224,2,2,0,[64; 64; 8; 4096; 512; 32; 224; 2; 2; 0],0.1968493569875136,0.28409568712424427,tvm
64,16,4,4096,1024,16,112,7,1,1,[64; 16; 4; 4096; 1024; 16; 112; 7; 1; 1],0.37761057703755796,0.1480998063456549,tvm
64,32,4,4096,64,32,32,8,2,1,[64; 32; 4; 4096; 64; 32; 32; 8; 2; 1],0.17655412806198,0.31675302043179066,tvm
64,32,4,1024,256,16,56,4,1,0,[64; 32; 4; 1024; 256; 16; 56; 4; 1; 0],0.2193624129286036,0.25493908726986453,tvm
64,64,4,2048,64,64,56,1,4,1,[64; 64; 4; 2048; 64; 64; 56; 1; 4; 1],0.10699840995948762,0.5226624709143588,tvm
4,4,4,1024,1024,64,16,4,4,0,[4; 4; 4; 1024; 1024; 64; 16; 4; 4; 0],0.3024120330810547,0.18492668021032138,tvm
64,32,4,128,64,16,32,4,1,1,[64; 32; 4; 128; 64; 16; 32; 4; 1; 1],0.2068112411070615,0.2704110909734482,tvm
32,16,16,256,16,16,32,1,1,0,[32; 16; 16; 256; 16; 16; 32; 1; 1; 0],0.39516506099607795,0.14152074374279863,tvm
32,16,8,2048,256,32,64,1,2,1,[32; 16; 8; 2048; 256; 32; 64; 1; 2; 1],0.26642558304592967,0.20990496743585044,tvm
