kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
2,2,125,1,640,64,1,[2; 2; 125; 1; 640; 64; 1],0.23590744892135262,0.15502447565197844,tvm
160,40,10,1,1280,16,0,[160; 40; 10; 1; 1280; 16; 0],0.2530288239941001,0.1445346344109844,tvm
1280,1,150,1,640,16,0,[1280; 1; 150; 1; 640; 16; 0],0.44064851594157517,0.08299455744967836,tvm
5,1,3,1,640,16,0,[5; 1; 3; 1; 640; 16; 0],0.12850184191484004,0.28459847755073403,tvm
640,64,150,1,1280,64,0,[640; 64; 150; 1; 1280; 64; 0],0.10832431993912905,0.3376105069662957,tvm
40,2,100,1,80,16,0,[40; 2; 100; 1; 80; 16; 0],0.16320842306595296,0.22407807075404412,tvm
8,1,30,1,16,16,1,[8; 1; 30; 1; 16; 16; 1],0.14262075105216354,0.25642431624871037,tvm
40,40,150,1,80,16,0,[40; 40; 150; 1; 80; 16; 0],0.1644688619999215,0.2223608051197316,tvm
320,4,6,1,256,128,0,[320; 4; 6; 1; 256; 128; 0],0.10998589207883924,0.332510178170976,tvm
128,2,5,1,256,128,1,[128; 2; 5; 1; 256; 128; 1],0.11259594897273928,0.32480234773173694,tvm
320,16,10,1,256,16,0,[320; 16; 10; 1; 256; 16; 0],0.27623132592998445,0.1323942114396476,tvm
640,4,2,1,80,16,1,[640; 4; 2; 1; 80; 16; 1],0.28586805099621415,0.12793115020717338,tvm
128,16,300,1,1280,16,0,[128; 16; 300; 1; 1280; 16; 0],0.2594872110057622,0.14093730642708424,tvm
640,40,500,1,1280,16,0,[640; 40; 500; 1; 1280; 16; 0],0.2882263039937243,0.12688442402614603,tvm
640,5,125,1,128,128,1,[640; 5; 125; 1; 128; 128; 1],0.11204326502047479,0.3264045238662539,tvm
1280,4,10,1,1280,128,0,[1280; 4; 10; 1; 1280; 128; 0],0.3345555589767173,0.10931346854103144,tvm
640,32,20,1,320,16,0,[640; 32; 20; 1; 320; 16; 0],0.2909104760037735,0.12571368715836206,tvm
32,32,30,1,256,64,0,[32; 32; 30; 1; 256; 64; 0],0.08883373305434361,0.4116840226567556,tvm
32,2,2,1,640,16,0,[32; 2; 2; 1; 640; 16; 0],0.189976797089912,0.1925047117944624,tvm
64,2,30,1,1280,64,0,[64; 2; 30; 1; 1280; 64; 0],0.11137234407942742,0.32837082557359953,tvm
8,4,750,1,1280,128,0,[8; 4; 750; 1; 1280; 128; 0],0.10516141797415912,0.34776469617797584,tvm
10,10,5,1,256,16,1,[10; 10; 5; 1; 256; 16; 1],0.09600432601291686,0.3809352150079996,tvm
160,5,20,1,256,16,1,[160; 5; 20; 1; 256; 16; 1],0.25245641195215285,0.1448623478747683,tvm
160,16,500,1,64,64,0,[160; 16; 500; 1; 64; 64; 0],0.11264063301496208,0.3246735000731999,tvm
1280,2,12,1,1280,64,0,[1280; 2; 12; 1; 1280; 64; 0],0.32808874105103314,0.11146809992403856,tvm
320,32,3,1,16,16,1,[320; 32; 3; 1; 16; 16; 1],0.2788493209518492,0.131151219757654,tvm
1280,2,4,1,320,64,1,[1280; 2; 4; 1; 320; 64; 1],0.3379425300518051,0.10821789304182086,tvm
160,10,125,1,256,128,1,[160; 10; 125; 1; 256; 128; 1],0.10659052000846714,0.3431020748235723,tvm
32,8,50,1,1280,16,1,[32; 8; 50; 1; 1280; 16; 1],0.15947527706157416,0.22932349919861353,tvm
160,32,150,1,80,16,0,[160; 32; 150; 1; 80; 16; 0],0.26679544895887375,0.13707665821940623,tvm
5,1,500,1,128,64,1,[5; 1; 500; 1; 128; 64; 1],0.09054406400537118,0.40390752252140033,tvm
64,4,1,1,64,64,0,[64; 4; 1; 1; 64; 64; 0],0.11987010901793838,0.3050921440803538,tvm
128,32,2,1,128,128,0,[128; 32; 2; 1; 128; 128; 0],0.11057376710232347,0.3307423589682521,tvm
16,1,60,1,128,16,0,[16; 1; 60; 1; 128; 16; 0],0.1408117429818958,0.25971859872603503,tvm
128,2,75,1,80,16,0,[128; 2; 75; 1; 80; 16; 0],0.2622419079998508,0.1394568429217247,tvm
40,8,5,1,64,16,1,[40; 8; 5; 1; 64; 16; 1],0.16879012598656118,0.21666805660385807,tvm
32,2,375,1,256,128,1,[32; 2; 375; 1; 256; 128; 1],0.08191046252613887,0.44648055258823716,tvm
160,2,250,1,320,64,1,[160; 2; 250; 1; 320; 64; 1],0.10828111099544913,0.3377452284633985,tvm
8,2,75,1,128,16,0,[8; 2; 75; 1; 128; 16; 0],0.14108690503053367,0.25921206906845023,tvm
320,32,60,1,160,16,1,[320; 32; 60; 1; 160; 16; 1],0.2740671249339357,0.13343967679539884,tvm
10,2,5,1,256,128,1,[10; 2; 5; 1; 256; 128; 1],0.11702983698341995,0.31249662064051054,tvm
80,4,12,1,128,128,1,[80; 4; 12; 1; 128; 128; 1],0.11353542399592698,0.32211469587448366,tvm
160,2,20,1,128,16,1,[160; 2; 20; 1; 128; 16; 1],0.2612917789956555,0.13996394648159463,tvm
1280,1,20,1,128,64,0,[1280; 1; 20; 1; 128; 64; 0],0.3199999969219789,0.11428571538500756,tvm
64,16,250,1,32,16,1,[64; 16; 250; 1; 32; 16; 1],0.19433443597517908,0.1881881015472707,tvm
16,1,15,1,640,128,0,[16; 1; 15; 1; 640; 128; 0],0.08678182953735813,0.42141804069347466,tvm
20,1,100,1,640,16,1,[20; 1; 100; 1; 640; 16; 1],0.15165756701026112,0.2411447664128369,tvm
32,32,75,1,128,64,0,[32; 32; 75; 1; 128; 64; 0],0.0912320715142414,0.4008615387596427,tvm
160,16,375,1,640,16,1,[160; 16; 375; 1; 640; 16; 1],0.26631377497687936,0.1373245847857611,tvm
40,8,750,1,1280,16,0,[40; 8; 750; 1; 1280; 16; 0],0.1641788228880614,0.22275362880609337,tvm
40,40,2,1,32,16,0,[40; 40; 2; 1; 32; 16; 0],0.30927708197850734,0.11824810405437684,tvm
160,5,5,1,1280,128,0,[160; 5; 5; 1; 1280; 128; 0],0.11245559202507138,0.3252077367862255,tvm
16,8,1,1,32,16,0,[16; 8; 1; 1; 32; 16; 0],0.14272028405684978,0.2562454861487038,tvm
1280,20,750,1,320,64,1,[1280; 20; 750; 1; 320; 64; 1],0.30626134295016527,0.11941248679687094,tvm
40,1,100,1,1280,128,1,[40; 1; 100; 1; 1280; 128; 1],0.11557864595670253,0.31642028913480064,tvm
16,4,750,1,640,64,0,[16; 4; 750; 1; 640; 64; 0],0.09667188150342554,0.37830471490443346,tvm
320,32,125,1,16,16,1,[320; 32; 125; 1; 16; 16; 1],0.27923470200039446,0.13097021362114553,tvm
80,5,75,1,128,16,0,[80; 5; 75; 1; 128; 16; 0],0.24075679702218622,0.1519019567620284,tvm
640,1,500,1,320,64,0,[640; 1; 500; 1; 320; 64; 0],0.1098284370964393,0.3329868797032553,tvm
40,2,250,1,256,128,1,[40; 2; 250; 1; 256; 128; 1],0.11689528299029917,0.3128563243605265,tvm
128,64,300,1,256,16,0,[128; 64; 300; 1; 256; 16; 0],0.25913397304248065,0.14112942483783592,tvm
32,1,125,1,16,16,1,[32; 1; 125; 1; 16; 16; 1],0.15420250198803842,0.23716494933568225,tvm
1280,40,375,1,32,16,1,[1280; 40; 375; 1; 32; 16; 1],0.4472740130731836,0.08176515402750373,tvm
40,40,500,1,1280,64,0,[40; 40; 500; 1; 1280; 64; 0],0.08213637949666008,0.4452525031604988,tvm
8,2,100,1,640,128,0,[8; 2; 100; 1; 640; 128; 0],0.09768990700831637,0.37436240540504595,tvm
2,1,60,1,640,128,0,[2; 1; 60; 1; 640; 128; 0],0.23534915607888252,0.1553922231153905,tvm
2,2,150,1,128,64,0,[2; 2; 150; 1; 128; 64; 0],0.24616320000495762,0.14856578306867982,tvm
64,32,750,1,1280,128,0,[64; 32; 750; 1; 1280; 128; 0],0.11567275098059326,0.3161628668930357,tvm
8,4,375,1,640,64,1,[8; 4; 375; 1; 640; 64; 1],0.10278122196905315,0.3558181919888054,tvm
10,5,30,1,256,128,1,[10; 5; 30; 1; 256; 128; 1],0.09327903250232339,0.3920648359053001,tvm
2,2,375,1,128,64,1,[2; 2; 375; 1; 128; 64; 1],0.1527031110599637,0.23949367054524284,tvm
64,4,1500,1,128,128,0,[64; 4; 1500; 1; 128; 128; 0],0.11615924502257258,0.31483872475515706,tvm
20,10,100,1,640,64,0,[20; 10; 100; 1; 640; 64; 0],0.09306210500653833,0.39297873789615173,tvm
8,1,300,1,320,64,0,[8; 1; 300; 1; 320; 64; 0],0.1059442930854857,0.3451948897513465,tvm
10,10,125,1,256,128,1,[10; 10; 125; 1; 256; 128; 1],0.09129748150007799,0.4005743419263688,tvm
4,4,750,1,640,64,1,[4; 4; 750; 1; 640; 64; 1],0.13991602102760226,0.26138127930477567,tvm
32,2,150,1,640,128,0,[32; 2; 150; 1; 640; 128; 0],0.08223577600438148,0.4447143366103832,tvm
20,2,1500,1,640,128,1,[20; 2; 1500; 1; 640; 128; 1],0.08566001401050016,0.4269369903085197,tvm
5,5,125,1,320,64,0,[5; 5; 125; 1; 320; 64; 0],0.12697307695634663,0.2880250636440183,tvm
1,1,500,1,640,128,1,[1; 1; 500; 1; 640; 128; 1],0.5133753570262343,0.07123721088458813,tvm
20,5,375,1,320,64,1,[20; 5; 375; 1; 320; 64; 1],0.08691925200400874,0.42075176359941396,tvm
20,10,1500,1,1280,64,1,[20; 10; 1500; 1; 1280; 64; 1],0.0973614114918746,0.37562549690932406,tvm
8,2,250,1,128,64,0,[8; 2; 250; 1; 128; 64; 0],0.10763781797140837,0.33976374903050316,tvm
8,8,750,1,320,64,1,[8; 8; 750; 1; 320; 64; 1],0.10281996498815715,0.355684118115007,tvm
20,20,30,1,320,64,0,[20; 20; 30; 1; 320; 64; 0],0.09430272999452427,0.38780880016466235,tvm
10,5,1500,1,320,64,1,[10; 5; 1500; 1; 320; 64; 1],0.1004180780146271,0.36419168036756794,tvm
32,4,30,1,640,128,0,[32; 4; 30; 1; 640; 128; 0],0.07878310099476948,0.46420397407124914,tvm
4,4,30,1,256,64,0,[4; 4; 30; 1; 256; 64; 0],0.1375184969510883,0.26593825108804137,tvm
20,2,300,1,1280,128,0,[20; 2; 300; 1; 1280; 128; 0],0.07645091804442927,0.47836480590298697,tvm
4,2,250,1,640,128,0,[4; 2; 250; 1; 640; 128; 0],0.14041553204879165,0.2604514474846039,tvm
16,16,60,1,640,128,0,[16; 16; 60; 1; 640; 128; 0],0.08528983197174966,0.4287900178246574,tvm
8,8,100,1,128,64,0,[8; 8; 100; 1; 128; 64; 0],0.12071755202487111,0.30295038259137214,tvm
10,10,750,1,320,64,1,[10; 10; 750; 1; 320; 64; 1],0.09292677347548306,0.3935510424353348,tvm
40,20,375,1,640,64,0,[40; 20; 375; 1; 640; 64; 0],0.11952811491210014,0.3059650743954497,tvm
8,8,60,1,1280,128,0,[8; 8; 60; 1; 1280; 128; 0],0.09920227900147438,0.3686551250590224,tvm
